bin_start,bin_end,frequency
-5049000000000,-5048000000000,1
-3831000000000,-3830000000000,1
-3768000000000,-3767000000000,1
-3706000000000,-3705000000000,1
-2085000000000,-2084000000000,1
-1852000000000,-1851000000000,1
-1796000000000,-1795000000000,1
-1759000000000,-1758000000000,1
-1260000000000,-1259000000000,1
-1201000000000,-1200000000000,1
-1081000000000,-1080000000000,1
-918000000000,-917000000000,1
-836000000000,-835000000000,1
-820000000000,-819000000000,1
-811000000000,-810000000000,1
-809000000000,-808000000000,1
-766000000000,-765000000000,1
-761000000000,-760000000000,1
-750000000000,-749000000000,1
-715000000000,-714000000000,1
-710000000000,-709000000000,2
-676000000000,-675000000000,1
-655000000000,-654000000000,1
-648000000000,-647000000000,1
-647000000000,-646000000000,1
-635000000000,-634000000000,1
-634000000000,-633000000000,2
-633000000000,-632000000000,1
-625000000000,-624000000000,1
-624000000000,-623000000000,1
-623000000000,-622000000000,1
-614000000000,-613000000000,1
-610000000000,-609000000000,2
-609000000000,-608000000000,1
-584000000000,-583000000000,1
-556000000000,-555000000000,1
-555000000000,-554000000000,2
-552000000000,-551000000000,1
-521000000000,-520000000000,1
-501000000000,-500000000000,1
-487000000000,-486000000000,1
-485000000000,-484000000000,1
-481000000000,-480000000000,1
-480000000000,-479000000000,2
-478000000000,-477000000000,1
-471000000000,-470000000000,1
-467000000000,-466000000000,2
-465000000000,-464000000000,1
-463000000000,-462000000000,1
-460000000000,-459000000000,1
-455000000000,-454000000000,2
-452000000000,-451000000000,1
-450000000000,-449000000000,2
-447000000000,-446000000000,1
-442000000000,-441000000000,1
-440000000000,-439000000000,1
-435000000000,-434000000000,1
-415000000000,-414000000000,1
-411000000000,-410000000000,2
-404000000000,-403000000000,1
-402000000000,-401000000000,1
-394000000000,-393000000000,1
-392000000000,-391000000000,1
-389000000000,-388000000000,1
-386000000000,-385000000000,1
-385000000000,-384000000000,1
-378000000000,-377000000000,1
-373000000000,-372000000000,2
-370000000000,-369000000000,1
-367000000000,-366000000000,1
-363000000000,-362000000000,1
-357000000000,-356000000000,1
-356000000000,-355000000000,1
-349000000000,-348000000000,1
-337000000000,-336000000000,1
-335000000000,-334000000000,1
-330000000000,-329000000000,2
-329000000000,-328000000000,1
-324000000000,-323000000000,2
-320000000000,-319000000000,2
-319000000000,-318000000000,1
-314000000000,-313000000000,1
-309000000000,-308000000000,1
-306000000000,-305000000000,1
-300000000000,-299000000000,3
-298000000000,-297000000000,1
-297000000000,-296000000000,1
-292000000000,-291000000000,1
-290000000000,-289000000000,2
-289000000000,-288000000000,1
-287000000000,-286000000000,1
-282000000000,-281000000000,1
-281000000000,-280000000000,1
-277000000000,-276000000000,1
-276000000000,-275000000000,1
-275000000000,-274000000000,1
-274000000000,-273000000000,1
-273000000000,-272000000000,1
-260000000000,-259000000000,1
-259000000000,-258000000000,1
-258000000000,-257000000000,3
-256000000000,-255000000000,1
-245000000000,-244000000000,1
-243000000000,-242000000000,1
-242000000000,-241000000000,1
-241000000000,-240000000000,1
-239000000000,-238000000000,1
-238000000000,-237000000000,2
-237000000000,-236000000000,2
-235000000000,-234000000000,1
-227000000000,-226000000000,1
-223000000000,-222000000000,1
-221000000000,-220000000000,1
-219000000000,-218000000000,1
-216000000000,-215000000000,2
-215000000000,-214000000000,1
-213000000000,-212000000000,1
-210000000000,-209000000000,1
-209000000000,-208000000000,1
-204000000000,-203000000000,1
-203000000000,-202000000000,1
-201000000000,-200000000000,1
-200000000000,-199000000000,1
-199000000000,-198000000000,2
-198000000000,-197000000000,2
-197000000000,-196000000000,1
-196000000000,-195000000000,1
-195000000000,-194000000000,3
-193000000000,-192000000000,2
-191000000000,-190000000000,2
-189000000000,-188000000000,2
-188000000000,-187000000000,2
-187000000000,-186000000000,3
-186000000000,-185000000000,1
-185000000000,-184000000000,2
-184000000000,-183000000000,2
-183000000000,-182000000000,1
-182000000000,-181000000000,1
-181000000000,-180000000000,1
-180000000000,-179000000000,2
-176000000000,-175000000000,2
-175000000000,-174000000000,2
-174000000000,-173000000000,1
-173000000000,-172000000000,1
-172000000000,-171000000000,3
-170000000000,-169000000000,1
-169000000000,-168000000000,1
-168000000000,-167000000000,1
-167000000000,-166000000000,2
-166000000000,-165000000000,2
-164000000000,-163000000000,1
-163000000000,-162000000000,1
-162000000000,-161000000000,1
-161000000000,-160000000000,1
-160000000000,-159000000000,1
-158000000000,-157000000000,1
-157000000000,-156000000000,3
-154000000000,-153000000000,3
-153000000000,-152000000000,1
-151000000000,-150000000000,2
-150000000000,-149000000000,1
-147000000000,-146000000000,2
-146000000000,-145000000000,1
-144000000000,-143000000000,1
-140000000000,-139000000000,2
-138000000000,-137000000000,2
-137000000000,-136000000000,2
-135000000000,-134000000000,1
-134000000000,-133000000000,2
-133000000000,-132000000000,2
-132000000000,-131000000000,1
-131000000000,-130000000000,1
-130000000000,-129000000000,1
-129000000000,-128000000000,3
-127000000000,-126000000000,1
-126000000000,-125000000000,1
-125000000000,-124000000000,2
-123000000000,-122000000000,4
-122000000000,-121000000000,1
-120000000000,-119000000000,1
-119000000000,-118000000000,1
-117000000000,-116000000000,3
-116000000000,-115000000000,3
-115000000000,-114000000000,1
-112000000000,-111000000000,1
-110000000000,-109000000000,2
-108000000000,-107000000000,1
-106000000000,-105000000000,1
-105000000000,-104000000000,6
-103000000000,-102000000000,2
-102000000000,-101000000000,3
-101000000000,-100000000000,1
-100000000000,-99000000000,3
-99000000000,-98000000000,2
-97000000000,-96000000000,2
-96000000000,-95000000000,1
-95000000000,-94000000000,4
-94000000000,-93000000000,4
-93000000000,-92000000000,2
-92000000000,-91000000000,3
-91000000000,-90000000000,1
-90000000000,-89000000000,1
-89000000000,-88000000000,2
-88000000000,-87000000000,1
-87000000000,-86000000000,5
-86000000000,-85000000000,1
-85000000000,-84000000000,4
-84000000000,-83000000000,1
