bin_start,bin_end,frequency
0,10000000000,914
10000000000,20000000000,886
20000000000,30000000000,525
30000000000,40000000000,356
40000000000,50000000000,232
50000000000,60000000000,176
60000000000,70000000000,144
70000000000,80000000000,100
80000000000,90000000000,80
90000000000,100000000000,82
100000000000,110000000000,71
110000000000,120000000000,42
120000000000,130000000000,37
130000000000,140000000000,37
140000000000,150000000000,36
150000000000,160000000000,28
160000000000,170000000000,29
170000000000,180000000000,24
180000000000,190000000000,26
190000000000,200000000000,22
200000000000,210000000000,17
210000000000,220000000000,25
220000000000,230000000000,11
230000000000,240000000000,12
240000000000,250000000000,25
250000000000,260000000000,13
260000000000,270000000000,15
270000000000,280000000000,13
280000000000,290000000000,13
290000000000,300000000000,7
300000000000,310000000000,15
310000000000,320000000000,10
320000000000,330000000000,7
330000000000,340000000000,13
340000000000,350000000000,10
350000000000,360000000000,10
360000000000,370000000000,7
370000000000,380000000000,7
380000000000,390000000000,7
390000000000,400000000000,4
400000000000,410000000000,7
410000000000,420000000000,8
420000000000,430000000000,4
430000000000,440000000000,11
440000000000,450000000000,4
450000000000,460000000000,7
460000000000,470000000000,6
470000000000,480000000000,3
480000000000,490000000000,8
490000000000,500000000000,6
500000000000,510000000000,5
510000000000,520000000000,8
520000000000,530000000000,9
530000000000,540000000000,3
540000000000,550000000000,3
550000000000,560000000000,3
560000000000,570000000000,2
570000000000,580000000000,3
580000000000,590000000000,3
590000000000,600000000000,5
600000000000,610000000000,7
610000000000,620000000000,3
620000000000,630000000000,4
630000000000,640000000000,5
640000000000,650000000000,6
650000000000,660000000000,5
660000000000,670000000000,4
670000000000,680000000000,5
680000000000,690000000000,3
690000000000,700000000000,2
700000000000,710000000000,2
710000000000,720000000000,3
720000000000,730000000000,4
730000000000,740000000000,5
740000000000,750000000000,3
750000000000,760000000000,3
760000000000,770000000000,2
770000000000,780000000000,5
780000000000,790000000000,2
790000000000,800000000000,4
800000000000,810000000000,2
810000000000,820000000000,4
820000000000,830000000000,2
830000000000,840000000000,3
840000000000,850000000000,4
850000000000,860000000000,1
860000000000,870000000000,3
870000000000,880000000000,6
880000000000,890000000000,3
890000000000,900000000000,9
900000000000,910000000000,3
920000000000,930000000000,1
930000000000,940000000000,4
940000000000,950000000000,1
950000000000,960000000000,7
960000000000,970000000000,5
970000000000,980000000000,2
980000000000,990000000000,4
1000000000000,1010000000000,1
1010000000000,1020000000000,2
1020000000000,1030000000000,2
1030000000000,1040000000000,1
1040000000000,1050000000000,3
1060000000000,1070000000000,3
1080000000000,1090000000000,2
1100000000000,1110000000000,1
1110000000000,1120000000000,3
1120000000000,1130000000000,3
1130000000000,1140000000000,2
1140000000000,1150000000000,2
1150000000000,1160000000000,2
1160000000000,1170000000000,1
1170000000000,1180000000000,1
1180000000000,1190000000000,2
1190000000000,1200000000000,2
1200000000000,1210000000000,6
1210000000000,1220000000000,1
1230000000000,1240000000000,3
1240000000000,1250000000000,2
1250000000000,1260000000000,1
1260000000000,1270000000000,1
1270000000000,1280000000000,2
1280000000000,1290000000000,1
1290000000000,1300000000000,1
1310000000000,1320000000000,1
1320000000000,1330000000000,1
1330000000000,1340000000000,1
1350000000000,1360000000000,2
1360000000000,1370000000000,1
1370000000000,1380000000000,2
1380000000000,1390000000000,1
1390000000000,1400000000000,1
1410000000000,1420000000000,1
1420000000000,1430000000000,2
1430000000000,1440000000000,2
1440000000000,1450000000000,1
1480000000000,1490000000000,2
1490000000000,1500000000000,2
1540000000000,1550000000000,2
1550000000000,1560000000000,2
1560000000000,1570000000000,2
1570000000000,1580000000000,2
1580000000000,1590000000000,2
1590000000000,1600000000000,2
1600000000000,1610000000000,1
1610000000000,1620000000000,1
1650000000000,1660000000000,1
1660000000000,1670000000000,1
1670000000000,1680000000000,1
1690000000000,1700000000000,1
1720000000000,1730000000000,2
1730000000000,1740000000000,1
1740000000000,1750000000000,1
1750000000000,1760000000000,1
1780000000000,1790000000000,1
1790000000000,1800000000000,2
1800000000000,1810000000000,1
1830000000000,1840000000000,1
1840000000000,1850000000000,1
1870000000000,1880000000000,3
1880000000000,1890000000000,1
1890000000000,1900000000000,1
1900000000000,1910000000000,1
1940000000000,1950000000000,1
1960000000000,1970000000000,2
1970000000000,1980000000000,1
1980000000000,1990000000000,1
1990000000000,2000000000000,2
2010000000000,2020000000000,1
2030000000000,2040000000000,1
2040000000000,2050000000000,1
2050000000000,2060000000000,4
2060000000000,2070000000000,1
2130000000000,2140000000000,1
2170000000000,2180000000000,1
2180000000000,2190000000000,2
2200000000000,2210000000000,1
2210000000000,2220000000000,1
2220000000000,2230000000000,1
2230000000000,2240000000000,1
2320000000000,2330000000000,1
2340000000000,2350000000000,1
2350000000000,2360000000000,1
2490000000000,2500000000000,1
2570000000000,2580000000000,1
2580000000000,2590000000000,1
2600000000000,2610000000000,1
2610000000000,2620000000000,1
2620000000000,2630000000000,1
2650000000000,2660000000000,1
2680000000000,2690000000000,1
2700000000000,2710000000000,1
2750000000000,2760000000000,3
2770000000000,2780000000000,1
2790000000000,2800000000000,2
2830000000000,2840000000000,1
2910000000000,2920000000000,1
3060000000000,3070000000000,1
3200000000000,3210000000000,1
3600000000000,3610000000000,1
3610000000000,3620000000000,1
3640000000000,3650000000000,1
3670000000000,3680000000000,1
3710000000000,3720000000000,1
3800000000000,3810000000000,1
4040000000000,4050000000000,1
4050000000000,4060000000000,1
4060000000000,4070000000000,2
4130000000000,4140000000000,1
4160000000000,4170000000000,1
4170000000000,4180000000000,1
4200000000000,4210000000000,1
4330000000000,4340000000000,1
4350000000000,4360000000000,1
4400000000000,4410000000000,1
4430000000000,4440000000000,1
4520000000000,4530000000000,1
4550000000000,4560000000000,1
4580000000000,4590000000000,1
4660000000000,4670000000000,1
4680000000000,4690000000000,1
4790000000000,4800000000000,1
4810000000000,4820000000000,1
4940000000000,4950000000000,1
4950000000000,4960000000000,1
5090000000000,5100000000000,1
5100000000000,5110000000000,1
5150000000000,5160000000000,2
5160000000000,5170000000000,1
5240000000000,5250000000000,1
5470000000000,5480000000000,1
5630000000000,5640000000000,1
6080000000000,6090000000000,1
6110000000000,6120000000000,1
6180000000000,6190000000000,1
6420000000000,6430000000000,2
6920000000000,6930000000000,1
7270000000000,7280000000000,1
7510000000000,7520000000000,1
7710000000000,7720000000000,1
7840000000000,7850000000000,1
8440000000000,8450000000000,1
9410000000000,9420000000000,1
18220000000000,18230000000000,1
18480000000000,18490000000000,1
20920000000000,20930000000000,1
21600000000000,21610000000000,1
22390000000000,22400000000000,1
22830000000000,22840000000000,1
25220000000000,25230000000000,1
27990000000000,28000000000000,1
51350000000000,51360000000000,1
57720000000000,57730000000000,1
59500000000000,59510000000000,1
60760000000000,60770000000000,1
62710000000000,62720000000000,1
66660000000000,66670000000000,1
67150000000000,67160000000000,1
68220000000000,68230000000000,1
68500000000000,68510000000000,1
70240000000000,70250000000000,1
72960000000000,72970000000000,1
74790000000000,74800000000000,1
75910000000000,75920000000000,1
78140000000000,78150000000000,1
109870000000000,109880000000000,1
110760000000000,110770000000000,1
113630000000000,113640000000000,1
