bin_start,bin_end,frequency
-881000000000,-880000000000,1
-728000000000,-727000000000,1
-710000000000,-709000000000,1
-626000000000,-625000000000,1
-440000000000,-439000000000,1
-420000000000,-419000000000,1
-418000000000,-417000000000,1
-407000000000,-406000000000,2
-406000000000,-405000000000,4
-404000000000,-403000000000,2
-397000000000,-396000000000,1
-390000000000,-389000000000,1
-381000000000,-380000000000,1
-359000000000,-358000000000,1
-349000000000,-348000000000,1
-335000000000,-334000000000,1
-302000000000,-301000000000,1
-298000000000,-297000000000,1
-294000000000,-293000000000,1
-288000000000,-287000000000,2
-284000000000,-283000000000,2
-280000000000,-279000000000,1
-276000000000,-275000000000,1
-275000000000,-274000000000,1
-272000000000,-271000000000,1
-256000000000,-255000000000,1
-253000000000,-252000000000,1
-243000000000,-242000000000,1
-242000000000,-241000000000,1
-241000000000,-240000000000,1
-239000000000,-238000000000,1
-237000000000,-236000000000,1
-235000000000,-234000000000,1
-229000000000,-228000000000,1
-226000000000,-225000000000,1
-220000000000,-219000000000,1
-217000000000,-216000000000,1
-214000000000,-213000000000,1
-212000000000,-211000000000,1
-210000000000,-209000000000,1
-204000000000,-203000000000,1
-203000000000,-202000000000,2
-200000000000,-199000000000,1
-199000000000,-198000000000,1
-197000000000,-196000000000,1
-196000000000,-195000000000,1
-195000000000,-194000000000,1
-193000000000,-192000000000,1
-189000000000,-188000000000,2
-188000000000,-187000000000,2
-184000000000,-183000000000,1
-183000000000,-182000000000,1
-167000000000,-166000000000,1
-166000000000,-165000000000,1
-161000000000,-160000000000,1
-154000000000,-153000000000,1
-153000000000,-152000000000,1
-152000000000,-151000000000,1
-149000000000,-148000000000,1
-148000000000,-147000000000,1
-147000000000,-146000000000,1
-146000000000,-145000000000,1
-145000000000,-144000000000,1
-140000000000,-139000000000,1
-139000000000,-138000000000,1
-136000000000,-135000000000,2
-134000000000,-133000000000,1
-133000000000,-132000000000,1
-130000000000,-129000000000,2
-128000000000,-127000000000,1
-121000000000,-120000000000,1
-118000000000,-117000000000,1
-117000000000,-116000000000,1
-116000000000,-115000000000,2
-114000000000,-113000000000,1
-112000000000,-111000000000,1
-110000000000,-109000000000,1
-109000000000,-108000000000,1
-107000000000,-106000000000,2
-102000000000,-101000000000,1
-101000000000,-100000000000,1
-100000000000,-99000000000,3
-99000000000,-98000000000,2
-97000000000,-96000000000,3
-96000000000,-95000000000,1
-95000000000,-94000000000,1
-94000000000,-93000000000,1
-93000000000,-92000000000,2
-92000000000,-91000000000,1
-91000000000,-90000000000,2
-88000000000,-87000000000,2
-87000000000,-86000000000,4
-86000000000,-85000000000,2
-85000000000,-84000000000,5
-83000000000,-82000000000,1
-82000000000,-81000000000,1
-81000000000,-80000000000,1
-80000000000,-79000000000,2
-78000000000,-77000000000,1
-77000000000,-76000000000,5
-76000000000,-75000000000,3
-75000000000,-74000000000,2
-74000000000,-73000000000,1
-73000000000,-72000000000,3
-71000000000,-70000000000,7
-70000000000,-69000000000,2
-69000000000,-68000000000,2
-68000000000,-67000000000,2
-67000000000,-66000000000,2
-66000000000,-65000000000,2
-65000000000,-64000000000,2
-64000000000,-63000000000,2
-63000000000,-62000000000,2
-62000000000,-61000000000,2
-61000000000,-60000000000,3
-60000000000,-59000000000,1
-59000000000,-58000000000,7
-58000000000,-57000000000,1
-57000000000,-56000000000,3
-56000000000,-55000000000,2
-55000000000,-54000000000,1
-54000000000,-53000000000,1
-53000000000,-52000000000,1
-52000000000,-51000000000,5
-51000000000,-50000000000,9
-50000000000,-49000000000,5
-49000000000,-48000000000,6
-48000000000,-47000000000,4
-47000000000,-46000000000,6
-46000000000,-45000000000,9
-45000000000,-44000000000,6
-44000000000,-43000000000,4
-43000000000,-42000000000,9
-42000000000,-41000000000,5
-41000000000,-40000000000,10
-40000000000,-39000000000,7
-39000000000,-38000000000,6
-38000000000,-37000000000,13
-37000000000,-36000000000,6
-36000000000,-35000000000,8
-35000000000,-34000000000,5
-34000000000,-33000000000,6
-33000000000,-32000000000,6
-32000000000,-31000000000,7
-31000000000,-30000000000,7
-30000000000,-29000000000,7
-29000000000,-28000000000,5
-28000000000,-27000000000,15
-27000000000,-26000000000,9
-26000000000,-25000000000,21
-25000000000,-24000000000,14
-24000000000,-23000000000,14
-23000000000,-22000000000,13
-22000000000,-21000000000,13
-21000000000,-20000000000,21
-20000000000,-19000000000,19
-19000000000,-18000000000,12
-18000000000,-17000000000,29
-17000000000,-16000000000,30
-16000000000,-15000000000,32
-15000000000,-14000000000,30
-14000000000,-13000000000,20
-13000000000,-12000000000,40
-12000000000,-11000000000,51
-11000000000,-10000000000,42
-10000000000,-9000000000,62
-9000000000,-8000000000,77
-8000000000,-7000000000,107
-7000000000,-6000000000,113
-6000000000,-5000000000,174
-5000000000,-4000000000,182
-4000000000,-3000000000,268
-3000000000,-2000000000,447
-2000000000,-1000000000,872
-1000000000,0,1314
