bin_start,bin_end,frequency
0,10000000000,677
10000000000,20000000000,548
20000000000,30000000000,415
30000000000,40000000000,349
40000000000,50000000000,267
50000000000,60000000000,207
60000000000,70000000000,170
70000000000,80000000000,128
80000000000,90000000000,102
90000000000,100000000000,69
100000000000,110000000000,89
110000000000,120000000000,51
120000000000,130000000000,65
130000000000,140000000000,50
140000000000,150000000000,56
150000000000,160000000000,46
160000000000,170000000000,34
170000000000,180000000000,47
180000000000,190000000000,34
190000000000,200000000000,40
200000000000,210000000000,24
210000000000,220000000000,25
220000000000,230000000000,23
230000000000,240000000000,14
240000000000,250000000000,19
250000000000,260000000000,14
260000000000,270000000000,14
270000000000,280000000000,16
280000000000,290000000000,17
290000000000,300000000000,21
300000000000,310000000000,13
310000000000,320000000000,14
320000000000,330000000000,15
330000000000,340000000000,11
340000000000,350000000000,8
350000000000,360000000000,16
360000000000,370000000000,11
370000000000,380000000000,18
380000000000,390000000000,11
390000000000,400000000000,11
400000000000,410000000000,11
410000000000,420000000000,12
420000000000,430000000000,9
430000000000,440000000000,10
440000000000,450000000000,4
450000000000,460000000000,4
460000000000,470000000000,11
470000000000,480000000000,9
480000000000,490000000000,4
490000000000,500000000000,8
500000000000,510000000000,9
510000000000,520000000000,2
520000000000,530000000000,3
530000000000,540000000000,4
540000000000,550000000000,4
550000000000,560000000000,3
560000000000,570000000000,2
570000000000,580000000000,3
580000000000,590000000000,2
590000000000,600000000000,3
600000000000,610000000000,3
610000000000,620000000000,4
620000000000,630000000000,3
630000000000,640000000000,1
640000000000,650000000000,2
650000000000,660000000000,3
660000000000,670000000000,8
670000000000,680000000000,3
680000000000,690000000000,5
690000000000,700000000000,5
700000000000,710000000000,2
710000000000,720000000000,5
720000000000,730000000000,7
730000000000,740000000000,3
740000000000,750000000000,4
750000000000,760000000000,3
760000000000,770000000000,3
770000000000,780000000000,3
780000000000,790000000000,3
790000000000,800000000000,1
800000000000,810000000000,3
810000000000,820000000000,2
820000000000,830000000000,4
830000000000,840000000000,1
840000000000,850000000000,4
850000000000,860000000000,5
860000000000,870000000000,2
870000000000,880000000000,3
880000000000,890000000000,4
