bin_start,bin_end,frequency
-3420,-3410,1
-1260,-1250,1
-1090,-1080,1
-1030,-1020,2
-990,-980,1
-840,-830,1
-820,-810,1
-800,-790,1
-790,-780,1
-770,-760,1
-700,-690,1
-670,-660,1
-650,-640,1
-610,-600,1
-600,-590,1
-560,-550,1
-540,-530,1
-520,-510,4
-510,-500,1
-490,-480,2
-480,-470,1
-460,-450,1
-450,-440,1
-440,-430,2
-430,-420,2
-410,-400,3
-400,-390,3
-380,-370,2
-360,-350,1
-340,-330,1
-320,-310,2
-310,-300,1
-300,-290,2
-290,-280,2
-280,-270,1
-270,-260,1
-260,-250,7
-250,-240,4
-240,-230,2
-230,-220,3
-220,-210,5
-210,-200,10
-200,-190,4
-190,-180,4
-180,-170,4
-170,-160,7
-160,-150,6
-150,-140,6
-140,-130,4
-130,-120,10
-120,-110,10
-110,-100,8
-100,-90,8
-90,-80,10
-80,-70,10
-70,-60,13
-60,-50,10
-50,-40,15
-40,-30,18
-30,-20,12
-20,-10,22
-10,0,25
0,10,64
10,20,94
20,30,129
30,40,123
40,50,158
50,60,173
60,70,155
70,80,178
80,90,187
90,100,183
100,110,156
110,120,149
120,130,127
130,140,133
140,150,120
150,160,123
160,170,115
170,180,98
180,190,88
190,200,84
200,210,64
210,220,61
220,230,75
230,240,75
240,250,60
250,260,38
260,270,38
270,280,37
280,290,39
290,300,43
300,310,32
310,320,37
320,330,28
330,340,30
340,350,35
350,360,23
360,370,30
370,380,24
380,390,22
390,400,21
400,410,21
410,420,17
420,430,20
430,440,14
440,450,16
450,460,14
460,470,16
470,480,5
480,490,9
490,500,5
500,510,5
510,520,11
520,530,7
530,540,8
540,550,5
550,560,7
560,570,8
570,580,4
580,590,10
590,600,7
600,610,2
610,620,3
620,630,5
630,640,1
640,650,3
650,660,4
660,670,4
670,680,4
680,690,1
690,700,2
700,710,1
720,730,4
730,740,2
740,750,3
750,760,1
760,770,4
770,780,3
780,790,3
790,800,1
800,810,1
810,820,1
820,830,2
830,840,2
850,860,4
860,870,1
870,880,1
880,890,3
900,910,1
910,920,1
930,940,3
940,950,2
960,970,1
970,980,2
1000,1010,3
1020,1030,4
1030,1040,2
1040,1050,1
1070,1080,1
1080,1090,2
1090,1100,1
1100,1110,1
1120,1130,1
1170,1180,1
1180,1190,2
1210,1220,1
1220,1230,1
1230,1240,1
1250,1260,1
1260,1270,1
1280,1290,1
1290,1300,2
1310,1320,1
1340,1350,1
1380,1390,1
1490,1500,1
1520,1530,1
1560,1570,1
1760,1770,1
1830,1840,1
1840,1850,1
1910,1920,1
1920,1930,1
1960,1970,1
1990,2000,2
2030,2040,1
2190,2200,1
2430,2440,1
2440,2450,1
2740,2750,1
2760,2770,1
2920,2930,1
3440,3450,1
