bin_start,bin_end,frequency
-360000000000,-350000000000,1
-290000000000,-280000000000,1
-260000000000,-250000000000,2
-230000000000,-220000000000,1
-210000000000,-200000000000,1
-140000000000,-130000000000,1
-90000000000,-80000000000,1
-80000000000,-70000000000,1
-70000000000,-60000000000,1
-60000000000,-50000000000,1
-50000000000,-40000000000,1
-40000000000,-30000000000,1
-30000000000,-20000000000,9
-20000000000,-10000000000,13
-10000000000,0,90
0,10000000000,1639
10000000000,20000000000,756
20000000000,30000000000,357
30000000000,40000000000,237
40000000000,50000000000,153
50000000000,60000000000,135
60000000000,70000000000,91
70000000000,80000000000,67
80000000000,90000000000,70
90000000000,100000000000,45
100000000000,110000000000,56
110000000000,120000000000,33
120000000000,130000000000,24
130000000000,140000000000,24
140000000000,150000000000,19
150000000000,160000000000,27
160000000000,170000000000,16
170000000000,180000000000,19
180000000000,190000000000,13
190000000000,200000000000,17
200000000000,210000000000,12
210000000000,220000000000,10
220000000000,230000000000,13
230000000000,240000000000,7
240000000000,250000000000,8
250000000000,260000000000,9
260000000000,270000000000,3
270000000000,280000000000,6
280000000000,290000000000,12
290000000000,300000000000,9
300000000000,310000000000,8
310000000000,320000000000,6
320000000000,330000000000,3
330000000000,340000000000,7
340000000000,350000000000,4
350000000000,360000000000,6
360000000000,370000000000,7
370000000000,380000000000,5
380000000000,390000000000,3
390000000000,400000000000,5
400000000000,410000000000,5
410000000000,420000000000,4
420000000000,430000000000,3
430000000000,440000000000,4
440000000000,450000000000,3
450000000000,460000000000,2
460000000000,470000000000,4
470000000000,480000000000,13
480000000000,490000000000,5
490000000000,500000000000,2
500000000000,510000000000,4
510000000000,520000000000,5
520000000000,530000000000,1
530000000000,540000000000,3
540000000000,550000000000,3
550000000000,560000000000,1
560000000000,570000000000,4
570000000000,580000000000,4
580000000000,590000000000,3
590000000000,600000000000,1
600000000000,610000000000,3
610000000000,620000000000,2
620000000000,630000000000,1
630000000000,640000000000,1
640000000000,650000000000,2
650000000000,660000000000,3
660000000000,670000000000,1
670000000000,680000000000,2
680000000000,690000000000,1
690000000000,700000000000,5
710000000000,720000000000,4
730000000000,740000000000,2
740000000000,750000000000,1
760000000000,770000000000,1
770000000000,780000000000,1
780000000000,790000000000,1
790000000000,800000000000,1
810000000000,820000000000,2
820000000000,830000000000,2
830000000000,840000000000,3
840000000000,850000000000,2
860000000000,870000000000,2
900000000000,910000000000,1
930000000000,940000000000,1
960000000000,970000000000,1
970000000000,980000000000,1
980000000000,990000000000,1
1000000000000,1010000000000,1
1020000000000,1030000000000,1
1030000000000,1040000000000,1
1050000000000,1060000000000,1
1080000000000,1090000000000,1
1110000000000,1120000000000,1
1130000000000,1140000000000,1
1150000000000,1160000000000,2
1160000000000,1170000000000,1
1170000000000,1180000000000,1
1220000000000,1230000000000,1
1230000000000,1240000000000,2
1310000000000,1320000000000,1
1340000000000,1350000000000,1
1350000000000,1360000000000,1
1390000000000,1400000000000,1
1400000000000,1410000000000,1
1470000000000,1480000000000,1
1500000000000,1510000000000,1
1550000000000,1560000000000,1
1580000000000,1590000000000,2
1610000000000,1620000000000,5
1630000000000,1640000000000,1
1660000000000,1670000000000,2
1690000000000,1700000000000,3
1740000000000,1750000000000,2
1760000000000,1770000000000,1
1770000000000,1780000000000,1
1780000000000,1790000000000,2
1800000000000,1810000000000,1
1880000000000,1890000000000,1
1960000000000,1970000000000,1
2150000000000,2160000000000,1
2300000000000,2310000000000,1
2370000000000,2380000000000,1
2450000000000,2460000000000,1
2490000000000,2500000000000,1
3210000000000,3220000000000,1
3410000000000,3420000000000,1
3470000000000,3480000000000,1
3730000000000,3740000000000,1
4610000000000,4620000000000,1
5750000000000,5760000000000,1
5840000000000,5850000000000,1
6820000000000,6830000000000,1
9110000000000,9120000000000,1
