bin_start,bin_end,frequency
-5048400000000,-5048300000000,1
-2084100000000,-2084000000000,1
-1259600000000,-1259500000000,1
-1200900000000,-1200800000000,1
-749600000000,-749500000000,1
-715000000000,-714900000000,1
-654500000000,-654400000000,1
-647200000000,-647100000000,1
-624000000000,-623900000000,1
-622700000000,-622600000000,1
-608700000000,-608600000000,1
-554100000000,-554000000000,2
-520600000000,-520500000000,1
-480800000000,-480700000000,1
-466400000000,-466300000000,1
-464800000000,-464700000000,1
-462900000000,-462800000000,1
-451500000000,-451400000000,1
-446500000000,-446400000000,1
-403600000000,-403500000000,1
-391900000000,-391800000000,1
-385200000000,-385100000000,1
-377500000000,-377400000000,1
-356100000000,-356000000000,1
-349000000000,-348900000000,1
-336300000000,-336200000000,1
-329900000000,-329800000000,1
-328500000000,-328400000000,1
-320000000000,-319900000000,1
-305700000000,-305600000000,1
-299900000000,-299800000000,1
-281100000000,-281000000000,1
-274500000000,-274400000000,1
-257100000000,-257000000000,1
-244500000000,-244400000000,1
-242700000000,-242600000000,1
-240500000000,-240400000000,1
-236300000000,-236200000000,1
-220900000000,-220800000000,1
-218600000000,-218500000000,1
-214200000000,-214100000000,1
-209100000000,-209000000000,1
-203000000000,-202900000000,1
-198900000000,-198800000000,1
-195900000000,-195800000000,1
-188400000000,-188300000000,1
-187400000000,-187300000000,1
-179400000000,-179300000000,1
-172000000000,-171900000000,1
-166300000000,-166200000000,1
-160500000000,-160400000000,1
-159800000000,-159700000000,1
-154000000000,-153900000000,1
-153400000000,-153300000000,1
-152900000000,-152800000000,1
-145800000000,-145700000000,1
-136400000000,-136300000000,1
-134200000000,-134100000000,1
-133700000000,-133600000000,1
-128500000000,-128400000000,1
-128100000000,-128000000000,1
-126900000000,-126800000000,1
-125000000000,-124900000000,1
-122800000000,-122700000000,1
-122400000000,-122300000000,1
-122000000000,-121900000000,1
-118400000000,-118300000000,1
-115300000000,-115200000000,1
-115100000000,-115000000000,1
-109400000000,-109300000000,1
-104400000000,-104300000000,1
-104200000000,-104100000000,1
-102000000000,-101900000000,1
-99800000000,-99700000000,1
-96600000000,-96500000000,1
-94900000000,-94800000000,1
-94500000000,-94400000000,1
-93400000000,-93300000000,1
-93200000000,-93100000000,1
-88500000000,-88400000000,1
-87000000000,-86900000000,1
-86600000000,-86500000000,1
-86500000000,-86400000000,1
-85000000000,-84900000000,1
-84900000000,-84800000000,1
-84500000000,-84400000000,1
-83000000000,-82900000000,2
-82500000000,-82400000000,1
-81500000000,-81400000000,1
-79700000000,-79600000000,1
-78800000000,-78700000000,1
-78400000000,-78300000000,1
-77200000000,-77100000000,1
-76500000000,-76400000000,1
-75800000000,-75700000000,1
-74800000000,-74700000000,1
-72900000000,-72800000000,1
-72500000000,-72400000000,1
-72100000000,-72000000000,1
-71100000000,-71000000000,1
-71000000000,-70900000000,1
-70400000000,-70300000000,1
-70000000000,-69900000000,1
-69300000000,-69200000000,1
-67800000000,-67700000000,1
-67000000000,-66900000000,1
-66300000000,-66200000000,1
-66100000000,-66000000000,1
-65300000000,-65200000000,1
-65100000000,-65000000000,2
-64700000000,-64600000000,1
-64500000000,-64400000000,1
-63000000000,-62900000000,1
-62600000000,-62500000000,1
-61000000000,-60900000000,1
-60500000000,-60400000000,1
-60400000000,-60300000000,1
-59000000000,-58900000000,1
-58700000000,-58600000000,1
-58300000000,-58200000000,1
-58200000000,-58100000000,1
-57700000000,-57600000000,1
-56800000000,-56700000000,1
-56700000000,-56600000000,1
-56600000000,-56500000000,2
-56100000000,-56000000000,1
-55900000000,-55800000000,1
-55700000000,-55600000000,1
-55300000000,-55200000000,1
-53900000000,-53800000000,2
-53500000000,-53400000000,1
-52900000000,-52800000000,1
-52700000000,-52600000000,1
-52600000000,-52500000000,1
-50700000000,-50600000000,1
-50300000000,-50200000000,1
-50200000000,-50100000000,1
-49800000000,-49700000000,1
-48500000000,-48400000000,1
-47500000000,-47400000000,1
-46800000000,-46700000000,1
-46400000000,-46300000000,1
-45400000000,-45300000000,1
-45200000000,-45100000000,2
-44700000000,-44600000000,1
-44600000000,-44500000000,2
-44300000000,-44200000000,1
-44200000000,-44100000000,1
-43500000000,-43400000000,1
-42100000000,-42000000000,1
-41800000000,-41700000000,1
-41100000000,-41000000000,1
-41000000000,-40900000000,1
-40400000000,-40300000000,1
-40300000000,-40200000000,1
-39400000000,-39300000000,1
-39300000000,-39200000000,1
-39000000000,-38900000000,1
-38400000000,-38300000000,1
-38300000000,-38200000000,1
-37400000000,-37300000000,1
-37200000000,-37100000000,1
-36500000000,-36400000000,1
-35500000000,-35400000000,1
-35400000000,-35300000000,1
-35000000000,-34900000000,1
-34800000000,-34700000000,1
-34400000000,-34300000000,1
-34000000000,-33900000000,1
-33900000000,-33800000000,1
-32700000000,-32600000000,1
-32100000000,-32000000000,2
-32000000000,-31900000000,1
-31700000000,-31600000000,1
-31600000000,-31500000000,1
-31300000000,-31200000000,2
-31200000000,-31100000000,1
-31100000000,-31000000000,1
-31000000000,-30900000000,2
-30600000000,-30500000000,1
-30400000000,-30300000000,1
-29500000000,-29400000000,1
-29400000000,-29300000000,1
-29200000000,-29100000000,1
-29000000000,-28900000000,1
-28400000000,-28300000000,1
-28300000000,-28200000000,1
-27500000000,-27400000000,2
-27100000000,-27000000000,2
-26900000000,-26800000000,1
-26400000000,-26300000000,1
-26300000000,-26200000000,1
-26100000000,-26000000000,1
-25300000000,-25200000000,1
-24900000000,-24800000000,1
-24700000000,-24600000000,3
-24200000000,-24100000000,2
-24000000000,-23900000000,3
-23600000000,-23500000000,2
-23400000000,-23300000000,1
-23200000000,-23100000000,1
-23100000000,-23000000000,1
-23000000000,-22900000000,1
-22900000000,-22800000000,1
-22600000000,-22500000000,1
-22400000000,-22300000000,1
-22000000000,-21900000000,1
-21800000000,-21700000000,1
-21700000000,-21600000000,1
-21400000000,-21300000000,1
-21100000000,-21000000000,1
-21000000000,-20900000000,2
-20900000000,-20800000000,2
-20800000000,-20700000000,1
-20600000000,-20500000000,4
-20400000000,-20300000000,1
-20300000000,-20200000000,1
-20200000000,-20100000000,2
-20100000000,-20000000000,2
-19800000000,-19700000000,1
-19700000000,-19600000000,1
-19600000000,-19500000000,1
-19400000000,-19300000000,2
-19300000000,-19200000000,2
-19000000000,-18900000000,3
-18900000000,-18800000000,2
-18800000000,-18700000000,1
-18600000000,-18500000000,1
-18500000000,-18400000000,1
-18300000000,-18200000000,4
-18100000000,-18000000000,1
-17900000000,-17800000000,3
-17800000000,-17700000000,2
-17700000000,-17600000000,1
-17600000000,-17500000000,2
-17500000000,-17400000000,3
-17200000000,-17100000000,1
