bin_start,bin_end,frequency
900000000,1000000000,1
1100000000,1200000000,1
1300000000,1400000000,2
1400000000,1500000000,2
1600000000,1700000000,1
1700000000,1800000000,1
1800000000,1900000000,2
1900000000,2000000000,2
2100000000,2200000000,2
2200000000,2300000000,1
2300000000,2400000000,2
2500000000,2600000000,1
2600000000,2700000000,1
2700000000,2800000000,2
2900000000,3000000000,2
3000000000,3100000000,2
3100000000,3200000000,2
3200000000,3300000000,1
3300000000,3400000000,4
3400000000,3500000000,1
3500000000,3600000000,2
3600000000,3700000000,2
3700000000,3800000000,3
3800000000,3900000000,2
3900000000,4000000000,1
4000000000,4100000000,2
4100000000,4200000000,3
4200000000,4300000000,2
4300000000,4400000000,1
4400000000,4500000000,2
4600000000,4700000000,2
4800000000,4900000000,2
4900000000,5000000000,3
5000000000,5100000000,3
5100000000,5200000000,1
5200000000,5300000000,3
5300000000,5400000000,2
5500000000,5600000000,1
5600000000,5700000000,2
5700000000,5800000000,3
5800000000,5900000000,4
5900000000,6000000000,5
6000000000,6100000000,2
6100000000,6200000000,3
6200000000,6300000000,1
6300000000,6400000000,7
6400000000,6500000000,5
6500000000,6600000000,1
6600000000,6700000000,1
6700000000,6800000000,1
6800000000,6900000000,6
6900000000,7000000000,4
7000000000,7100000000,1
7100000000,7200000000,5
7300000000,7400000000,6
7500000000,7600000000,1
7600000000,7700000000,3
7700000000,7800000000,1
7800000000,7900000000,3
7900000000,8000000000,3
8000000000,8100000000,5
8100000000,8200000000,2
8200000000,8300000000,3
8300000000,8400000000,7
8400000000,8500000000,7
8500000000,8600000000,2
8600000000,8700000000,4
8700000000,8800000000,7
8800000000,8900000000,3
8900000000,9000000000,2
9000000000,9100000000,2
9200000000,9300000000,3
9300000000,9400000000,1
9400000000,9500000000,4
9500000000,9600000000,2
9600000000,9700000000,6
9700000000,9800000000,3
9800000000,9900000000,3
9900000000,10000000000,4
10000000000,10100000000,2
10100000000,10200000000,2
10200000000,10300000000,4
10300000000,10400000000,1
10400000000,10500000000,3
10600000000,10700000000,3
10700000000,10800000000,1
10800000000,10900000000,5
10900000000,11000000000,3
11000000000,11100000000,5
11100000000,11200000000,2
11200000000,11300000000,1
11300000000,11400000000,1
11400000000,11500000000,1
11500000000,11600000000,1
11600000000,11700000000,2
11700000000,11800000000,2
11800000000,11900000000,3
12000000000,12100000000,3
12100000000,12200000000,2
12300000000,12400000000,6
12400000000,12500000000,2
12500000000,12600000000,2
12600000000,12700000000,3
12700000000,12800000000,1
12800000000,12900000000,3
12900000000,13000000000,3
13000000000,13100000000,3
13100000000,13200000000,2
13200000000,13300000000,4
13300000000,13400000000,2
13400000000,13500000000,7
13500000000,13600000000,3
13600000000,13700000000,1
13700000000,13800000000,3
13800000000,13900000000,3
13900000000,14000000000,1
14200000000,14300000000,1
14300000000,14400000000,4
14400000000,14500000000,3
14500000000,14600000000,3
14600000000,14700000000,2
14800000000,14900000000,2
14900000000,15000000000,3
15000000000,15100000000,2
15100000000,15200000000,3
15200000000,15300000000,1
15400000000,15500000000,2
15500000000,15600000000,3
15700000000,15800000000,2
15900000000,16000000000,1
16100000000,16200000000,3
16200000000,16300000000,4
16300000000,16400000000,4
16400000000,16500000000,3
16500000000,16600000000,1
16600000000,16700000000,3
16700000000,16800000000,1
16800000000,16900000000,1
16900000000,17000000000,3
17000000000,17100000000,3
17100000000,17200000000,1
17300000000,17400000000,3
17400000000,17500000000,1
17600000000,17700000000,5
17700000000,17800000000,1
17800000000,17900000000,3
17900000000,18000000000,3
18000000000,18100000000,1
18100000000,18200000000,3
18200000000,18300000000,2
18300000000,18400000000,4
18500000000,18600000000,1
18600000000,18700000000,1
18700000000,18800000000,5
18800000000,18900000000,4
18900000000,19000000000,3
19000000000,19100000000,2
19100000000,19200000000,3
19200000000,19300000000,1
19300000000,19400000000,2
19400000000,19500000000,2
19500000000,19600000000,1
19600000000,19700000000,3
19700000000,19800000000,2
19800000000,19900000000,1
19900000000,20000000000,3
20200000000,20300000000,2
20300000000,20400000000,2
20400000000,20500000000,4
20500000000,20600000000,1
20700000000,20800000000,1
20800000000,20900000000,2
20900000000,21000000000,3
21000000000,21100000000,2
21100000000,21200000000,2
21300000000,21400000000,1
21400000000,21500000000,1
21600000000,21700000000,2
21700000000,21800000000,2
21800000000,21900000000,1
21900000000,22000000000,2
22000000000,22100000000,2
22100000000,22200000000,3
22200000000,22300000000,3
22500000000,22600000000,1
22600000000,22700000000,1
22700000000,22800000000,2
22800000000,22900000000,3
23000000000,23100000000,2
23100000000,23200000000,3
23200000000,23300000000,1
23300000000,23400000000,3
23500000000,23600000000,4
23600000000,23700000000,2
23700000000,23800000000,2
23800000000,23900000000,2
23900000000,24000000000,2
24000000000,24100000000,1
24300000000,24400000000,2
24400000000,24500000000,1
24500000000,24600000000,1
24600000000,24700000000,1
24700000000,24800000000,1
24800000000,24900000000,1
24900000000,25000000000,2
25000000000,25100000000,5
25100000000,25200000000,2
25300000000,25400000000,2
25400000000,25500000000,1
25600000000,25700000000,1
25700000000,25800000000,2
26000000000,26100000000,1
26100000000,26200000000,1
26200000000,26300000000,1
26300000000,26400000000,3
26400000000,26500000000,2
26600000000,26700000000,4
26700000000,26800000000,2
26800000000,26900000000,1
26900000000,27000000000,2
27000000000,27100000000,2
27200000000,27300000000,5
27300000000,27400000000,1
27400000000,27500000000,2
27700000000,27800000000,1
27800000000,27900000000,1
27900000000,28000000000,1
28000000000,28100000000,2
28300000000,28400000000,2
28400000000,28500000000,1
28700000000,28800000000,1
28900000000,29000000000,1
29000000000,29100000000,2
29100000000,29200000000,1
29200000000,29300000000,1
29300000000,29400000000,4
29500000000,29600000000,2
29600000000,29700000000,3
29700000000,29800000000,1
29800000000,29900000000,1
29900000000,30000000000,1
30000000000,30100000000,1
30100000000,30200000000,2
30200000000,30300000000,1
30400000000,30500000000,2
30700000000,30800000000,1
30900000000,31000000000,4
31200000000,31300000000,3
31300000000,31400000000,2
31400000000,31500000000,2
31500000000,31600000000,1
31600000000,31700000000,2
31700000000,31800000000,2
31800000000,31900000000,2
31900000000,32000000000,1
32000000000,32100000000,1
32100000000,32200000000,1
32400000000,32500000000,1
32500000000,32600000000,1
32600000000,32700000000,1
32800000000,32900000000,1
32900000000,33000000000,1
33000000000,33100000000,1
33200000000,33300000000,1
33300000000,33400000000,1
33500000000,33600000000,1
33600000000,33700000000,1
33700000000,33800000000,1
33800000000,33900000000,2
33900000000,34000000000,4
34300000000,34400000000,2
34500000000,34600000000,1
34600000000,34700000000,1
34700000000,34800000000,1
34900000000,35000000000,1
35000000000,35100000000,1
35200000000,35300000000,2
35300000000,35400000000,1
35400000000,35500000000,2
35500000000,35600000000,1
35600000000,35700000000,3
35800000000,35900000000,2
35900000000,36000000000,1
36100000000,36200000000,1
36200000000,36300000000,1
36300000000,36400000000,1
36400000000,36500000000,1
36700000000,36800000000,2
36800000000,36900000000,1
37000000000,37100000000,1
37100000000,37200000000,1
37200000000,37300000000,1
37400000000,37500000000,3
37700000000,37800000000,1
37900000000,38000000000,1
38200000000,38300000000,2
38400000000,38500000000,1
38600000000,38700000000,2
38700000000,38800000000,1
38800000000,38900000000,1
39000000000,39100000000,1
39100000000,39200000000,2
39300000000,39400000000,1
39700000000,39800000000,1
39800000000,39900000000,1
39900000000,40000000000,2
40100000000,40200000000,3
41100000000,41200000000,1
41400000000,41500000000,1
42000000000,42100000000,1
42100000000,42200000000,3
42400000000,42500000000,1
42700000000,42800000000,2
43100000000,43200000000,1
43200000000,43300000000,1
43300000000,43400000000,1
43400000000,43500000000,1
43600000000,43700000000,1
43700000000,43800000000,1
43800000000,43900000000,1
43900000000,44000000000,1
44200000000,44300000000,1
44500000000,44600000000,1
44900000000,45000000000,1
45100000000,45200000000,1
45300000000,45400000000,2
45400000000,45500000000,1
45500000000,45600000000,1
45600000000,45700000000,2
46300000000,46400000000,1
46500000000,46600000000,2
46600000000,46700000000,1
46900000000,47000000000,1
47000000000,47100000000,3
47100000000,47200000000,1
47800000000,47900000000,1
48000000000,48100000000,1
48200000000,48300000000,1
48500000000,48600000000,1
48600000000,48700000000,1
48800000000,48900000000,1
49000000000,49100000000,1
49100000000,49200000000,1
49200000000,49300000000,1
49400000000,49500000000,1
49500000000,49600000000,1
49600000000,49700000000,1
50000000000,50100000000,1
50200000000,50300000000,1
50300000000,50400000000,2
50600000000,50700000000,1
50700000000,50800000000,1
51100000000,51200000000,1
51300000000,51400000000,1
51600000000,51700000000,1
52000000000,52100000000,1
52200000000,52300000000,2
52300000000,52400000000,1
52500000000,52600000000,1
52700000000,52800000000,1
53000000000,53100000000,1
53200000000,53300000000,1
53400000000,53500000000,1
53600000000,53700000000,1
53800000000,53900000000,1
54000000000,54100000000,1
54200000000,54300000000,1
54500000000,54600000000,2
54900000000,55000000000,3
55100000000,55200000000,2
55200000000,55300000000,2
55400000000,55500000000,2
56000000000,56100000000,1
56300000000,56400000000,1
56500000000,56600000000,2
56600000000,56700000000,1
56700000000,56800000000,1
56800000000,56900000000,1
56900000000,57000000000,1
57000000000,57100000000,1
57400000000,57500000000,1
57600000000,57700000000,1
57800000000,57900000000,1
57900000000,58000000000,1
58000000000,58100000000,2
58500000000,58600000000,1
58600000000,58700000000,1
59000000000,59100000000,1
59200000000,59300000000,1
59300000000,59400000000,1
59400000000,59500000000,1
59600000000,59700000000,2
60100000000,60200000000,1
60300000000,60400000000,1
60600000000,60700000000,1
60900000000,61000000000,1
61700000000,61800000000,1
61800000000,61900000000,1
62000000000,62100000000,1
62500000000,62600000000,1
63900000000,64000000000,1
64200000000,64300000000,1
64500000000,64600000000,2
64700000000,64800000000,1
64800000000,64900000000,1
65300000000,65400000000,1
65400000000,65500000000,1
65500000000,65600000000,1
65600000000,65700000000,1
66100000000,66200000000,1
66500000000,66600000000,1
66600000000,66700000000,1
67600000000,67700000000,1
68100000000,68200000000,1
68200000000,68300000000,1
68400000000,68500000000,1
68600000000,68700000000,2
69300000000,69400000000,1
69500000000,69600000000,1
69600000000,69700000000,2
69700000000,69800000000,1
70000000000,70100000000,2
70600000000,70700000000,1
71000000000,71100000000,1
71300000000,71400000000,1
71400000000,71500000000,1
71600000000,71700000000,1
72200000000,72300000000,1
73000000000,73100000000,1
73100000000,73200000000,2
74000000000,74100000000,1
74100000000,74200000000,1
75000000000,75100000000,1
75500000000,75600000000,1
76000000000,76100000000,1
76500000000,76600000000,2
76900000000,77000000000,1
77300000000,77400000000,1
77600000000,77700000000,1
78000000000,78100000000,1
79600000000,79700000000,2
80100000000,80200000000,1
80200000000,80300000000,1
80500000000,80600000000,1
80700000000,80800000000,1
81300000000,81400000000,1
81600000000,81700000000,1
82000000000,82100000000,1
82100000000,82200000000,1
82400000000,82500000000,1
82500000000,82600000000,1
82800000000,82900000000,1
84100000000,84200000000,2
84800000000,84900000000,1
85000000000,85100000000,1
85600000000,85700000000,1
89200000000,89300000000,1
90000000000,90100000000,1
90100000000,90200000000,1
90300000000,90400000000,1
90400000000,90500000000,1
91700000000,91800000000,1
91800000000,91900000000,1
92600000000,92700000000,1
93400000000,93500000000,1
94000000000,94100000000,1
94500000000,94600000000,1
95000000000,95100000000,1
95900000000,96000000000,1
96600000000,96700000000,2
97600000000,97700000000,2
97900000000,98000000000,1
98400000000,98500000000,1
98500000000,98600000000,1
98900000000,99000000000,1
99600000000,99700000000,1
101500000000,101600000000,1
102200000000,102300000000,1
102700000000,102800000000,1
103200000000,103300000000,1
103500000000,103600000000,2
103900000000,104000000000,2
105100000000,105200000000,1
105300000000,105400000000,1
105900000000,106000000000,1
106700000000,106800000000,1
106800000000,106900000000,1
108300000000,108400000000,1
108700000000,108800000000,1
109000000000,109100000000,1
109400000000,109500000000,1
110700000000,110800000000,1
112900000000,113000000000,1
113400000000,113500000000,2
113800000000,113900000000,1
117200000000,117300000000,1
117500000000,117600000000,1
117700000000,117800000000,1
117900000000,118000000000,1
118300000000,118400000000,1
119100000000,119200000000,1
