bin_start,bin_end,frequency
-880200000000,-880100000000,1
-439800000000,-439700000000,1
-417500000000,-417400000000,1
-406800000000,-406700000000,2
-348100000000,-348000000000,1
-297600000000,-297500000000,1
-293500000000,-293400000000,1
-287200000000,-287100000000,1
-255700000000,-255600000000,1
-242400000000,-242300000000,1
-241900000000,-241800000000,1
-236300000000,-236200000000,1
-234800000000,-234700000000,1
-225500000000,-225400000000,1
-219200000000,-219100000000,1
-211300000000,-211200000000,1
-202500000000,-202400000000,1
-183200000000,-183100000000,1
-152200000000,-152100000000,1
-147400000000,-147300000000,1
-146100000000,-146000000000,1
-144400000000,-144300000000,1
-139100000000,-139000000000,1
-138600000000,-138500000000,1
-133700000000,-133600000000,1
-117200000000,-117100000000,1
-116700000000,-116600000000,1
-116000000000,-115900000000,1
-99900000000,-99800000000,1
-98700000000,-98600000000,1
-98400000000,-98300000000,1
-97000000000,-96900000000,1
-94500000000,-94400000000,1
-92800000000,-92700000000,1
-90100000000,-90000000000,1
-87600000000,-87500000000,1
-84400000000,-84300000000,1
-81400000000,-81300000000,1
-80100000000,-80000000000,1
-76100000000,-76000000000,1
-75900000000,-75800000000,1
-74800000000,-74700000000,1
-72800000000,-72700000000,1
-67100000000,-67000000000,1
-66900000000,-66800000000,1
-66500000000,-66400000000,1
-65300000000,-65200000000,1
-64400000000,-64300000000,1
-62600000000,-62500000000,1
-62100000000,-62000000000,1
-60200000000,-60100000000,1
-58800000000,-58700000000,1
-58100000000,-58000000000,1
-56200000000,-56100000000,1
-51800000000,-51700000000,1
-51000000000,-50900000000,1
-50900000000,-50800000000,1
-50300000000,-50200000000,1
-50100000000,-50000000000,1
-50000000000,-49900000000,1
-49300000000,-49200000000,1
-48600000000,-48500000000,1
-47100000000,-47000000000,1
-46000000000,-45900000000,2
-44800000000,-44700000000,1
-44700000000,-44600000000,1
-44100000000,-44000000000,1
-43900000000,-43800000000,1
-42200000000,-42100000000,1
-41900000000,-41800000000,1
-41300000000,-41200000000,1
-41000000000,-40900000000,1
-40500000000,-40400000000,1
-40300000000,-40200000000,2
-39700000000,-39600000000,1
-39100000000,-39000000000,1
-38800000000,-38700000000,1
-38500000000,-38400000000,1
-37800000000,-37700000000,1
-37200000000,-37100000000,1
-36900000000,-36800000000,1
-36300000000,-36200000000,1
-36100000000,-36000000000,1
-35900000000,-35800000000,1
-35700000000,-35600000000,1
-35400000000,-35300000000,1
-33100000000,-33000000000,1
-32700000000,-32600000000,1
-32300000000,-32200000000,2
-32100000000,-32000000000,1
-31600000000,-31500000000,1
-31200000000,-31100000000,1
-30900000000,-30800000000,1
-30700000000,-30600000000,1
-30200000000,-30100000000,1
-29600000000,-29500000000,1
-28900000000,-28800000000,1
-27900000000,-27800000000,1
-27700000000,-27600000000,1
-27600000000,-27500000000,3
-27100000000,-27000000000,1
-27000000000,-26900000000,1
-26500000000,-26400000000,1
-26000000000,-25900000000,2
-25900000000,-25800000000,2
-25500000000,-25400000000,1
-25400000000,-25300000000,1
-25300000000,-25200000000,1
-24900000000,-24800000000,1
-24800000000,-24700000000,1
-24400000000,-24300000000,1
-24200000000,-24100000000,1
-24000000000,-23900000000,2
-23100000000,-23000000000,1
-23000000000,-22900000000,1
-22300000000,-22200000000,1
-21800000000,-21700000000,1
-21400000000,-21300000000,1
-21100000000,-21000000000,1
-20800000000,-20700000000,1
-20600000000,-20500000000,3
-20100000000,-20000000000,1
-19900000000,-19800000000,2
-19700000000,-19600000000,1
-19500000000,-19400000000,1
-19100000000,-19000000000,1
-19000000000,-18900000000,1
-18800000000,-18700000000,1
-17800000000,-17700000000,2
-17700000000,-17600000000,1
-17600000000,-17500000000,2
-17500000000,-17400000000,1
-17400000000,-17300000000,3
-17300000000,-17200000000,1
-17200000000,-17100000000,1
-17000000000,-16900000000,1
-16900000000,-16800000000,1
-16800000000,-16700000000,2
-16600000000,-16500000000,1
-16500000000,-16400000000,3
-16400000000,-16300000000,1
-16300000000,-16200000000,1
-16200000000,-16100000000,1
-15900000000,-15800000000,1
-15800000000,-15700000000,2
-15700000000,-15600000000,2
-15600000000,-15500000000,2
-15400000000,-15300000000,1
-15300000000,-15200000000,1
-15200000000,-15100000000,2
-15100000000,-15000000000,1
-14900000000,-14800000000,2
-14700000000,-14600000000,1
-14600000000,-14500000000,1
-14300000000,-14200000000,1
-14100000000,-14000000000,1
-13800000000,-13700000000,1
-13700000000,-13600000000,1
-13600000000,-13500000000,1
-13500000000,-13400000000,2
-13400000000,-13300000000,1
-13300000000,-13200000000,1
-13000000000,-12900000000,1
-12900000000,-12800000000,3
-12700000000,-12600000000,1
-12600000000,-12500000000,1
-12500000000,-12400000000,1
-12300000000,-12200000000,2
-12200000000,-12100000000,1
-12100000000,-12000000000,4
-12000000000,-11900000000,1
-11900000000,-11800000000,3
-11800000000,-11700000000,2
-11700000000,-11600000000,2
-11500000000,-11400000000,1
-11400000000,-11300000000,1
-11200000000,-11100000000,3
-11000000000,-10900000000,2
-10600000000,-10500000000,1
-10400000000,-10300000000,1
-10300000000,-10200000000,1
-10200000000,-10100000000,1
-10000000000,-9900000000,1
-9900000000,-9800000000,1
-9800000000,-9700000000,2
-9700000000,-9600000000,1
-9600000000,-9500000000,2
-9500000000,-9400000000,3
-9400000000,-9300000000,1
-9300000000,-9200000000,2
-9200000000,-9100000000,4
-9100000000,-9000000000,1
-9000000000,-8900000000,1
-8900000000,-8800000000,1
-8800000000,-8700000000,2
-8700000000,-8600000000,4
-8600000000,-8500000000,3
-8500000000,-8400000000,3
-8400000000,-8300000000,1
-8300000000,-8200000000,4
