bin_start,bin_end,frequency
200000000,300000000,1
300000000,400000000,2
400000000,500000000,1
700000000,800000000,1
800000000,900000000,2
900000000,1000000000,1
1100000000,1200000000,2
1200000000,1300000000,3
1300000000,1400000000,2
1400000000,1500000000,2
1500000000,1600000000,1
1600000000,1700000000,1
1700000000,1800000000,3
1900000000,2000000000,1
2000000000,2100000000,2
2100000000,2200000000,2
2200000000,2300000000,3
2300000000,2400000000,4
2400000000,2500000000,1
2700000000,2800000000,2
2800000000,2900000000,1
2900000000,3000000000,1
3400000000,3500000000,1
3500000000,3600000000,2
3600000000,3700000000,1
3800000000,3900000000,5
3900000000,4000000000,2
4000000000,4100000000,3
4400000000,4500000000,1
4600000000,4700000000,1
4700000000,4800000000,1
4800000000,4900000000,2
4900000000,5000000000,2
5000000000,5100000000,2
5100000000,5200000000,4
5200000000,5300000000,3
5300000000,5400000000,3
5400000000,5500000000,2
5500000000,5600000000,2
5600000000,5700000000,1
5700000000,5800000000,2
5800000000,5900000000,4
5900000000,6000000000,2
6000000000,6100000000,3
6100000000,6200000000,3
6200000000,6300000000,2
6300000000,6400000000,2
6400000000,6500000000,1
6500000000,6600000000,2
6600000000,6700000000,2
6700000000,6800000000,2
6800000000,6900000000,3
6900000000,7000000000,4
7000000000,7100000000,2
7100000000,7200000000,3
7300000000,7400000000,2
7400000000,7500000000,3
7600000000,7700000000,4
7700000000,7800000000,1
7800000000,7900000000,1
7900000000,8000000000,1
8000000000,8100000000,3
8200000000,8300000000,5
8300000000,8400000000,1
8400000000,8500000000,2
8500000000,8600000000,2
8600000000,8700000000,1
8700000000,8800000000,1
8800000000,8900000000,3
9000000000,9100000000,1
9200000000,9300000000,4
9300000000,9400000000,1
9400000000,9500000000,5
9500000000,9600000000,1
9900000000,10000000000,2
10000000000,10100000000,1
10100000000,10200000000,2
10300000000,10400000000,3
10400000000,10500000000,3
10500000000,10600000000,1
10600000000,10700000000,1
10700000000,10800000000,1
10900000000,11000000000,2
11000000000,11100000000,1
11100000000,11200000000,2
11200000000,11300000000,1
11300000000,11400000000,2
11500000000,11600000000,1
11700000000,11800000000,1
11800000000,11900000000,2
12000000000,12100000000,2
12100000000,12200000000,3
12200000000,12300000000,1
12400000000,12500000000,1
12500000000,12600000000,1
12700000000,12800000000,2
12800000000,12900000000,4
12900000000,13000000000,1
13000000000,13100000000,1
13100000000,13200000000,1
13300000000,13400000000,1
13400000000,13500000000,1
13500000000,13600000000,1
13600000000,13700000000,2
13700000000,13800000000,1
14000000000,14100000000,2
14100000000,14200000000,3
14200000000,14300000000,2
14300000000,14400000000,2
14400000000,14500000000,3
14500000000,14600000000,1
14600000000,14700000000,2
14700000000,14800000000,1
14900000000,15000000000,5
15100000000,15200000000,2
15200000000,15300000000,3
15300000000,15400000000,1
15400000000,15500000000,2
15600000000,15700000000,3
16000000000,16100000000,2
16400000000,16500000000,2
16500000000,16600000000,2
16700000000,16800000000,1
16800000000,16900000000,3
16900000000,17000000000,2
17300000000,17400000000,3
17500000000,17600000000,2
17600000000,17700000000,2
17700000000,17800000000,2
17800000000,17900000000,1
17900000000,18000000000,2
18100000000,18200000000,1
18300000000,18400000000,1
18400000000,18500000000,2
18500000000,18600000000,1
18600000000,18700000000,2
18700000000,18800000000,1
18800000000,18900000000,1
18900000000,19000000000,1
19000000000,19100000000,3
19400000000,19500000000,4
19500000000,19600000000,2
19600000000,19700000000,2
19700000000,19800000000,1
19800000000,19900000000,1
19900000000,20000000000,1
20000000000,20100000000,2
20100000000,20200000000,2
20200000000,20300000000,2
20300000000,20400000000,2
20400000000,20500000000,1
20500000000,20600000000,1
20700000000,20800000000,1
20800000000,20900000000,2
20900000000,21000000000,3
21100000000,21200000000,1
21200000000,21300000000,1
21300000000,21400000000,2
21600000000,21700000000,1
21700000000,21800000000,3
21800000000,21900000000,1
21900000000,22000000000,2
22100000000,22200000000,1
22200000000,22300000000,1
22300000000,22400000000,2
22400000000,22500000000,2
22500000000,22600000000,1
22600000000,22700000000,1
22800000000,22900000000,2
22900000000,23000000000,2
23000000000,23100000000,2
23100000000,23200000000,2
23300000000,23400000000,1
23500000000,23600000000,1
23600000000,23700000000,1
23700000000,23800000000,1
23800000000,23900000000,1
23900000000,24000000000,1
24200000000,24300000000,1
24300000000,24400000000,2
24400000000,24500000000,1
24500000000,24600000000,2
24700000000,24800000000,1
24800000000,24900000000,4
24900000000,25000000000,1
25100000000,25200000000,3
25200000000,25300000000,1
25300000000,25400000000,1
25400000000,25500000000,1
25600000000,25700000000,1
25700000000,25800000000,1
25800000000,25900000000,2
26000000000,26100000000,1
26100000000,26200000000,1
26200000000,26300000000,1
26400000000,26500000000,1
26500000000,26600000000,1
26700000000,26800000000,1
26800000000,26900000000,2
27100000000,27200000000,1
27700000000,27800000000,1
27900000000,28000000000,1
28100000000,28200000000,2
28400000000,28500000000,1
28500000000,28600000000,3
28600000000,28700000000,1
28700000000,28800000000,1
28900000000,29000000000,1
29000000000,29100000000,2
29100000000,29200000000,1
29200000000,29300000000,1
29600000000,29700000000,3
29800000000,29900000000,2
29900000000,30000000000,1
30000000000,30100000000,1
30100000000,30200000000,2
30300000000,30400000000,1
30500000000,30600000000,1
30600000000,30700000000,2
30800000000,30900000000,3
30900000000,31000000000,1
31100000000,31200000000,3
