bin_start,bin_end,frequency
-3420,-3410,1
-1030,-1020,1
-800,-790,1
-460,-450,1
-430,-420,1
-400,-390,1
-380,-370,1
-340,-330,1
-260,-250,1
-220,-210,1
-190,-180,1
-180,-170,1
-160,-150,1
-130,-120,1
-100,-90,1
-90,-80,2
-80,-70,1
-50,-40,2
-40,-30,1
-10,0,2
0,10,6
10,20,11
20,30,15
30,40,12
40,50,18
50,60,17
60,70,19
70,80,33
80,90,24
90,100,29
100,110,27
110,120,18
120,130,12
130,140,27
140,150,17
150,160,18
160,170,17
170,180,13
180,190,18
190,200,16
200,210,11
210,220,13
220,230,19
230,240,17
240,250,11
250,260,9
260,270,9
270,280,11
280,290,11
290,300,10
300,310,8
310,320,10
320,330,10
330,340,5
340,350,2
350,360,4
360,370,8
370,380,5
380,390,2
390,400,5
400,410,5
410,420,5
420,430,6
430,440,3
440,450,6
450,460,10
460,470,4
470,480,1
480,490,3
490,500,3
500,510,1
510,520,1
520,530,2
530,540,2
540,550,1
550,560,1
560,570,1
570,580,1
580,590,1
590,600,2
600,610,1
610,620,1
650,660,1
660,670,1
670,680,2
680,690,1
690,700,1
720,730,2
730,740,1
740,750,1
760,770,2
770,780,3
780,790,2
790,800,1
820,830,1
880,890,1
930,940,1
940,950,1
1030,1040,1
1080,1090,1
1090,1100,1
1100,1110,1
1230,1240,1
1520,1530,1
1560,1570,1
2440,2450,1
2740,2750,1
2760,2770,1
