bin_start,bin_end,frequency
-281100000000,-281000000000,1
-258400000000,-258300000000,1
-60600000000,-60500000000,1
-40800000000,-40700000000,1
-36400000000,-36300000000,1
-20800000000,-20700000000,1
-16300000000,-16200000000,1
-10900000000,-10800000000,1
-4000000000,-3900000000,1
-3800000000,-3700000000,1
-3100000000,-3000000000,1
-2000000000,-1900000000,2
-1700000000,-1600000000,1
-1500000000,-1400000000,1
-1300000000,-1200000000,1
-1000000000,-900000000,2
-900000000,-800000000,1
-300000000,-200000000,2
-200000000,-100000000,1
0,100000000,1
400000000,500000000,1
500000000,600000000,1
600000000,700000000,1
700000000,800000000,1
800000000,900000000,1
1000000000,1100000000,5
1100000000,1200000000,3
1200000000,1300000000,2
1300000000,1400000000,1
1400000000,1500000000,1
1500000000,1600000000,3
1600000000,1700000000,6
1700000000,1800000000,4
1800000000,1900000000,3
1900000000,2000000000,7
2000000000,2100000000,1
2100000000,2200000000,2
2200000000,2300000000,5
2300000000,2400000000,5
2400000000,2500000000,6
2500000000,2600000000,6
2600000000,2700000000,4
2700000000,2800000000,4
2800000000,2900000000,4
2900000000,3000000000,3
3000000000,3100000000,5
3100000000,3200000000,5
3200000000,3300000000,5
3300000000,3400000000,6
3400000000,3500000000,6
3500000000,3600000000,9
3600000000,3700000000,3
3700000000,3800000000,3
3800000000,3900000000,5
3900000000,4000000000,7
4000000000,4100000000,3
4100000000,4200000000,6
4200000000,4300000000,7
4300000000,4400000000,7
4400000000,4500000000,4
4500000000,4600000000,8
4600000000,4700000000,5
4700000000,4800000000,2
4800000000,4900000000,4
4900000000,5000000000,4
5000000000,5100000000,8
5100000000,5200000000,4
5200000000,5300000000,5
5300000000,5400000000,11
5400000000,5500000000,4
5500000000,5600000000,4
5600000000,5700000000,3
5700000000,5800000000,6
5800000000,5900000000,3
5900000000,6000000000,2
6000000000,6100000000,3
6100000000,6200000000,2
6200000000,6300000000,4
6300000000,6400000000,6
6400000000,6500000000,4
6500000000,6600000000,5
6600000000,6700000000,2
6700000000,6800000000,2
6900000000,7000000000,1
7000000000,7100000000,1
7100000000,7200000000,4
7200000000,7300000000,3
7300000000,7400000000,1
7400000000,7500000000,3
7500000000,7600000000,5
7600000000,7700000000,2
7700000000,7800000000,2
7800000000,7900000000,5
7900000000,8000000000,6
8100000000,8200000000,5
8200000000,8300000000,5
8300000000,8400000000,4
8400000000,8500000000,3
8500000000,8600000000,7
8600000000,8700000000,4
8700000000,8800000000,7
8800000000,8900000000,2
8900000000,9000000000,8
9000000000,9100000000,6
9100000000,9200000000,2
9200000000,9300000000,6
9300000000,9400000000,2
9400000000,9500000000,7
9600000000,9700000000,4
9700000000,9800000000,5
9800000000,9900000000,2
9900000000,10000000000,2
10000000000,10100000000,3
10100000000,10200000000,5
10300000000,10400000000,4
10400000000,10500000000,1
10500000000,10600000000,3
10600000000,10700000000,4
10700000000,10800000000,4
10800000000,10900000000,1
10900000000,11000000000,5
11000000000,11100000000,2
11100000000,11200000000,4
11300000000,11400000000,9
11400000000,11500000000,5
11500000000,11600000000,1
11700000000,11800000000,4
11800000000,11900000000,1
12000000000,12100000000,2
12100000000,12200000000,3
12200000000,12300000000,3
12300000000,12400000000,2
12400000000,12500000000,1
12500000000,12600000000,5
12600000000,12700000000,4
12700000000,12800000000,2
12800000000,12900000000,2
12900000000,13000000000,4
13100000000,13200000000,2
13200000000,13300000000,3
13300000000,13400000000,2
13500000000,13600000000,3
13600000000,13700000000,4
13700000000,13800000000,1
13800000000,13900000000,3
13900000000,14000000000,2
14000000000,14100000000,2
14100000000,14200000000,1
14200000000,14300000000,6
14300000000,14400000000,2
14500000000,14600000000,1
14600000000,14700000000,3
14700000000,14800000000,2
14800000000,14900000000,5
14900000000,15000000000,3
15000000000,15100000000,2
15100000000,15200000000,2
15200000000,15300000000,2
15300000000,15400000000,2
15400000000,15500000000,1
15500000000,15600000000,3
15600000000,15700000000,2
15900000000,16000000000,1
16100000000,16200000000,3
16200000000,16300000000,2
16300000000,16400000000,2
16400000000,16500000000,1
16500000000,16600000000,2
16600000000,16700000000,3
16700000000,16800000000,3
16800000000,16900000000,2
16900000000,17000000000,2
17000000000,17100000000,1
17100000000,17200000000,1
17200000000,17300000000,3
17300000000,17400000000,3
17500000000,17600000000,2
17600000000,17700000000,2
17700000000,17800000000,1
17800000000,17900000000,2
17900000000,18000000000,1
18000000000,18100000000,3
18100000000,18200000000,1
18200000000,18300000000,1
18700000000,18800000000,1
18900000000,19000000000,1
19000000000,19100000000,1
19200000000,19300000000,4
19300000000,19400000000,1
19500000000,19600000000,1
19600000000,19700000000,1
19700000000,19800000000,1
19800000000,19900000000,1
19900000000,20000000000,1
20000000000,20100000000,3
20200000000,20300000000,2
20300000000,20400000000,1
20400000000,20500000000,1
20600000000,20700000000,1
21000000000,21100000000,1
21100000000,21200000000,1
21300000000,21400000000,1
21500000000,21600000000,1
21600000000,21700000000,3
21700000000,21800000000,2
21800000000,21900000000,1
22000000000,22100000000,1
22400000000,22500000000,3
22600000000,22700000000,1
23100000000,23200000000,1
23200000000,23300000000,1
23300000000,23400000000,1
23400000000,23500000000,1
23500000000,23600000000,1
23700000000,23800000000,2
24200000000,24300000000,1
24400000000,24500000000,1
24500000000,24600000000,1
24600000000,24700000000,1
24900000000,25000000000,2
25000000000,25100000000,1
25100000000,25200000000,2
25200000000,25300000000,3
25300000000,25400000000,2
25400000000,25500000000,1
25600000000,25700000000,2
25700000000,25800000000,4
25800000000,25900000000,2
26000000000,26100000000,3
26100000000,26200000000,2
26200000000,26300000000,1
26400000000,26500000000,1
26500000000,26600000000,1
26600000000,26700000000,2
26700000000,26800000000,1
27000000000,27100000000,2
27100000000,27200000000,1
27200000000,27300000000,1
27300000000,27400000000,3
27500000000,27600000000,1
27600000000,27700000000,1
27900000000,28000000000,2
28100000000,28200000000,2
28200000000,28300000000,1
28400000000,28500000000,1
28500000000,28600000000,1
28600000000,28700000000,1
28700000000,28800000000,1
28800000000,28900000000,1
29000000000,29100000000,1
29400000000,29500000000,1
29700000000,29800000000,3
29800000000,29900000000,3
30000000000,30100000000,2
30100000000,30200000000,2
30200000000,30300000000,1
30300000000,30400000000,1
30600000000,30700000000,1
30800000000,30900000000,2
30900000000,31000000000,1
31400000000,31500000000,1
31500000000,31600000000,2
31800000000,31900000000,1
32000000000,32100000000,4
32100000000,32200000000,3
32300000000,32400000000,1
32500000000,32600000000,1
32800000000,32900000000,1
32900000000,33000000000,1
33000000000,33100000000,1
33200000000,33300000000,2
33400000000,33500000000,1
33600000000,33700000000,1
34300000000,34400000000,1
34600000000,34700000000,3
34800000000,34900000000,1
35000000000,35100000000,1
35900000000,36000000000,1
36000000000,36100000000,1
36200000000,36300000000,1
36300000000,36400000000,2
36400000000,36500000000,1
36500000000,36600000000,1
36600000000,36700000000,1
36700000000,36800000000,1
36800000000,36900000000,1
37000000000,37100000000,3
37200000000,37300000000,1
37300000000,37400000000,2
37700000000,37800000000,1
37800000000,37900000000,1
37900000000,38000000000,1
38000000000,38100000000,1
38400000000,38500000000,1
38600000000,38700000000,1
38800000000,38900000000,1
38900000000,39000000000,1
39100000000,39200000000,1
39300000000,39400000000,1
39500000000,39600000000,1
39600000000,39700000000,1
39700000000,39800000000,1
40200000000,40300000000,1
41000000000,41100000000,1
41200000000,41300000000,1
41400000000,41500000000,1
41800000000,41900000000,1
41900000000,42000000000,1
42000000000,42100000000,1
42100000000,42200000000,1
42400000000,42500000000,1
42500000000,42600000000,1
43000000000,43100000000,1
43100000000,43200000000,1
43200000000,43300000000,1
43600000000,43700000000,1
44400000000,44500000000,1
44500000000,44600000000,1
44800000000,44900000000,2
45000000000,45100000000,1
45400000000,45500000000,1
45700000000,45800000000,1
45900000000,46000000000,2
46000000000,46100000000,1
46100000000,46200000000,1
46300000000,46400000000,1
46600000000,46700000000,1
47600000000,47700000000,1
47700000000,47800000000,1
48100000000,48200000000,1
