bin_start,bin_end,frequency
-1086300000000,-1086200000000,1
-1025000000000,-1024900000000,1
-1013100000000,-1013000000000,1
-801200000000,-801100000000,1
-606300000000,-606200000000,2
-544000000000,-543900000000,1
-496700000000,-496600000000,1
-489000000000,-488900000000,1
-476500000000,-476400000000,1
-415500000000,-415400000000,1
-406300000000,-406200000000,1
-369500000000,-369400000000,1
-357100000000,-357000000000,2
-354500000000,-354400000000,1
-334700000000,-334600000000,1
-331100000000,-331000000000,1
-325100000000,-325000000000,1
-292400000000,-292300000000,1
-280600000000,-280500000000,1
-276100000000,-276000000000,1
-263300000000,-263200000000,1
-254200000000,-254100000000,1
-241800000000,-241700000000,1
-240200000000,-240100000000,1
-237000000000,-236900000000,1
-236700000000,-236600000000,1
-234500000000,-234400000000,1
-231600000000,-231500000000,1
-231000000000,-230900000000,1
-223800000000,-223700000000,1
-223000000000,-222900000000,1
-211700000000,-211600000000,1
-210800000000,-210700000000,1
-209500000000,-209400000000,1
-191300000000,-191200000000,1
-186600000000,-186500000000,1
-181600000000,-181500000000,1
-181500000000,-181400000000,1
-165400000000,-165300000000,1
-163500000000,-163400000000,1
-159000000000,-158900000000,1
-155600000000,-155500000000,1
-154400000000,-154300000000,1
-150600000000,-150500000000,1
-149700000000,-149600000000,1
-146400000000,-146300000000,1
-145800000000,-145700000000,1
-145000000000,-144900000000,1
-136100000000,-136000000000,1
-131700000000,-131600000000,1
-131600000000,-131500000000,1
-129700000000,-129600000000,1
-126900000000,-126800000000,1
-125200000000,-125100000000,1
-123600000000,-123500000000,1
-122600000000,-122500000000,1
-122100000000,-122000000000,1
-118700000000,-118600000000,1
-110900000000,-110800000000,1
-110200000000,-110100000000,1
-110100000000,-110000000000,1
-109900000000,-109800000000,1
-105100000000,-105000000000,1
-104200000000,-104100000000,1
-102100000000,-102000000000,1
-96900000000,-96800000000,1
-96800000000,-96700000000,1
-96100000000,-96000000000,1
-95500000000,-95400000000,1
-94400000000,-94300000000,1
-93800000000,-93700000000,1
-91600000000,-91500000000,1
-90800000000,-90700000000,1
-89900000000,-89800000000,1
-88000000000,-87900000000,1
-87700000000,-87600000000,1
-85800000000,-85700000000,1
-85700000000,-85600000000,1
-85500000000,-85400000000,1
-84900000000,-84800000000,1
-84800000000,-84700000000,1
-83500000000,-83400000000,1
-83000000000,-82900000000,1
-82600000000,-82500000000,1
-81500000000,-81400000000,1
-81300000000,-81200000000,2
-79300000000,-79200000000,1
-76400000000,-76300000000,1
-75300000000,-75200000000,1
-75000000000,-74900000000,1
-74700000000,-74600000000,1
-73300000000,-73200000000,1
-72900000000,-72800000000,1
-72000000000,-71900000000,2
-70400000000,-70300000000,2
-68500000000,-68400000000,1
-68000000000,-67900000000,1
-66500000000,-66400000000,1
-65900000000,-65800000000,1
-65800000000,-65700000000,1
-65400000000,-65300000000,1
-62100000000,-62000000000,1
-61600000000,-61500000000,1
-59700000000,-59600000000,1
-59500000000,-59400000000,1
-59300000000,-59200000000,1
-57500000000,-57400000000,2
-53900000000,-53800000000,1
-53200000000,-53100000000,1
-53100000000,-53000000000,2
-52400000000,-52300000000,1
-52000000000,-51900000000,1
-51100000000,-51000000000,2
-50200000000,-50100000000,1
-50100000000,-50000000000,1
-48700000000,-48600000000,1
-48100000000,-48000000000,2
-47600000000,-47500000000,1
-47300000000,-47200000000,1
-46900000000,-46800000000,1
-46600000000,-46500000000,2
-45900000000,-45800000000,2
-45700000000,-45600000000,1
-45500000000,-45400000000,1
-44000000000,-43900000000,1
-43800000000,-43700000000,1
-43200000000,-43100000000,1
