bin_start,bin_end,frequency
-10307700000000,-10307600000000,1
-3149700000000,-3149600000000,1
-2679100000000,-2679000000000,1
-2235000000000,-2234900000000,1
-842100000000,-842000000000,1
-754400000000,-754300000000,1
-401900000000,-401800000000,1
-372100000000,-372000000000,1
-298700000000,-298600000000,1
-292700000000,-292600000000,1
-257700000000,-257600000000,1
-232700000000,-232600000000,1
-204200000000,-204100000000,1
-192300000000,-192200000000,1
-186400000000,-186300000000,1
-186300000000,-186200000000,1
-176800000000,-176700000000,1
-165200000000,-165100000000,1
-163300000000,-163200000000,1
-155700000000,-155600000000,1
-147500000000,-147400000000,1
-144500000000,-144400000000,1
-144200000000,-144100000000,1
-118000000000,-117900000000,1
-112100000000,-112000000000,1
-107200000000,-107100000000,1
-106700000000,-106600000000,1
-96400000000,-96300000000,1
-95400000000,-95300000000,1
-87700000000,-87600000000,1
-84400000000,-84300000000,1
-83500000000,-83400000000,1
-81700000000,-81600000000,1
-79000000000,-78900000000,1
-64900000000,-64800000000,1
-61600000000,-61500000000,1
-57200000000,-57100000000,1
-56800000000,-56700000000,1
-55700000000,-55600000000,1
-53800000000,-53700000000,2
-51300000000,-51200000000,1
-49200000000,-49100000000,1
-46100000000,-46000000000,1
-44700000000,-44600000000,1
-44200000000,-44100000000,1
-42300000000,-42200000000,1
-41700000000,-41600000000,1
-37800000000,-37700000000,1
-35300000000,-35200000000,1
-35100000000,-35000000000,1
-34700000000,-34600000000,1
-34100000000,-34000000000,1
-33500000000,-33400000000,1
-33100000000,-33000000000,1
-32900000000,-32800000000,1
-31700000000,-31600000000,1
-31200000000,-31100000000,1
-31000000000,-30900000000,1
-28600000000,-28500000000,1
-28300000000,-28200000000,1
-28000000000,-27900000000,1
-27000000000,-26900000000,1
-26900000000,-26800000000,1
-26300000000,-26200000000,1
-24500000000,-24400000000,1
-23900000000,-23800000000,1
-22500000000,-22400000000,1
-22300000000,-22200000000,1
-21400000000,-21300000000,2
-21100000000,-21000000000,1
-20200000000,-20100000000,1
-19100000000,-19000000000,1
-18200000000,-18100000000,1
-17800000000,-17700000000,1
-17600000000,-17500000000,1
-16500000000,-16400000000,2
-16400000000,-16300000000,1
-16100000000,-16000000000,1
-15800000000,-15700000000,1
-14900000000,-14800000000,1
-14800000000,-14700000000,1
-14500000000,-14400000000,1
-14000000000,-13900000000,2
-13800000000,-13700000000,1
-13200000000,-13100000000,1
-13000000000,-12900000000,1
-12800000000,-12700000000,1
-12700000000,-12600000000,1
-11900000000,-11800000000,1
-11700000000,-11600000000,1
-11500000000,-11400000000,2
-11300000000,-11200000000,1
-11200000000,-11100000000,1
-10800000000,-10700000000,2
-10600000000,-10500000000,1
-10300000000,-10200000000,1
-9900000000,-9800000000,1
-9800000000,-9700000000,1
-9700000000,-9600000000,1
-9500000000,-9400000000,1
-9100000000,-9000000000,1
-8800000000,-8700000000,1
-8600000000,-8500000000,2
-8500000000,-8400000000,1
-8400000000,-8300000000,3
-7900000000,-7800000000,2
-7800000000,-7700000000,1
-7700000000,-7600000000,1
-7600000000,-7500000000,1
-7500000000,-7400000000,1
-7100000000,-7000000000,2
-6900000000,-6800000000,2
-6800000000,-6700000000,1
-6700000000,-6600000000,1
-6600000000,-6500000000,1
-6500000000,-6400000000,2
-6400000000,-6300000000,1
-6200000000,-6100000000,1
-6000000000,-5900000000,3
-5900000000,-5800000000,2
-5700000000,-5600000000,5
-5500000000,-5400000000,3
-5200000000,-5100000000,1
-5100000000,-5000000000,1
-4900000000,-4800000000,2
-4800000000,-4700000000,1
