bin_start,bin_end,frequency
0,100000000,65
100000000,200000000,36
200000000,300000000,17
300000000,400000000,17
400000000,500000000,16
500000000,600000000,10
600000000,700000000,18
700000000,800000000,11
800000000,900000000,14
900000000,1000000000,10
1000000000,1100000000,13
1100000000,1200000000,6
1200000000,1300000000,5
1300000000,1400000000,6
1400000000,1500000000,4
1500000000,1600000000,6
1600000000,1700000000,7
1700000000,1800000000,3
1800000000,1900000000,6
1900000000,2000000000,4
2000000000,2100000000,6
2100000000,2200000000,4
2200000000,2300000000,5
2300000000,2400000000,6
2400000000,2500000000,1
2500000000,2600000000,5
2600000000,2700000000,4
2700000000,2800000000,5
2800000000,2900000000,3
2900000000,3000000000,1
3000000000,3100000000,1
3200000000,3300000000,1
3300000000,3400000000,3
3400000000,3500000000,2
3500000000,3600000000,2
3600000000,3700000000,1
3700000000,3800000000,2
3900000000,4000000000,1
4000000000,4100000000,1
4100000000,4200000000,2
4200000000,4300000000,2
4400000000,4500000000,2
4500000000,4600000000,1
4600000000,4700000000,1
4700000000,4800000000,1
4900000000,5000000000,4
5000000000,5100000000,1
5200000000,5300000000,1
5400000000,5500000000,4
5500000000,5600000000,3
5600000000,5700000000,3
5700000000,5800000000,1
5900000000,6000000000,1
6000000000,6100000000,1
6100000000,6200000000,1
6200000000,6300000000,1
6300000000,6400000000,1
6400000000,6500000000,1
6700000000,6800000000,1
6900000000,7000000000,3
7200000000,7300000000,1
7300000000,7400000000,1
7500000000,7600000000,3
8000000000,8100000000,2
8300000000,8400000000,2
8400000000,8500000000,1
8600000000,8700000000,1
8700000000,8800000000,1
9100000000,9200000000,1
9400000000,9500000000,3
9600000000,9700000000,1
9700000000,9800000000,2
10000000000,10100000000,2
10200000000,10300000000,1
10300000000,10400000000,2
10500000000,10600000000,2
10700000000,10800000000,1
11300000000,11400000000,1
11600000000,11700000000,3
11800000000,11900000000,2
12000000000,12100000000,1
12100000000,12200000000,1
12200000000,12300000000,1
12500000000,12600000000,1
12900000000,13000000000,1
13100000000,13200000000,2
13200000000,13300000000,1
13600000000,13700000000,1
13800000000,13900000000,1
14200000000,14300000000,1
14700000000,14800000000,1
14800000000,14900000000,1
15000000000,15100000000,1
15200000000,15300000000,1
15300000000,15400000000,1
15400000000,15500000000,1
15600000000,15700000000,1
15700000000,15800000000,1
15800000000,15900000000,1
15900000000,16000000000,2
16400000000,16500000000,1
16700000000,16800000000,2
16800000000,16900000000,1
16900000000,17000000000,1
17000000000,17100000000,1
17100000000,17200000000,1
17200000000,17300000000,1
17500000000,17600000000,1
18000000000,18100000000,1
19100000000,19200000000,1
19200000000,19300000000,1
19500000000,19600000000,1
20700000000,20800000000,1
21100000000,21200000000,1
21800000000,21900000000,2
22600000000,22700000000,1
22700000000,22800000000,1
23200000000,23300000000,1
23900000000,24000000000,1
24000000000,24100000000,1
24400000000,24500000000,1
27000000000,27100000000,1
27700000000,27800000000,1
27800000000,27900000000,1
29600000000,29700000000,1
30200000000,30300000000,1
31400000000,31500000000,1
32100000000,32200000000,1
32500000000,32600000000,1
33500000000,33600000000,1
34000000000,34100000000,1
36400000000,36500000000,1
38500000000,38600000000,1
41500000000,41600000000,1
43400000000,43500000000,1
44000000000,44100000000,1
45200000000,45300000000,1
47700000000,47800000000,1
51500000000,51600000000,1
52700000000,52800000000,1
55900000000,56000000000,1
59000000000,59100000000,2
59200000000,59300000000,1
63500000000,63600000000,1
65000000000,65100000000,1
66000000000,66100000000,1
70200000000,70300000000,1
71000000000,71100000000,1
72900000000,73000000000,1
80200000000,80300000000,1
82500000000,82600000000,1
84100000000,84200000000,2
95400000000,95500000000,1
95500000000,95600000000,1
95900000000,96000000000,1
102000000000,102100000000,1
105700000000,105800000000,1
108400000000,108500000000,1
115200000000,115300000000,1
116400000000,116500000000,1
131200000000,131300000000,1
132500000000,132600000000,1
137100000000,137200000000,1
141400000000,141500000000,1
146000000000,146100000000,1
159000000000,159100000000,2
168300000000,168400000000,1
170600000000,170700000000,1
172400000000,172500000000,1
180300000000,180400000000,1
199700000000,199800000000,1
208700000000,208800000000,1
214800000000,214900000000,1
236300000000,236400000000,1
248300000000,248400000000,1
256600000000,256700000000,1
263700000000,263800000000,1
268800000000,268900000000,1
282800000000,282900000000,1
306600000000,306700000000,1
360600000000,360700000000,1
361700000000,361800000000,1
372600000000,372700000000,1
392200000000,392300000000,1
396100000000,396200000000,1
405600000000,405700000000,1
418600000000,418700000000,1
510600000000,510700000000,1
568100000000,568200000000,1
575800000000,575900000000,1
832800000000,832900000000,1
1321700000000,1321800000000,1
1487100000000,1487200000000,1
1698800000000,1698900000000,1
2049400000000,2049500000000,2
2067800000000,2067900000000,1
2371600000000,2371700000000,1
5410000000000,5410100000000,1
5709800000000,5709900000000,1
