bin_start,bin_end,frequency
-9200000000,-9100000000,1
-7200000000,-7100000000,1
-6500000000,-6400000000,1
-600000000,-500000000,1
400000000,500000000,1
900000000,1000000000,1
1300000000,1400000000,1
1600000000,1700000000,1
2200000000,2300000000,1
2500000000,2600000000,2
2600000000,2700000000,2
2700000000,2800000000,1
2900000000,3000000000,3
3000000000,3100000000,2
3200000000,3300000000,1
3300000000,3400000000,2
3400000000,3500000000,1
3500000000,3600000000,2
3600000000,3700000000,1
3700000000,3800000000,2
3800000000,3900000000,1
3900000000,4000000000,2
4100000000,4200000000,1
4200000000,4300000000,3
4300000000,4400000000,1
4400000000,4500000000,1
4500000000,4600000000,2
4600000000,4700000000,1
4700000000,4800000000,1
4900000000,5000000000,2
5000000000,5100000000,2
5200000000,5300000000,2
5300000000,5400000000,3
5400000000,5500000000,1
5500000000,5600000000,1
5600000000,5700000000,1
5700000000,5800000000,2
5800000000,5900000000,2
5900000000,6000000000,1
6000000000,6100000000,3
6100000000,6200000000,4
6300000000,6400000000,1
6400000000,6500000000,3
6500000000,6600000000,3
6600000000,6700000000,2
6700000000,6800000000,1
6800000000,6900000000,2
6900000000,7000000000,2
7000000000,7100000000,5
7100000000,7200000000,4
7200000000,7300000000,3
7300000000,7400000000,4
7400000000,7500000000,2
7500000000,7600000000,3
7600000000,7700000000,1
7700000000,7800000000,1
7800000000,7900000000,4
7900000000,8000000000,1
8000000000,8100000000,1
8100000000,8200000000,2
8200000000,8300000000,4
8300000000,8400000000,3
8400000000,8500000000,2
8600000000,8700000000,3
8700000000,8800000000,1
8800000000,8900000000,3
9100000000,9200000000,5
9200000000,9300000000,4
9300000000,9400000000,1
9400000000,9500000000,2
9500000000,9600000000,2
9600000000,9700000000,3
9700000000,9800000000,3
9800000000,9900000000,2
9900000000,10000000000,4
10000000000,10100000000,3
10100000000,10200000000,1
10300000000,10400000000,2
10500000000,10600000000,3
10600000000,10700000000,4
10700000000,10800000000,2
10800000000,10900000000,2
10900000000,11000000000,2
11000000000,11100000000,1
11100000000,11200000000,2
11300000000,11400000000,1
11400000000,11500000000,1
11500000000,11600000000,1
11600000000,11700000000,4
11700000000,11800000000,3
11800000000,11900000000,1
11900000000,12000000000,6
12000000000,12100000000,2
12100000000,12200000000,2
12200000000,12300000000,4
12400000000,12500000000,2
12500000000,12600000000,1
12600000000,12700000000,2
12700000000,12800000000,1
12800000000,12900000000,3
12900000000,13000000000,1
13000000000,13100000000,5
13100000000,13200000000,3
13300000000,13400000000,3
13400000000,13500000000,5
13600000000,13700000000,2
13700000000,13800000000,4
13800000000,13900000000,2
13900000000,14000000000,1
14000000000,14100000000,3
14100000000,14200000000,7
14200000000,14300000000,4
14300000000,14400000000,2
14400000000,14500000000,3
14500000000,14600000000,1
14600000000,14700000000,2
14700000000,14800000000,3
14800000000,14900000000,1
14900000000,15000000000,1
15000000000,15100000000,4
15100000000,15200000000,1
15200000000,15300000000,1
15300000000,15400000000,1
15400000000,15500000000,1
15500000000,15600000000,1
15700000000,15800000000,3
15900000000,16000000000,1
16000000000,16100000000,3
16100000000,16200000000,3
16200000000,16300000000,5
16300000000,16400000000,2
16400000000,16500000000,3
16700000000,16800000000,5
16800000000,16900000000,2
17000000000,17100000000,3
17100000000,17200000000,1
17200000000,17300000000,1
17300000000,17400000000,2
17400000000,17500000000,3
17600000000,17700000000,1
17700000000,17800000000,2
17800000000,17900000000,1
17900000000,18000000000,1
18000000000,18100000000,3
18100000000,18200000000,2
18200000000,18300000000,2
18300000000,18400000000,2
18400000000,18500000000,1
18500000000,18600000000,2
18600000000,18700000000,1
18700000000,18800000000,3
18800000000,18900000000,2
18900000000,19000000000,1
19000000000,19100000000,2
19100000000,19200000000,4
19200000000,19300000000,3
19300000000,19400000000,2
19500000000,19600000000,1
19700000000,19800000000,2
19800000000,19900000000,2
19900000000,20000000000,1
20000000000,20100000000,2
20100000000,20200000000,2
20300000000,20400000000,2
20400000000,20500000000,2
20500000000,20600000000,1
20600000000,20700000000,2
20700000000,20800000000,2
20800000000,20900000000,2
20900000000,21000000000,3
21300000000,21400000000,3
21500000000,21600000000,1
21700000000,21800000000,2
21800000000,21900000000,2
21900000000,22000000000,2
22000000000,22100000000,1
22100000000,22200000000,1
22200000000,22300000000,3
22300000000,22400000000,3
22400000000,22500000000,2
22600000000,22700000000,2
22700000000,22800000000,1
22800000000,22900000000,1
22900000000,23000000000,2
23000000000,23100000000,1
23100000000,23200000000,1
23200000000,23300000000,3
23300000000,23400000000,2
23400000000,23500000000,2
23600000000,23700000000,1
23700000000,23800000000,1
24100000000,24200000000,1
24200000000,24300000000,1
24300000000,24400000000,1
24400000000,24500000000,4
24600000000,24700000000,1
24700000000,24800000000,2
24800000000,24900000000,1
24900000000,25000000000,2
25100000000,25200000000,2
25300000000,25400000000,3
25400000000,25500000000,2
25500000000,25600000000,1
25700000000,25800000000,1
25800000000,25900000000,2
26000000000,26100000000,1
26100000000,26200000000,1
26200000000,26300000000,1
26400000000,26500000000,4
26500000000,26600000000,1
26600000000,26700000000,2
26700000000,26800000000,1
26800000000,26900000000,3
26900000000,27000000000,2
27100000000,27200000000,3
27300000000,27400000000,2
27500000000,27600000000,1
27600000000,27700000000,2
27800000000,27900000000,1
28000000000,28100000000,1
28100000000,28200000000,1
28200000000,28300000000,1
28300000000,28400000000,1
28400000000,28500000000,2
