bin_start,bin_end,frequency
0,100000000,45
100000000,200000000,11
200000000,300000000,11
300000000,400000000,9
400000000,500000000,11
500000000,600000000,10
600000000,700000000,6
700000000,800000000,5
800000000,900000000,7
900000000,1000000000,1
1000000000,1100000000,5
1100000000,1200000000,5
1200000000,1300000000,1
1300000000,1400000000,5
1400000000,1500000000,1
1500000000,1600000000,3
1600000000,1700000000,4
1700000000,1800000000,8
1800000000,1900000000,2
1900000000,2000000000,5
2000000000,2100000000,1
2100000000,2200000000,5
2200000000,2300000000,3
2300000000,2400000000,7
2400000000,2500000000,6
2500000000,2600000000,3
2700000000,2800000000,2
2800000000,2900000000,3
2900000000,3000000000,1
3000000000,3100000000,6
3200000000,3300000000,4
3300000000,3400000000,4
3400000000,3500000000,3
3500000000,3600000000,1
3600000000,3700000000,2
3700000000,3800000000,3
3800000000,3900000000,2
3900000000,4000000000,6
4000000000,4100000000,2
4100000000,4200000000,1
4200000000,4300000000,4
4300000000,4400000000,1
4400000000,4500000000,4
4500000000,4600000000,4
4600000000,4700000000,1
4700000000,4800000000,1
5000000000,5100000000,5
5100000000,5200000000,1
5200000000,5300000000,1
5300000000,5400000000,1
5400000000,5500000000,4
5500000000,5600000000,3
5600000000,5700000000,1
5700000000,5800000000,3
5800000000,5900000000,2
6000000000,6100000000,1
6100000000,6200000000,4
6200000000,6300000000,1
6300000000,6400000000,2
6400000000,6500000000,4
6500000000,6600000000,3
6600000000,6700000000,1
6800000000,6900000000,2
6900000000,7000000000,2
7000000000,7100000000,1
7100000000,7200000000,1
7200000000,7300000000,1
7300000000,7400000000,1
7400000000,7500000000,2
7500000000,7600000000,3
7600000000,7700000000,2
7700000000,7800000000,6
7800000000,7900000000,2
7900000000,8000000000,2
8000000000,8100000000,4
8100000000,8200000000,4
8200000000,8300000000,1
8300000000,8400000000,3
8400000000,8500000000,2
8500000000,8600000000,1
8700000000,8800000000,1
8800000000,8900000000,1
8900000000,9000000000,2
9000000000,9100000000,1
9100000000,9200000000,3
9200000000,9300000000,4
9300000000,9400000000,3
9400000000,9500000000,1
9700000000,9800000000,5
9800000000,9900000000,3
9900000000,10000000000,1
10000000000,10100000000,3
10100000000,10200000000,3
10200000000,10300000000,8
10300000000,10400000000,1
10600000000,10700000000,3
10700000000,10800000000,1
10800000000,10900000000,2
10900000000,11000000000,1
11000000000,11100000000,3
11100000000,11200000000,2
11200000000,11300000000,4
11300000000,11400000000,2
11400000000,11500000000,3
11500000000,11600000000,4
11600000000,11700000000,4
11700000000,11800000000,1
11800000000,11900000000,1
11900000000,12000000000,1
12000000000,12100000000,2
12100000000,12200000000,1
12200000000,12300000000,1
12300000000,12400000000,3
12500000000,12600000000,3
12600000000,12700000000,4
12800000000,12900000000,2
12900000000,13000000000,3
13000000000,13100000000,3
13100000000,13200000000,1
13300000000,13400000000,1
13500000000,13600000000,3
13600000000,13700000000,3
13700000000,13800000000,2
13800000000,13900000000,1
13900000000,14000000000,5
14100000000,14200000000,2
14200000000,14300000000,2
14300000000,14400000000,2
14400000000,14500000000,1
14600000000,14700000000,1
14700000000,14800000000,1
14800000000,14900000000,1
14900000000,15000000000,2
15100000000,15200000000,3
15200000000,15300000000,2
15300000000,15400000000,1
15400000000,15500000000,2
15500000000,15600000000,1
15700000000,15800000000,2
15800000000,15900000000,1
15900000000,16000000000,1
16200000000,16300000000,3
16300000000,16400000000,3
16400000000,16500000000,1
16500000000,16600000000,3
16600000000,16700000000,2
16800000000,16900000000,4
16900000000,17000000000,1
17100000000,17200000000,3
17200000000,17300000000,1
17300000000,17400000000,1
17400000000,17500000000,3
17500000000,17600000000,2
17600000000,17700000000,2
17700000000,17800000000,2
17800000000,17900000000,1
17900000000,18000000000,2
18100000000,18200000000,1
18200000000,18300000000,2
18500000000,18600000000,2
18800000000,18900000000,3
18900000000,19000000000,1
19000000000,19100000000,1
19200000000,19300000000,2
19300000000,19400000000,3
19400000000,19500000000,1
19500000000,19600000000,3
19600000000,19700000000,1
19800000000,19900000000,1
19900000000,20000000000,1
20000000000,20100000000,1
20100000000,20200000000,1
20200000000,20300000000,1
20400000000,20500000000,1
20500000000,20600000000,1
20600000000,20700000000,2
