bin_start,bin_end,frequency
-10278300000000,-10278200000000,1
-7718700000000,-7718600000000,1
-4998800000000,-4998700000000,1
-2584200000000,-2584100000000,1
-1989300000000,-1989200000000,1
-1372900000000,-1372800000000,1
-1099300000000,-1099200000000,1
-927700000000,-927600000000,2
-919000000000,-918900000000,1
-888000000000,-887900000000,1
-867300000000,-867200000000,1
-845900000000,-845800000000,1
-841500000000,-841400000000,1
-832500000000,-832400000000,1
-818900000000,-818800000000,1
-812700000000,-812600000000,1
-790100000000,-790000000000,1
-711500000000,-711400000000,1
-710700000000,-710600000000,1
-703700000000,-703600000000,1
-703100000000,-703000000000,1
-698800000000,-698700000000,1
-690700000000,-690600000000,1
-630700000000,-630600000000,1
-627700000000,-627600000000,1
-624600000000,-624500000000,1
-601700000000,-601600000000,1
-578900000000,-578800000000,1
-527500000000,-527400000000,1
-497000000000,-496900000000,1
-493800000000,-493700000000,1
-481500000000,-481400000000,1
-463900000000,-463800000000,1
-459500000000,-459400000000,1
-444100000000,-444000000000,1
-436600000000,-436500000000,1
-433900000000,-433800000000,1
-432000000000,-431900000000,1
-428100000000,-428000000000,1
-427600000000,-427500000000,1
-399600000000,-399500000000,1
-388400000000,-388300000000,1
-362100000000,-362000000000,2
-355300000000,-355200000000,1
-344400000000,-344300000000,1
-335400000000,-335300000000,1
-334500000000,-334400000000,1
-333600000000,-333500000000,1
-325400000000,-325300000000,1
-325300000000,-325200000000,1
-310700000000,-310600000000,1
-310500000000,-310400000000,1
-302900000000,-302800000000,1
-301100000000,-301000000000,1
-298900000000,-298800000000,1
-293500000000,-293400000000,1
-287000000000,-286900000000,1
-285700000000,-285600000000,1
-282700000000,-282600000000,1
-279300000000,-279200000000,2
-276900000000,-276800000000,1
-246100000000,-246000000000,1
-243700000000,-243600000000,1
-242800000000,-242700000000,1
-241400000000,-241300000000,1
-241000000000,-240900000000,1
-227200000000,-227100000000,1
-224000000000,-223900000000,1
-219600000000,-219500000000,1
-219500000000,-219400000000,1
-219300000000,-219200000000,1
-217900000000,-217800000000,1
-216600000000,-216500000000,1
-216000000000,-215900000000,1
-206000000000,-205900000000,1
-205800000000,-205700000000,1
-204500000000,-204400000000,1
-202100000000,-202000000000,1
-201600000000,-201500000000,1
-195100000000,-195000000000,1
-180300000000,-180200000000,1
-179900000000,-179800000000,1
-178200000000,-178100000000,1
-175600000000,-175500000000,1
-162300000000,-162200000000,1
-162000000000,-161900000000,1
-161300000000,-161200000000,1
-158500000000,-158400000000,1
-157300000000,-157200000000,1
-155100000000,-155000000000,1
-153600000000,-153500000000,1
-145800000000,-145700000000,1
-142600000000,-142500000000,1
-141400000000,-141300000000,1
-138900000000,-138800000000,1
-138800000000,-138700000000,1
-136100000000,-136000000000,1
-132500000000,-132400000000,1
-131900000000,-131800000000,2
-131600000000,-131500000000,1
-131100000000,-131000000000,1
-130600000000,-130500000000,1
-125400000000,-125300000000,1
-125200000000,-125100000000,1
-124700000000,-124600000000,1
-124000000000,-123900000000,1
-123900000000,-123800000000,1
-121000000000,-120900000000,1
-119400000000,-119300000000,1
-118100000000,-118000000000,1
-113600000000,-113500000000,1
-112300000000,-112200000000,1
-111900000000,-111800000000,1
-108500000000,-108400000000,1
-107100000000,-107000000000,1
-106600000000,-106500000000,1
-103000000000,-102900000000,1
-101000000000,-100900000000,1
-100300000000,-100200000000,1
-99700000000,-99600000000,1
-97900000000,-97800000000,1
-97400000000,-97300000000,1
-95900000000,-95800000000,1
-95000000000,-94900000000,1
-94800000000,-94700000000,1
-94200000000,-94100000000,1
-93200000000,-93100000000,1
-92200000000,-92100000000,1
-91900000000,-91800000000,1
-90900000000,-90800000000,1
-90200000000,-90100000000,1
-89900000000,-89800000000,1
-89200000000,-89100000000,1
-87100000000,-87000000000,1
-86700000000,-86600000000,1
-86400000000,-86300000000,1
-85800000000,-85700000000,1
-84500000000,-84400000000,1
-83700000000,-83600000000,1
-82800000000,-82700000000,1
-82200000000,-82100000000,1
-81500000000,-81400000000,1
-80900000000,-80800000000,1
-77300000000,-77200000000,1
-76300000000,-76200000000,1
-76200000000,-76100000000,1
-76100000000,-76000000000,2
-75600000000,-75500000000,1
-74900000000,-74800000000,1
-73300000000,-73200000000,1
-71400000000,-71300000000,1
-69500000000,-69400000000,1
-68800000000,-68700000000,2
-68600000000,-68500000000,1
-68500000000,-68400000000,1
-68000000000,-67900000000,1
-67000000000,-66900000000,1
-65900000000,-65800000000,1
-65200000000,-65100000000,1
-63400000000,-63300000000,1
-63000000000,-62900000000,1
-62500000000,-62400000000,2
-62000000000,-61900000000,1
-61700000000,-61600000000,1
-60000000000,-59900000000,1
-59000000000,-58900000000,1
-58800000000,-58700000000,2
-58100000000,-58000000000,1
-57400000000,-57300000000,1
-56300000000,-56200000000,1
-56000000000,-55900000000,2
-55600000000,-55500000000,1
-55400000000,-55300000000,1
-55100000000,-55000000000,1
-55000000000,-54900000000,1
-53800000000,-53700000000,3
-53500000000,-53400000000,1
-52500000000,-52400000000,1
-52000000000,-51900000000,2
-51700000000,-51600000000,1
-50200000000,-50100000000,1
-48900000000,-48800000000,1
-47100000000,-47000000000,1
-46200000000,-46100000000,1
-46100000000,-46000000000,1
-44700000000,-44600000000,1
-44600000000,-44500000000,1
-44500000000,-44400000000,1
-44000000000,-43900000000,2
-43600000000,-43500000000,1
-43500000000,-43400000000,1
-43000000000,-42900000000,2
-42600000000,-42500000000,1
-42500000000,-42400000000,1
-42100000000,-42000000000,3
-41900000000,-41800000000,1
-41500000000,-41400000000,1
-41400000000,-41300000000,1
-40700000000,-40600000000,1
-40400000000,-40300000000,1
-39900000000,-39800000000,1
-39500000000,-39400000000,1
-39300000000,-39200000000,1
-39100000000,-39000000000,1
-37800000000,-37700000000,1
-36900000000,-36800000000,1
-36200000000,-36100000000,1
-36100000000,-36000000000,1
-35900000000,-35800000000,2
-35400000000,-35300000000,1
-35000000000,-34900000000,1
-34300000000,-34200000000,2
-33600000000,-33500000000,1
-33400000000,-33300000000,1
-33300000000,-33200000000,1
-32900000000,-32800000000,1
-32800000000,-32700000000,1
-32000000000,-31900000000,1
-31600000000,-31500000000,3
-31500000000,-31400000000,2
-31000000000,-30900000000,1
-30900000000,-30800000000,1
-30500000000,-30400000000,1
-29800000000,-29700000000,1
-29600000000,-29500000000,2
-29300000000,-29200000000,1
-28800000000,-28700000000,1
-28200000000,-28100000000,1
-28000000000,-27900000000,1
-27700000000,-27600000000,1
-27100000000,-27000000000,1
-27000000000,-26900000000,1
-26900000000,-26800000000,1
-26800000000,-26700000000,2
-26700000000,-26600000000,1
-26600000000,-26500000000,2
-26400000000,-26300000000,1
-26300000000,-26200000000,1
-26100000000,-26000000000,1
-25700000000,-25600000000,1
-25600000000,-25500000000,1
-25400000000,-25300000000,1
-25100000000,-25000000000,1
-25000000000,-24900000000,1
-24900000000,-24800000000,3
-24800000000,-24700000000,1
-24700000000,-24600000000,1
-24400000000,-24300000000,2
-24200000000,-24100000000,1
-24000000000,-23900000000,1
-23600000000,-23500000000,1
-23200000000,-23100000000,2
-23100000000,-23000000000,1
-22800000000,-22700000000,1
-22600000000,-22500000000,1
-22500000000,-22400000000,1
-22200000000,-22100000000,1
-22100000000,-22000000000,2
-22000000000,-21900000000,1
-21800000000,-21700000000,1
-21600000000,-21500000000,3
-21500000000,-21400000000,2
-21300000000,-21200000000,1
-21200000000,-21100000000,3
-21100000000,-21000000000,2
-21000000000,-20900000000,1
-20800000000,-20700000000,2
-20400000000,-20300000000,1
-20300000000,-20200000000,3
-20000000000,-19900000000,2
-19900000000,-19800000000,1
-19600000000,-19500000000,1
-19500000000,-19400000000,2
-19400000000,-19300000000,2
-19100000000,-19000000000,1
