bin_start,bin_end,frequency
0,100000000,58
100000000,200000000,21
200000000,300000000,10
300000000,400000000,10
400000000,500000000,10
500000000,600000000,4
600000000,700000000,4
700000000,800000000,1
800000000,900000000,4
900000000,1000000000,4
1000000000,1100000000,6
1100000000,1200000000,9
1200000000,1300000000,5
1300000000,1400000000,2
1400000000,1500000000,6
1500000000,1600000000,5
1600000000,1700000000,7
1700000000,1800000000,5
1800000000,1900000000,2
1900000000,2000000000,7
2000000000,2100000000,3
2100000000,2200000000,2
2200000000,2300000000,5
2300000000,2400000000,6
2400000000,2500000000,5
2500000000,2600000000,4
2600000000,2700000000,1
2700000000,2800000000,2
2800000000,2900000000,4
2900000000,3000000000,2
3000000000,3100000000,9
3100000000,3200000000,2
3200000000,3300000000,3
3300000000,3400000000,4
3400000000,3500000000,1
3500000000,3600000000,1
3600000000,3700000000,3
3700000000,3800000000,1
3800000000,3900000000,2
3900000000,4000000000,2
4000000000,4100000000,1
4100000000,4200000000,3
4200000000,4300000000,2
4300000000,4400000000,2
4400000000,4500000000,3
4500000000,4600000000,6
4600000000,4700000000,1
4700000000,4800000000,1
4800000000,4900000000,2
4900000000,5000000000,6
5000000000,5100000000,4
5100000000,5200000000,3
5300000000,5400000000,1
5500000000,5600000000,3
5600000000,5700000000,1
5700000000,5800000000,2
5800000000,5900000000,3
5900000000,6000000000,2
6000000000,6100000000,2
6100000000,6200000000,1
6200000000,6300000000,4
6300000000,6400000000,2
6400000000,6500000000,1
6500000000,6600000000,1
6600000000,6700000000,2
6700000000,6800000000,2
6800000000,6900000000,2
6900000000,7000000000,1
7000000000,7100000000,4
7100000000,7200000000,2
7200000000,7300000000,2
7300000000,7400000000,2
7500000000,7600000000,1
7800000000,7900000000,3
7900000000,8000000000,2
8200000000,8300000000,2
8300000000,8400000000,2
8400000000,8500000000,2
8500000000,8600000000,1
8600000000,8700000000,1
8700000000,8800000000,3
8800000000,8900000000,1
8900000000,9000000000,2
9000000000,9100000000,2
9200000000,9300000000,2
9300000000,9400000000,2
9400000000,9500000000,3
9500000000,9600000000,2
9800000000,9900000000,3
10000000000,10100000000,4
10100000000,10200000000,4
10200000000,10300000000,1
10500000000,10600000000,1
10600000000,10700000000,1
10800000000,10900000000,1
10900000000,11000000000,2
11100000000,11200000000,2
11200000000,11300000000,1
11300000000,11400000000,2
11400000000,11500000000,1
11500000000,11600000000,3
11600000000,11700000000,4
11700000000,11800000000,1
11800000000,11900000000,1
11900000000,12000000000,1
12000000000,12100000000,2
12300000000,12400000000,1
12500000000,12600000000,2
12600000000,12700000000,2
12700000000,12800000000,1
12800000000,12900000000,1
12900000000,13000000000,1
13000000000,13100000000,1
13100000000,13200000000,1
13200000000,13300000000,2
13300000000,13400000000,2
13400000000,13500000000,2
13600000000,13700000000,1
13900000000,14000000000,1
14100000000,14200000000,1
14200000000,14300000000,1
14300000000,14400000000,3
14400000000,14500000000,1
14500000000,14600000000,1
14600000000,14700000000,1
14700000000,14800000000,2
14900000000,15000000000,1
15000000000,15100000000,2
15100000000,15200000000,2
15200000000,15300000000,1
15400000000,15500000000,2
15600000000,15700000000,1
15900000000,16000000000,1
16100000000,16200000000,1
16200000000,16300000000,1
16300000000,16400000000,2
16400000000,16500000000,3
16800000000,16900000000,3
16900000000,17000000000,1
17000000000,17100000000,1
17100000000,17200000000,1
17200000000,17300000000,1
17600000000,17700000000,1
17700000000,17800000000,2
17900000000,18000000000,1
18000000000,18100000000,2
18100000000,18200000000,2
18300000000,18400000000,2
18700000000,18800000000,2
18800000000,18900000000,2
19000000000,19100000000,1
19200000000,19300000000,1
19300000000,19400000000,1
19400000000,19500000000,1
19500000000,19600000000,1
19600000000,19700000000,1
19700000000,19800000000,1
19800000000,19900000000,2
19900000000,20000000000,2
20000000000,20100000000,3
20100000000,20200000000,1
20500000000,20600000000,5
20700000000,20800000000,1
21000000000,21100000000,1
21100000000,21200000000,1
21200000000,21300000000,2
21500000000,21600000000,1
21600000000,21700000000,2
21900000000,22000000000,2
22100000000,22200000000,1
22200000000,22300000000,1
22300000000,22400000000,2
22500000000,22600000000,1
22700000000,22800000000,1
23000000000,23100000000,1
23100000000,23200000000,1
23300000000,23400000000,1
23400000000,23500000000,2
23500000000,23600000000,2
23600000000,23700000000,1
24000000000,24100000000,1
24200000000,24300000000,1
24300000000,24400000000,1
24700000000,24800000000,1
24900000000,25000000000,1
25000000000,25100000000,2
25100000000,25200000000,3
25200000000,25300000000,1
25400000000,25500000000,1
26300000000,26400000000,1
26400000000,26500000000,2
26500000000,26600000000,1
26800000000,26900000000,1
27400000000,27500000000,1
27500000000,27600000000,1
27600000000,27700000000,1
28000000000,28100000000,1
28100000000,28200000000,1
28300000000,28400000000,1
28500000000,28600000000,1
28600000000,28700000000,1
28700000000,28800000000,1
28800000000,28900000000,1
28900000000,29000000000,1
29100000000,29200000000,1
29200000000,29300000000,2
29300000000,29400000000,1
29600000000,29700000000,1
30000000000,30100000000,4
30300000000,30400000000,1
30500000000,30600000000,3
30800000000,30900000000,2
31000000000,31100000000,2
31500000000,31600000000,1
31600000000,31700000000,1
32000000000,32100000000,3
32100000000,32200000000,1
32200000000,32300000000,1
32600000000,32700000000,2
33300000000,33400000000,1
33500000000,33600000000,1
34000000000,34100000000,1
34300000000,34400000000,1
34400000000,34500000000,1
34500000000,34600000000,1
34700000000,34800000000,1
35100000000,35200000000,2
35200000000,35300000000,1
35400000000,35500000000,1
35600000000,35700000000,3
35800000000,35900000000,1
36000000000,36100000000,1
36600000000,36700000000,1
37000000000,37100000000,4
37200000000,37300000000,1
37300000000,37400000000,1
37700000000,37800000000,1
37900000000,38000000000,1
38100000000,38200000000,1
38900000000,39000000000,1
39000000000,39100000000,1
39900000000,40000000000,1
40500000000,40600000000,1
40800000000,40900000000,1
41300000000,41400000000,1
41400000000,41500000000,1
41500000000,41600000000,1
41600000000,41700000000,1
41700000000,41800000000,1
42100000000,42200000000,1
42200000000,42300000000,1
42300000000,42400000000,1
42500000000,42600000000,1
42700000000,42800000000,1
43100000000,43200000000,1
43900000000,44000000000,1
44000000000,44100000000,1
44500000000,44600000000,2
45000000000,45100000000,1
46000000000,46100000000,1
46200000000,46300000000,1
46800000000,46900000000,1
47000000000,47100000000,1
47100000000,47200000000,1
47300000000,47400000000,1
47500000000,47600000000,1
48300000000,48400000000,1
49100000000,49200000000,1
49800000000,49900000000,2
50000000000,50100000000,1
50400000000,50500000000,1
50700000000,50800000000,1
51500000000,51600000000,1
51800000000,51900000000,1
52100000000,52200000000,1
52400000000,52500000000,1
54000000000,54100000000,1
54300000000,54400000000,1
54400000000,54500000000,2
54900000000,55000000000,1
55000000000,55100000000,1
55300000000,55400000000,1
56900000000,57000000000,1
57400000000,57500000000,1
58000000000,58100000000,1
58700000000,58800000000,1
58800000000,58900000000,1
58900000000,59000000000,2
59100000000,59200000000,1
