bin_start,bin_end,frequency
-315000000000,-314900000000,1
-311900000000,-311800000000,1
-227700000000,-227600000000,1
-150000000000,-149900000000,1
-68300000000,-68200000000,1
-50000000000,-49900000000,1
-46500000000,-46400000000,1
-44400000000,-44300000000,1
-29900000000,-29800000000,1
-28700000000,-28600000000,1
-27900000000,-27800000000,1
-22300000000,-22200000000,1
-21700000000,-21600000000,1
-21300000000,-21200000000,1
-14000000000,-13900000000,1
-12900000000,-12800000000,1
-10100000000,-10000000000,1
-9500000000,-9400000000,1
-8700000000,-8600000000,1
-8600000000,-8500000000,1
-8300000000,-8200000000,1
-8200000000,-8100000000,1
-7900000000,-7800000000,1
-7700000000,-7600000000,1
-7600000000,-7500000000,1
-7200000000,-7100000000,1
-7100000000,-7000000000,1
-6800000000,-6700000000,1
-5500000000,-5400000000,1
-4700000000,-4600000000,1
-4300000000,-4200000000,1
-4000000000,-3900000000,1
-3400000000,-3300000000,1
-2200000000,-2100000000,1
-2000000000,-1900000000,1
-1900000000,-1800000000,4
-1600000000,-1500000000,1
-1200000000,-1100000000,2
-1100000000,-1000000000,4
-1000000000,-900000000,1
-900000000,-800000000,2
-800000000,-700000000,2
-600000000,-500000000,1
-500000000,-400000000,1
-400000000,-300000000,1
-200000000,-100000000,1
0,100000000,1
100000000,200000000,5
300000000,400000000,2
400000000,500000000,3
500000000,600000000,4
600000000,700000000,6
700000000,800000000,6
800000000,900000000,2
900000000,1000000000,7
1000000000,1100000000,9
1100000000,1200000000,14
1200000000,1300000000,7
1300000000,1400000000,18
1400000000,1500000000,14
1500000000,1600000000,9
1600000000,1700000000,4
1700000000,1800000000,9
1800000000,1900000000,18
1900000000,2000000000,11
2000000000,2100000000,15
2100000000,2200000000,13
2200000000,2300000000,7
2300000000,2400000000,13
2400000000,2500000000,11
2500000000,2600000000,8
2600000000,2700000000,9
2700000000,2800000000,14
2800000000,2900000000,6
2900000000,3000000000,7
3000000000,3100000000,10
3100000000,3200000000,10
3200000000,3300000000,9
3300000000,3400000000,2
3400000000,3500000000,7
3500000000,3600000000,9
3600000000,3700000000,5
3700000000,3800000000,8
3800000000,3900000000,7
4000000000,4100000000,4
4100000000,4200000000,6
4200000000,4300000000,7
4300000000,4400000000,5
4400000000,4500000000,8
4500000000,4600000000,15
4600000000,4700000000,12
4700000000,4800000000,3
4800000000,4900000000,9
4900000000,5000000000,5
5000000000,5100000000,8
5100000000,5200000000,5
5200000000,5300000000,6
5300000000,5400000000,6
5400000000,5500000000,7
5500000000,5600000000,7
5600000000,5700000000,6
5700000000,5800000000,5
5800000000,5900000000,4
5900000000,6000000000,1
6000000000,6100000000,2
6100000000,6200000000,4
6200000000,6300000000,4
6300000000,6400000000,5
6400000000,6500000000,6
6500000000,6600000000,9
6600000000,6700000000,2
6700000000,6800000000,3
6800000000,6900000000,3
6900000000,7000000000,1
7000000000,7100000000,6
7100000000,7200000000,3
7200000000,7300000000,9
7300000000,7400000000,4
7400000000,7500000000,6
7500000000,7600000000,10
7600000000,7700000000,2
7700000000,7800000000,1
7800000000,7900000000,2
7900000000,8000000000,5
8000000000,8100000000,4
8100000000,8200000000,4
8200000000,8300000000,4
8300000000,8400000000,9
8400000000,8500000000,7
8500000000,8600000000,2
8600000000,8700000000,3
8700000000,8800000000,6
8800000000,8900000000,2
8900000000,9000000000,2
9000000000,9100000000,4
9100000000,9200000000,3
9300000000,9400000000,1
9400000000,9500000000,1
9500000000,9600000000,1
9600000000,9700000000,3
9700000000,9800000000,3
9800000000,9900000000,4
9900000000,10000000000,2
10000000000,10100000000,6
10100000000,10200000000,2
10200000000,10300000000,4
10300000000,10400000000,2
10400000000,10500000000,3
10500000000,10600000000,4
10600000000,10700000000,3
10700000000,10800000000,3
10800000000,10900000000,4
10900000000,11000000000,1
11000000000,11100000000,1
11100000000,11200000000,2
11200000000,11300000000,5
11300000000,11400000000,4
11400000000,11500000000,1
11500000000,11600000000,1
11600000000,11700000000,3
11700000000,11800000000,2
11800000000,11900000000,2
11900000000,12000000000,4
12000000000,12100000000,1
12100000000,12200000000,2
12200000000,12300000000,4
12300000000,12400000000,5
12400000000,12500000000,5
12500000000,12600000000,3
12800000000,12900000000,2
13000000000,13100000000,1
13100000000,13200000000,3
13200000000,13300000000,1
13500000000,13600000000,2
13600000000,13700000000,2
13700000000,13800000000,3
13800000000,13900000000,5
13900000000,14000000000,1
14000000000,14100000000,1
14100000000,14200000000,1
14200000000,14300000000,3
14300000000,14400000000,1
14500000000,14600000000,1
14900000000,15000000000,1
15000000000,15100000000,1
15100000000,15200000000,5
15200000000,15300000000,2
15300000000,15400000000,2
15500000000,15600000000,2
15600000000,15700000000,3
15800000000,15900000000,2
15900000000,16000000000,2
16000000000,16100000000,2
16100000000,16200000000,4
16400000000,16500000000,1
16600000000,16700000000,3
16700000000,16800000000,1
16800000000,16900000000,1
16900000000,17000000000,1
17000000000,17100000000,4
17100000000,17200000000,2
17300000000,17400000000,1
17500000000,17600000000,2
17700000000,17800000000,2
17800000000,17900000000,2
17900000000,18000000000,2
18000000000,18100000000,1
18200000000,18300000000,2
18400000000,18500000000,1
18500000000,18600000000,1
18600000000,18700000000,2
18900000000,19000000000,1
19100000000,19200000000,1
19200000000,19300000000,1
19300000000,19400000000,4
19400000000,19500000000,1
19600000000,19700000000,1
19700000000,19800000000,1
19800000000,19900000000,2
19900000000,20000000000,1
20000000000,20100000000,2
20200000000,20300000000,1
20300000000,20400000000,1
20600000000,20700000000,2
20800000000,20900000000,1
21200000000,21300000000,1
21300000000,21400000000,1
21700000000,21800000000,1
21800000000,21900000000,3
21900000000,22000000000,1
22000000000,22100000000,1
