bin_start,bin_end,frequency
0,100000000,4
100000000,200000000,12
200000000,300000000,8
300000000,400000000,6
400000000,500000000,4
500000000,600000000,6
600000000,700000000,6
700000000,800000000,5
800000000,900000000,4
900000000,1000000000,2
1000000000,1100000000,3
1100000000,1200000000,3
1200000000,1300000000,2
1300000000,1400000000,2
1400000000,1500000000,1
1600000000,1700000000,1
1700000000,1800000000,3
1800000000,1900000000,3
1900000000,2000000000,3
2000000000,2100000000,2
2100000000,2200000000,4
2200000000,2300000000,6
2300000000,2400000000,2
2400000000,2500000000,2
2500000000,2600000000,1
2600000000,2700000000,5
2800000000,2900000000,2
2900000000,3000000000,1
3000000000,3100000000,5
3200000000,3300000000,2
3300000000,3400000000,2
3400000000,3500000000,1
3500000000,3600000000,4
3700000000,3800000000,1
3900000000,4000000000,1
4000000000,4100000000,1
4200000000,4300000000,5
4300000000,4400000000,3
4400000000,4500000000,3
4500000000,4600000000,4
4600000000,4700000000,3
4700000000,4800000000,1
4800000000,4900000000,2
4900000000,5000000000,1
5000000000,5100000000,4
5100000000,5200000000,1
5300000000,5400000000,3
5400000000,5500000000,1
5500000000,5600000000,1
5600000000,5700000000,1
5700000000,5800000000,6
5800000000,5900000000,1
5900000000,6000000000,1
6000000000,6100000000,1
6100000000,6200000000,4
6200000000,6300000000,1
6300000000,6400000000,3
6400000000,6500000000,1
6500000000,6600000000,2
6600000000,6700000000,4
6700000000,6800000000,1
6800000000,6900000000,1
6900000000,7000000000,1
7000000000,7100000000,3
7200000000,7300000000,1
7300000000,7400000000,3
7400000000,7500000000,2
7500000000,7600000000,2
7600000000,7700000000,2
7800000000,7900000000,3
8000000000,8100000000,1
8100000000,8200000000,3
8300000000,8400000000,3
8400000000,8500000000,1
8500000000,8600000000,1
8600000000,8700000000,1
8700000000,8800000000,3
8800000000,8900000000,1
8900000000,9000000000,1
9000000000,9100000000,1
9100000000,9200000000,1
9200000000,9300000000,2
9400000000,9500000000,3
9600000000,9700000000,1
9700000000,9800000000,2
9800000000,9900000000,2
9900000000,10000000000,1
10000000000,10100000000,1
10100000000,10200000000,1
10200000000,10300000000,5
10300000000,10400000000,2
10500000000,10600000000,1
10600000000,10700000000,3
10800000000,10900000000,1
10900000000,11000000000,1
11000000000,11100000000,2
11100000000,11200000000,1
11200000000,11300000000,3
11300000000,11400000000,1
11400000000,11500000000,3
11500000000,11600000000,1
11600000000,11700000000,3
11700000000,11800000000,2
11900000000,12000000000,1
12000000000,12100000000,2
12200000000,12300000000,2
12400000000,12500000000,1
12500000000,12600000000,2
12600000000,12700000000,1
12700000000,12800000000,1
12900000000,13000000000,1
13200000000,13300000000,3
13300000000,13400000000,2
13400000000,13500000000,1
13500000000,13600000000,3
13700000000,13800000000,1
13800000000,13900000000,1
13900000000,14000000000,1
14000000000,14100000000,1
14100000000,14200000000,5
14200000000,14300000000,1
14300000000,14400000000,1
14400000000,14500000000,1
14500000000,14600000000,1
14600000000,14700000000,1
14700000000,14800000000,1
14800000000,14900000000,2
14900000000,15000000000,4
15000000000,15100000000,1
15100000000,15200000000,2
15200000000,15300000000,2
15300000000,15400000000,2
15800000000,15900000000,3
15900000000,16000000000,2
16000000000,16100000000,3
16200000000,16300000000,1
16400000000,16500000000,2
16500000000,16600000000,3
16600000000,16700000000,4
16700000000,16800000000,2
16800000000,16900000000,3
16900000000,17000000000,1
17000000000,17100000000,3
17100000000,17200000000,2
17300000000,17400000000,2
17400000000,17500000000,1
17500000000,17600000000,2
17800000000,17900000000,1
17900000000,18000000000,4
18000000000,18100000000,1
18100000000,18200000000,1
18200000000,18300000000,2
18300000000,18400000000,1
18400000000,18500000000,3
18500000000,18600000000,1
18600000000,18700000000,1
18700000000,18800000000,2
18800000000,18900000000,3
18900000000,19000000000,1
19000000000,19100000000,3
19100000000,19200000000,2
19300000000,19400000000,2
19400000000,19500000000,1
19500000000,19600000000,2
19600000000,19700000000,1
19700000000,19800000000,4
19800000000,19900000000,1
20200000000,20300000000,2
20300000000,20400000000,2
20400000000,20500000000,1
20500000000,20600000000,2
20600000000,20700000000,2
20800000000,20900000000,2
20900000000,21000000000,1
21000000000,21100000000,1
21300000000,21400000000,2
21400000000,21500000000,1
21600000000,21700000000,3
21700000000,21800000000,1
21800000000,21900000000,1
21900000000,22000000000,1
22000000000,22100000000,1
22100000000,22200000000,2
22300000000,22400000000,1
22400000000,22500000000,3
22500000000,22600000000,3
22600000000,22700000000,1
22700000000,22800000000,1
22800000000,22900000000,1
22900000000,23000000000,1
23000000000,23100000000,4
23100000000,23200000000,1
23200000000,23300000000,1
23300000000,23400000000,3
23400000000,23500000000,1
23600000000,23700000000,2
23800000000,23900000000,1
23900000000,24000000000,3
24000000000,24100000000,2
24200000000,24300000000,2
24300000000,24400000000,1
24400000000,24500000000,1
24500000000,24600000000,1
24600000000,24700000000,2
24700000000,24800000000,2
24800000000,24900000000,1
25000000000,25100000000,2
25100000000,25200000000,1
25200000000,25300000000,1
25300000000,25400000000,2
25400000000,25500000000,2
25500000000,25600000000,2
25700000000,25800000000,2
25900000000,26000000000,1
26000000000,26100000000,2
26200000000,26300000000,1
26300000000,26400000000,3
26400000000,26500000000,1
26500000000,26600000000,1
26600000000,26700000000,4
26700000000,26800000000,1
26800000000,26900000000,2
26900000000,27000000000,2
27100000000,27200000000,1
27400000000,27500000000,1
27600000000,27700000000,2
27700000000,27800000000,1
27800000000,27900000000,1
27900000000,28000000000,1
28000000000,28100000000,1
28100000000,28200000000,1
28200000000,28300000000,2
28300000000,28400000000,1
28400000000,28500000000,2
28500000000,28600000000,1
28600000000,28700000000,1
28800000000,28900000000,1
28900000000,29000000000,3
29400000000,29500000000,1
29500000000,29600000000,1
29600000000,29700000000,1
29700000000,29800000000,2
29800000000,29900000000,2
29900000000,30000000000,1
30000000000,30100000000,1
30100000000,30200000000,3
30400000000,30500000000,2
30700000000,30800000000,1
30900000000,31000000000,3
31000000000,31100000000,1
31100000000,31200000000,1
31300000000,31400000000,1
31500000000,31600000000,1
31700000000,31800000000,4
31900000000,32000000000,2
32100000000,32200000000,1
32400000000,32500000000,2
32500000000,32600000000,1
33000000000,33100000000,1
33100000000,33200000000,1
33400000000,33500000000,2
33500000000,33600000000,1
33600000000,33700000000,1
33900000000,34000000000,1
34100000000,34200000000,1
34300000000,34400000000,5
34600000000,34700000000,1
34800000000,34900000000,2
35100000000,35200000000,3
35300000000,35400000000,2
35600000000,35700000000,1
35700000000,35800000000,1
35800000000,35900000000,2
35900000000,36000000000,1
36100000000,36200000000,3
36400000000,36500000000,2
36500000000,36600000000,2
36700000000,36800000000,1
36800000000,36900000000,1
36900000000,37000000000,1
37000000000,37100000000,2
37100000000,37200000000,2
37300000000,37400000000,3
37400000000,37500000000,1
37500000000,37600000000,2
37700000000,37800000000,1
37900000000,38000000000,1
38100000000,38200000000,1
38300000000,38400000000,2
38700000000,38800000000,1
38800000000,38900000000,3
39100000000,39200000000,2
39500000000,39600000000,1
39800000000,39900000000,1
39900000000,40000000000,3
40200000000,40300000000,1
40400000000,40500000000,1
41300000000,41400000000,1
41500000000,41600000000,1
41600000000,41700000000,1
41700000000,41800000000,3
42400000000,42500000000,1
42600000000,42700000000,1
42700000000,42800000000,1
42800000000,42900000000,1
43100000000,43200000000,1
43700000000,43800000000,1
43800000000,43900000000,1
44400000000,44500000000,1
44600000000,44700000000,1
44700000000,44800000000,1
45000000000,45100000000,1
45500000000,45600000000,1
45600000000,45700000000,2
45700000000,45800000000,1
45800000000,45900000000,2
46100000000,46200000000,3
46200000000,46300000000,1
46400000000,46500000000,1
46700000000,46800000000,1
46800000000,46900000000,1
47100000000,47200000000,3
47300000000,47400000000,1
47500000000,47600000000,1
47700000000,47800000000,1
47800000000,47900000000,1
48200000000,48300000000,3
48800000000,48900000000,1
49000000000,49100000000,2
49700000000,49800000000,3
49800000000,49900000000,1
50100000000,50200000000,1
50200000000,50300000000,1
50300000000,50400000000,1
50400000000,50500000000,1
50500000000,50600000000,1
