bin_start,bin_end,frequency
-9844900000000,-9844800000000,1
-3063200000000,-3063100000000,1
-2359100000000,-2359000000000,1
-2217500000000,-2217400000000,1
-733800000000,-733700000000,1
-394600000000,-394500000000,1
-290800000000,-290700000000,1
-241900000000,-241800000000,1
-213500000000,-213400000000,1
-192300000000,-192200000000,1
-181800000000,-181700000000,1
-176800000000,-176700000000,1
-160600000000,-160500000000,1
-153200000000,-153100000000,1
-145400000000,-145300000000,1
-143300000000,-143200000000,1
-112600000000,-112500000000,1
-112100000000,-112000000000,1
-110500000000,-110400000000,1
-103800000000,-103700000000,1
-98100000000,-98000000000,1
-93100000000,-93000000000,1
-92500000000,-92400000000,1
-85700000000,-85600000000,1
-74300000000,-74200000000,1
-54100000000,-54000000000,1
-52400000000,-52300000000,1
-51400000000,-51300000000,1
-49200000000,-49100000000,1
-43500000000,-43400000000,1
-42600000000,-42500000000,1
-37300000000,-37200000000,1
-36800000000,-36700000000,1
-34500000000,-34400000000,1
-34000000000,-33900000000,1
-32300000000,-32200000000,1
-31500000000,-31400000000,1
-29700000000,-29600000000,1
-27400000000,-27300000000,1
-26200000000,-26100000000,1
-25000000000,-24900000000,1
-23600000000,-23500000000,1
-23300000000,-23200000000,1
-21400000000,-21300000000,1
-21300000000,-21200000000,1
-18700000000,-18600000000,1
-17600000000,-17500000000,1
-17200000000,-17100000000,1
-16500000000,-16400000000,1
-15300000000,-15200000000,1
-13600000000,-13500000000,1
-13100000000,-13000000000,1
-13000000000,-12900000000,1
-12300000000,-12200000000,1
-11200000000,-11100000000,1
-11100000000,-11000000000,2
-10900000000,-10800000000,1
-10500000000,-10400000000,1
-10000000000,-9900000000,1
-9600000000,-9500000000,1
-9000000000,-8900000000,1
-8600000000,-8500000000,2
-8300000000,-8200000000,1
-8100000000,-8000000000,1
-7500000000,-7400000000,2
-6000000000,-5900000000,2
-5700000000,-5600000000,1
-5500000000,-5400000000,1
-5000000000,-4900000000,1
-4800000000,-4700000000,2
-4700000000,-4600000000,1
-4600000000,-4500000000,1
-4200000000,-4100000000,1
-4000000000,-3900000000,1
-3500000000,-3400000000,1
-3200000000,-3100000000,2
-2900000000,-2800000000,2
-2500000000,-2400000000,2
-2300000000,-2200000000,1
-2000000000,-1900000000,1
-1900000000,-1800000000,1
-1800000000,-1700000000,2
-1700000000,-1600000000,2
-1500000000,-1400000000,1
-1400000000,-1300000000,1
-1300000000,-1200000000,1
-1100000000,-1000000000,1
-1000000000,-900000000,1
-900000000,-800000000,1
-800000000,-700000000,4
-700000000,-600000000,2
-600000000,-500000000,1
-500000000,-400000000,1
-400000000,-300000000,5
-300000000,-200000000,1
-200000000,-100000000,1
-100000000,0,4
0,100000000,4
100000000,200000000,3
200000000,300000000,1
300000000,400000000,3
400000000,500000000,5
500000000,600000000,3
600000000,700000000,6
700000000,800000000,5
800000000,900000000,4
900000000,1000000000,1
1000000000,1100000000,3
1100000000,1200000000,5
1200000000,1300000000,4
1300000000,1400000000,4
1400000000,1500000000,8
1500000000,1600000000,3
1600000000,1700000000,3
1700000000,1800000000,5
1800000000,1900000000,9
1900000000,2000000000,4
2000000000,2100000000,6
2100000000,2200000000,10
2200000000,2300000000,5
2300000000,2400000000,4
2400000000,2500000000,9
2500000000,2600000000,8
2600000000,2700000000,6
2700000000,2800000000,3
2800000000,2900000000,10
2900000000,3000000000,7
3000000000,3100000000,4
3100000000,3200000000,9
3200000000,3300000000,6
3300000000,3400000000,3
3400000000,3500000000,7
3500000000,3600000000,5
3600000000,3700000000,8
3700000000,3800000000,7
3800000000,3900000000,8
3900000000,4000000000,7
4000000000,4100000000,2
4100000000,4200000000,5
4200000000,4300000000,9
4300000000,4400000000,1
4400000000,4500000000,4
4500000000,4600000000,3
4600000000,4700000000,6
4700000000,4800000000,2
4800000000,4900000000,8
4900000000,5000000000,5
5000000000,5100000000,6
5100000000,5200000000,3
5200000000,5300000000,6
5300000000,5400000000,6
5400000000,5500000000,2
5500000000,5600000000,5
5600000000,5700000000,6
5700000000,5800000000,4
5800000000,5900000000,5
5900000000,6000000000,7
6000000000,6100000000,6
6100000000,6200000000,1
6200000000,6300000000,2
6300000000,6400000000,3
