bin_start,bin_end,frequency
-431500000000,-431400000000,1
-354900000000,-354800000000,1
-70200000000,-70100000000,1
-34200000000,-34100000000,1
-28300000000,-28200000000,1
-24700000000,-24600000000,1
-20400000000,-20300000000,1
-19900000000,-19800000000,1
-19000000000,-18900000000,1
-18900000000,-18800000000,1
-15500000000,-15400000000,1
-9600000000,-9500000000,1
-9500000000,-9400000000,1
-9200000000,-9100000000,1
-8100000000,-8000000000,1
-4600000000,-4500000000,1
-4100000000,-4000000000,1
-3700000000,-3600000000,1
-2700000000,-2600000000,1
-2500000000,-2400000000,1
-2300000000,-2200000000,1
-2000000000,-1900000000,2
-1800000000,-1700000000,2
-1300000000,-1200000000,1
-1200000000,-1100000000,1
-1000000000,-900000000,1
-800000000,-700000000,1
-700000000,-600000000,2
-400000000,-300000000,1
-300000000,-200000000,1
-200000000,-100000000,1
0,100000000,3
100000000,200000000,2
200000000,300000000,2
300000000,400000000,1
400000000,500000000,5
700000000,800000000,3
800000000,900000000,5
900000000,1000000000,5
1000000000,1100000000,4
1100000000,1200000000,5
1200000000,1300000000,6
1300000000,1400000000,5
1400000000,1500000000,9
1500000000,1600000000,9
1600000000,1700000000,11
1700000000,1800000000,8
1800000000,1900000000,5
1900000000,2000000000,8
2000000000,2100000000,9
2100000000,2200000000,9
2200000000,2300000000,10
2300000000,2400000000,10
2400000000,2500000000,6
2500000000,2600000000,5
2600000000,2700000000,8
2700000000,2800000000,7
2800000000,2900000000,12
2900000000,3000000000,6
3000000000,3100000000,8
3100000000,3200000000,8
3200000000,3300000000,6
3300000000,3400000000,7
3400000000,3500000000,8
3500000000,3600000000,7
3600000000,3700000000,9
3700000000,3800000000,6
3800000000,3900000000,6
3900000000,4000000000,6
4000000000,4100000000,3
4100000000,4200000000,5
4200000000,4300000000,8
4300000000,4400000000,9
4400000000,4500000000,7
4500000000,4600000000,6
4600000000,4700000000,5
4700000000,4800000000,5
4800000000,4900000000,8
4900000000,5000000000,3
5000000000,5100000000,2
5100000000,5200000000,4
5200000000,5300000000,5
5300000000,5400000000,4
5400000000,5500000000,8
5500000000,5600000000,5
5600000000,5700000000,1
5700000000,5800000000,6
5800000000,5900000000,6
5900000000,6000000000,1
6000000000,6100000000,6
6100000000,6200000000,6
6200000000,6300000000,5
6300000000,6400000000,2
6400000000,6500000000,3
6500000000,6600000000,3
6700000000,6800000000,5
6800000000,6900000000,3
6900000000,7000000000,5
7000000000,7100000000,4
7100000000,7200000000,2
7200000000,7300000000,4
7300000000,7400000000,5
7400000000,7500000000,4
7500000000,7600000000,4
7600000000,7700000000,3
7700000000,7800000000,6
7800000000,7900000000,2
7900000000,8000000000,5
8000000000,8100000000,8
8100000000,8200000000,4
8200000000,8300000000,6
8300000000,8400000000,5
8500000000,8600000000,2
8600000000,8700000000,5
8700000000,8800000000,3
8800000000,8900000000,3
8900000000,9000000000,7
9000000000,9100000000,3
9100000000,9200000000,4
9200000000,9300000000,2
9300000000,9400000000,5
9400000000,9500000000,4
9500000000,9600000000,3
9600000000,9700000000,2
9700000000,9800000000,4
9800000000,9900000000,1
9900000000,10000000000,3
10000000000,10100000000,3
10200000000,10300000000,4
10300000000,10400000000,1
10400000000,10500000000,6
10500000000,10600000000,1
10600000000,10700000000,3
10700000000,10800000000,2
10800000000,10900000000,3
10900000000,11000000000,1
11000000000,11100000000,2
11100000000,11200000000,2
11200000000,11300000000,2
11300000000,11400000000,1
11400000000,11500000000,3
11500000000,11600000000,1
11600000000,11700000000,7
11700000000,11800000000,3
11800000000,11900000000,3
11900000000,12000000000,3
12000000000,12100000000,3
12100000000,12200000000,1
12300000000,12400000000,4
12400000000,12500000000,1
12500000000,12600000000,6
12600000000,12700000000,3
12700000000,12800000000,2
12800000000,12900000000,2
12900000000,13000000000,3
13000000000,13100000000,2
13100000000,13200000000,3
13200000000,13300000000,2
13300000000,13400000000,2
13400000000,13500000000,3
13500000000,13600000000,1
13600000000,13700000000,1
13700000000,13800000000,1
13800000000,13900000000,5
13900000000,14000000000,1
14000000000,14100000000,1
14100000000,14200000000,1
14200000000,14300000000,2
14300000000,14400000000,1
14400000000,14500000000,4
14500000000,14600000000,3
14600000000,14700000000,1
14700000000,14800000000,2
15000000000,15100000000,1
15100000000,15200000000,4
15200000000,15300000000,3
15300000000,15400000000,1
15400000000,15500000000,2
15500000000,15600000000,4
15600000000,15700000000,1
15700000000,15800000000,1
15800000000,15900000000,2
15900000000,16000000000,3
16000000000,16100000000,1
16100000000,16200000000,2
16200000000,16300000000,1
16300000000,16400000000,2
16400000000,16500000000,1
16500000000,16600000000,1
16600000000,16700000000,1
16700000000,16800000000,1
16800000000,16900000000,2
16900000000,17000000000,2
17000000000,17100000000,1
17200000000,17300000000,4
17400000000,17500000000,2
17500000000,17600000000,2
17600000000,17700000000,3
17800000000,17900000000,2
17900000000,18000000000,1
18000000000,18100000000,1
18100000000,18200000000,1
18200000000,18300000000,3
18300000000,18400000000,2
18400000000,18500000000,2
18500000000,18600000000,3
18600000000,18700000000,3
18700000000,18800000000,1
18800000000,18900000000,2
18900000000,19000000000,3
19000000000,19100000000,1
19100000000,19200000000,2
19200000000,19300000000,1
19300000000,19400000000,1
19400000000,19500000000,1
19500000000,19600000000,3
19600000000,19700000000,1
19700000000,19800000000,2
19800000000,19900000000,1
20000000000,20100000000,2
20200000000,20300000000,2
20300000000,20400000000,1
20500000000,20600000000,1
20700000000,20800000000,1
20800000000,20900000000,2
21000000000,21100000000,3
21100000000,21200000000,3
21200000000,21300000000,2
21300000000,21400000000,1
21600000000,21700000000,1
22000000000,22100000000,1
22200000000,22300000000,1
22300000000,22400000000,2
22400000000,22500000000,2
22500000000,22600000000,1
22800000000,22900000000,1
22900000000,23000000000,1
23000000000,23100000000,1
23200000000,23300000000,1
23300000000,23400000000,1
23400000000,23500000000,2
23800000000,23900000000,1
24000000000,24100000000,1
24100000000,24200000000,2
24300000000,24400000000,1
24500000000,24600000000,1
24800000000,24900000000,1
25000000000,25100000000,1
25100000000,25200000000,1
25200000000,25300000000,2
25300000000,25400000000,2
25600000000,25700000000,1
25800000000,25900000000,2
25900000000,26000000000,1
26000000000,26100000000,1
26100000000,26200000000,1
26400000000,26500000000,1
26500000000,26600000000,2
26900000000,27000000000,1
27100000000,27200000000,1
27200000000,27300000000,1
27300000000,27400000000,1
27500000000,27600000000,1
27600000000,27700000000,1
27800000000,27900000000,1
28000000000,28100000000,1
28100000000,28200000000,1
28400000000,28500000000,1
28800000000,28900000000,1
28900000000,29000000000,2
29000000000,29100000000,1
29100000000,29200000000,1
29300000000,29400000000,2
29600000000,29700000000,1
