bin_start,bin_end,frequency
-462800000000,-462700000000,1
-323200000000,-323100000000,1
-137600000000,-137500000000,1
-72300000000,-72200000000,1
-53200000000,-53100000000,1
-45400000000,-45300000000,1
-43800000000,-43700000000,1
-28200000000,-28100000000,1
-20700000000,-20600000000,1
-19500000000,-19400000000,1
-19400000000,-19300000000,1
-19100000000,-19000000000,1
-14500000000,-14400000000,1
-13300000000,-13200000000,2
-9300000000,-9200000000,1
-8500000000,-8400000000,1
-8300000000,-8200000000,1
-7700000000,-7600000000,1
-7400000000,-7300000000,2
-6500000000,-6400000000,1
-5600000000,-5500000000,1
-5400000000,-5300000000,1
-4800000000,-4700000000,1
-4400000000,-4300000000,1
-4200000000,-4100000000,1
-3800000000,-3700000000,1
-3300000000,-3200000000,1
-2400000000,-2300000000,1
-2200000000,-2100000000,1
-2000000000,-1900000000,1
-1500000000,-1400000000,1
-1300000000,-1200000000,1
-900000000,-800000000,2
-800000000,-700000000,2
-700000000,-600000000,2
-400000000,-300000000,2
-300000000,-200000000,1
-200000000,-100000000,1
-100000000,0,3
100000000,200000000,2
200000000,300000000,1
400000000,500000000,2
500000000,600000000,3
600000000,700000000,1
700000000,800000000,4
800000000,900000000,5
900000000,1000000000,5
1000000000,1100000000,5
1100000000,1200000000,2
1200000000,1300000000,2
1300000000,1400000000,4
1400000000,1500000000,1
1500000000,1600000000,11
1600000000,1700000000,10
1700000000,1800000000,4
1800000000,1900000000,9
1900000000,2000000000,7
2000000000,2100000000,7
2100000000,2200000000,2
2200000000,2300000000,11
2300000000,2400000000,8
2400000000,2500000000,3
2500000000,2600000000,9
2600000000,2700000000,11
2700000000,2800000000,10
2800000000,2900000000,7
2900000000,3000000000,8
3000000000,3100000000,7
3100000000,3200000000,9
3200000000,3300000000,8
3300000000,3400000000,7
3400000000,3500000000,9
3500000000,3600000000,9
3600000000,3700000000,2
3700000000,3800000000,7
3800000000,3900000000,12
3900000000,4000000000,4
4000000000,4100000000,5
4100000000,4200000000,9
4200000000,4300000000,7
4300000000,4400000000,3
4400000000,4500000000,11
4500000000,4600000000,7
4600000000,4700000000,6
4700000000,4800000000,1
4800000000,4900000000,5
4900000000,5000000000,5
5000000000,5100000000,9
5100000000,5200000000,3
5200000000,5300000000,3
5300000000,5400000000,4
5400000000,5500000000,6
5500000000,5600000000,4
5600000000,5700000000,5
5700000000,5800000000,3
5800000000,5900000000,4
5900000000,6000000000,3
6000000000,6100000000,4
6100000000,6200000000,5
6200000000,6300000000,5
6300000000,6400000000,2
6400000000,6500000000,4
6500000000,6600000000,2
6600000000,6700000000,5
6700000000,6800000000,3
6800000000,6900000000,5
6900000000,7000000000,8
7000000000,7100000000,5
7100000000,7200000000,8
7200000000,7300000000,6
7300000000,7400000000,4
7400000000,7500000000,5
7500000000,7600000000,6
7600000000,7700000000,6
7700000000,7800000000,2
7800000000,7900000000,2
7900000000,8000000000,6
8000000000,8100000000,6
8200000000,8300000000,3
8300000000,8400000000,3
8400000000,8500000000,5
8500000000,8600000000,3
8600000000,8700000000,2
8700000000,8800000000,6
8800000000,8900000000,4
8900000000,9000000000,1
9000000000,9100000000,2
9100000000,9200000000,3
9200000000,9300000000,3
9300000000,9400000000,3
9400000000,9500000000,4
9500000000,9600000000,6
9600000000,9700000000,4
9700000000,9800000000,4
9800000000,9900000000,2
9900000000,10000000000,6
10200000000,10300000000,4
10300000000,10400000000,3
10400000000,10500000000,5
10500000000,10600000000,5
10600000000,10700000000,2
10700000000,10800000000,1
10800000000,10900000000,5
10900000000,11000000000,1
11000000000,11100000000,4
11300000000,11400000000,4
11400000000,11500000000,4
11500000000,11600000000,1
11600000000,11700000000,3
11700000000,11800000000,3
11800000000,11900000000,4
11900000000,12000000000,2
12000000000,12100000000,6
12100000000,12200000000,2
12200000000,12300000000,5
12300000000,12400000000,1
12400000000,12500000000,4
12500000000,12600000000,3
12600000000,12700000000,3
12700000000,12800000000,3
12800000000,12900000000,2
12900000000,13000000000,2
13000000000,13100000000,1
13100000000,13200000000,2
13200000000,13300000000,1
13300000000,13400000000,1
13400000000,13500000000,2
13500000000,13600000000,5
13600000000,13700000000,2
13700000000,13800000000,2
13800000000,13900000000,6
13900000000,14000000000,1
14000000000,14100000000,1
14100000000,14200000000,1
14200000000,14300000000,2
14400000000,14500000000,3
14500000000,14600000000,2
14600000000,14700000000,3
14800000000,14900000000,1
14900000000,15000000000,2
15000000000,15100000000,3
15100000000,15200000000,3
15200000000,15300000000,1
15300000000,15400000000,3
15400000000,15500000000,2
15500000000,15600000000,1
15600000000,15700000000,3
15700000000,15800000000,3
15800000000,15900000000,2
15900000000,16000000000,2
16200000000,16300000000,4
16300000000,16400000000,3
16400000000,16500000000,2
16500000000,16600000000,3
16600000000,16700000000,2
16900000000,17000000000,2
17000000000,17100000000,2
17100000000,17200000000,1
17200000000,17300000000,4
17300000000,17400000000,2
17500000000,17600000000,3
17600000000,17700000000,2
17700000000,17800000000,1
17900000000,18000000000,1
18000000000,18100000000,2
18100000000,18200000000,3
18200000000,18300000000,4
18300000000,18400000000,3
18400000000,18500000000,1
18500000000,18600000000,2
18600000000,18700000000,2
18900000000,19000000000,2
19000000000,19100000000,1
19100000000,19200000000,2
19200000000,19300000000,2
19300000000,19400000000,1
19400000000,19500000000,2
19500000000,19600000000,1
19600000000,19700000000,2
19800000000,19900000000,3
20000000000,20100000000,2
20100000000,20200000000,1
20200000000,20300000000,1
20400000000,20500000000,2
20500000000,20600000000,3
20900000000,21000000000,2
21000000000,21100000000,1
21100000000,21200000000,4
21200000000,21300000000,1
21300000000,21400000000,2
21400000000,21500000000,1
21700000000,21800000000,1
21800000000,21900000000,1
21900000000,22000000000,1
22200000000,22300000000,1
22400000000,22500000000,1
22500000000,22600000000,2
22600000000,22700000000,1
22700000000,22800000000,1
22800000000,22900000000,1
22900000000,23000000000,1
23000000000,23100000000,1
23100000000,23200000000,1
23200000000,23300000000,1
23600000000,23700000000,3
23700000000,23800000000,1
23900000000,24000000000,1
24000000000,24100000000,1
24300000000,24400000000,1
24400000000,24500000000,1
24600000000,24700000000,2
24800000000,24900000000,1
24900000000,25000000000,1
25200000000,25300000000,1
25300000000,25400000000,1
