bin_start,bin_end,frequency
-125000000000,-124900000000,1
-90200000000,-90100000000,1
-66500000000,-66400000000,1
-33000000000,-32900000000,1
-26800000000,-26700000000,1
-23300000000,-23200000000,1
-22700000000,-22600000000,1
-4100000000,-4000000000,1
-2800000000,-2700000000,2
-2500000000,-2400000000,1
-900000000,-800000000,1
-200000000,-100000000,1
0,100000000,1
100000000,200000000,1
500000000,600000000,1
600000000,700000000,1
700000000,800000000,1
1200000000,1300000000,1
1300000000,1400000000,1
1400000000,1500000000,2
1800000000,1900000000,1
2600000000,2700000000,1
2700000000,2800000000,1
2900000000,3000000000,1
3000000000,3100000000,2
3100000000,3200000000,1
3300000000,3400000000,1
3500000000,3600000000,1
3600000000,3700000000,1
3700000000,3800000000,2
3800000000,3900000000,1
4000000000,4100000000,1
4300000000,4400000000,2
4500000000,4600000000,1
4600000000,4700000000,1
4800000000,4900000000,2
5000000000,5100000000,3
5100000000,5200000000,1
5600000000,5700000000,1
5700000000,5800000000,1
6000000000,6100000000,1
6100000000,6200000000,1
6300000000,6400000000,1
6800000000,6900000000,2
6900000000,7000000000,3
7000000000,7100000000,1
7100000000,7200000000,1
7200000000,7300000000,1
7300000000,7400000000,1
7400000000,7500000000,1
7500000000,7600000000,1
7700000000,7800000000,1
7800000000,7900000000,2
7900000000,8000000000,1
8000000000,8100000000,1
8100000000,8200000000,1
8200000000,8300000000,1
8400000000,8500000000,1
8500000000,8600000000,3
8600000000,8700000000,3
8700000000,8800000000,2
8800000000,8900000000,1
9000000000,9100000000,2
9100000000,9200000000,5
9200000000,9300000000,4
9400000000,9500000000,2
9600000000,9700000000,1
9700000000,9800000000,2
10200000000,10300000000,1
10500000000,10600000000,1
10800000000,10900000000,1
11100000000,11200000000,3
11200000000,11300000000,1
11400000000,11500000000,1
11500000000,11600000000,2
11600000000,11700000000,1
11800000000,11900000000,2
12100000000,12200000000,1
12200000000,12300000000,3
12400000000,12500000000,1
12500000000,12600000000,1
12600000000,12700000000,1
12700000000,12800000000,1
12800000000,12900000000,1
12900000000,13000000000,2
13200000000,13300000000,4
13500000000,13600000000,1
13600000000,13700000000,1
13700000000,13800000000,1
13800000000,13900000000,1
13900000000,14000000000,2
14000000000,14100000000,2
14100000000,14200000000,3
14200000000,14300000000,3
14500000000,14600000000,1
14600000000,14700000000,2
14800000000,14900000000,1
15000000000,15100000000,1
15100000000,15200000000,1
15300000000,15400000000,1
15400000000,15500000000,3
15500000000,15600000000,1
15600000000,15700000000,3
15800000000,15900000000,1
15900000000,16000000000,2
16000000000,16100000000,2
16300000000,16400000000,2
16500000000,16600000000,3
16700000000,16800000000,3
16800000000,16900000000,2
16900000000,17000000000,1
17000000000,17100000000,1
17100000000,17200000000,3
17200000000,17300000000,1
17300000000,17400000000,1
17400000000,17500000000,1
17500000000,17600000000,3
17700000000,17800000000,2
17800000000,17900000000,3
18000000000,18100000000,1
18200000000,18300000000,1
18300000000,18400000000,2
18400000000,18500000000,1
18500000000,18600000000,1
18600000000,18700000000,2
18700000000,18800000000,1
18800000000,18900000000,2
19100000000,19200000000,3
19200000000,19300000000,2
19400000000,19500000000,1
19500000000,19600000000,1
19700000000,19800000000,1
19800000000,19900000000,3
19900000000,20000000000,1
20000000000,20100000000,1
20300000000,20400000000,1
20400000000,20500000000,2
20500000000,20600000000,3
20600000000,20700000000,2
20700000000,20800000000,2
20800000000,20900000000,2
20900000000,21000000000,2
21100000000,21200000000,1
21300000000,21400000000,1
21400000000,21500000000,1
21600000000,21700000000,1
21700000000,21800000000,2
21900000000,22000000000,1
22000000000,22100000000,3
22100000000,22200000000,1
22200000000,22300000000,1
22300000000,22400000000,1
22500000000,22600000000,1
22800000000,22900000000,1
23000000000,23100000000,1
23400000000,23500000000,1
24000000000,24100000000,1
24100000000,24200000000,2
24300000000,24400000000,2
24500000000,24600000000,2
24600000000,24700000000,2
24800000000,24900000000,1
24900000000,25000000000,1
25000000000,25100000000,1
25100000000,25200000000,1
25200000000,25300000000,1
25300000000,25400000000,1
25500000000,25600000000,1
25700000000,25800000000,1
25800000000,25900000000,2
25900000000,26000000000,2
26000000000,26100000000,1
26100000000,26200000000,1
26200000000,26300000000,1
26300000000,26400000000,1
26400000000,26500000000,1
26500000000,26600000000,1
26800000000,26900000000,1
27000000000,27100000000,3
27200000000,27300000000,2
27300000000,27400000000,1
27400000000,27500000000,4
27500000000,27600000000,2
27700000000,27800000000,2
28000000000,28100000000,3
28100000000,28200000000,1
28400000000,28500000000,2
28500000000,28600000000,2
28700000000,28800000000,1
28800000000,28900000000,1
29100000000,29200000000,1
29300000000,29400000000,1
29400000000,29500000000,2
29500000000,29600000000,1
29700000000,29800000000,2
29900000000,30000000000,2
30000000000,30100000000,1
30100000000,30200000000,1
30200000000,30300000000,1
30300000000,30400000000,2
30600000000,30700000000,1
30700000000,30800000000,1
31000000000,31100000000,4
31100000000,31200000000,1
31200000000,31300000000,2
31500000000,31600000000,1
31600000000,31700000000,2
31800000000,31900000000,2
32200000000,32300000000,4
32400000000,32500000000,1
32500000000,32600000000,1
32600000000,32700000000,1
32800000000,32900000000,4
32900000000,33000000000,1
33100000000,33200000000,1
33200000000,33300000000,1
33300000000,33400000000,1
33700000000,33800000000,1
33800000000,33900000000,2
34000000000,34100000000,2
34100000000,34200000000,2
34200000000,34300000000,2
34300000000,34400000000,2
34400000000,34500000000,1
34500000000,34600000000,2
34700000000,34800000000,2
34800000000,34900000000,1
34900000000,35000000000,2
35400000000,35500000000,2
35500000000,35600000000,1
35800000000,35900000000,1
35900000000,36000000000,1
36000000000,36100000000,1
36100000000,36200000000,2
36200000000,36300000000,1
36300000000,36400000000,2
36500000000,36600000000,1
37000000000,37100000000,3
37200000000,37300000000,1
37400000000,37500000000,2
37700000000,37800000000,2
37800000000,37900000000,1
38000000000,38100000000,2
38300000000,38400000000,3
38500000000,38600000000,1
38600000000,38700000000,1
38900000000,39000000000,2
39000000000,39100000000,2
39100000000,39200000000,1
39200000000,39300000000,2
39500000000,39600000000,2
39600000000,39700000000,1
40000000000,40100000000,2
40200000000,40300000000,1
40400000000,40500000000,1
40700000000,40800000000,2
41000000000,41100000000,1
41800000000,41900000000,1
41900000000,42000000000,2
42000000000,42100000000,1
42100000000,42200000000,1
42200000000,42300000000,1
