bin_start,bin_end,frequency
1700000000,1800000000,1
2700000000,2800000000,1
2800000000,2900000000,1
3300000000,3400000000,1
4200000000,4300000000,1
4600000000,4700000000,1
4700000000,4800000000,1
5000000000,5100000000,1
5100000000,5200000000,1
5300000000,5400000000,1
5400000000,5500000000,1
5500000000,5600000000,2
5700000000,5800000000,1
5900000000,6000000000,1
6000000000,6100000000,1
6100000000,6200000000,1
6300000000,6400000000,1
6400000000,6500000000,1
6700000000,6800000000,1
6900000000,7000000000,1
7100000000,7200000000,1
7200000000,7300000000,2
7500000000,7600000000,1
8100000000,8200000000,1
8200000000,8300000000,1
8300000000,8400000000,2
8400000000,8500000000,1
8700000000,8800000000,1
9100000000,9200000000,2
9200000000,9300000000,1
9300000000,9400000000,1
9800000000,9900000000,1
9900000000,10000000000,2
10000000000,10100000000,1
10100000000,10200000000,2
10200000000,10300000000,1
10300000000,10400000000,1
10500000000,10600000000,1
10900000000,11000000000,2
11000000000,11100000000,2
11300000000,11400000000,1
11400000000,11500000000,2
11500000000,11600000000,1
11700000000,11800000000,1
11900000000,12000000000,1
12200000000,12300000000,2
12500000000,12600000000,1
12600000000,12700000000,2
12700000000,12800000000,1
12800000000,12900000000,1
12900000000,13000000000,2
13100000000,13200000000,1
13300000000,13400000000,1
13400000000,13500000000,1
14200000000,14300000000,1
14300000000,14400000000,1
14400000000,14500000000,1
14500000000,14600000000,1
14600000000,14700000000,2
15000000000,15100000000,3
15300000000,15400000000,1
15700000000,15800000000,1
15900000000,16000000000,2
16000000000,16100000000,2
16100000000,16200000000,1
16400000000,16500000000,1
16500000000,16600000000,1
16600000000,16700000000,1
16800000000,16900000000,4
16900000000,17000000000,3
17000000000,17100000000,1
17200000000,17300000000,1
17300000000,17400000000,1
17500000000,17600000000,2
17700000000,17800000000,2
18400000000,18500000000,1
18700000000,18800000000,1
18800000000,18900000000,2
19000000000,19100000000,1
19400000000,19500000000,1
19600000000,19700000000,1
19700000000,19800000000,1
19800000000,19900000000,1
20000000000,20100000000,1
20200000000,20300000000,2
20400000000,20500000000,2
20500000000,20600000000,1
20600000000,20700000000,1
20800000000,20900000000,1
20900000000,21000000000,2
21100000000,21200000000,1
21200000000,21300000000,1
21400000000,21500000000,1
21700000000,21800000000,1
21800000000,21900000000,2
21900000000,22000000000,1
22300000000,22400000000,2
22400000000,22500000000,1
22500000000,22600000000,1
22700000000,22800000000,2
22900000000,23000000000,1
23100000000,23200000000,1
23300000000,23400000000,1
23500000000,23600000000,2
24000000000,24100000000,1
24400000000,24500000000,2
24700000000,24800000000,1
24800000000,24900000000,1
24900000000,25000000000,1
25000000000,25100000000,2
25100000000,25200000000,1
25500000000,25600000000,2
25600000000,25700000000,1
26700000000,26800000000,2
27200000000,27300000000,2
27300000000,27400000000,2
27400000000,27500000000,1
27500000000,27600000000,1
27600000000,27700000000,3
27800000000,27900000000,1
28300000000,28400000000,1
28600000000,28700000000,1
28900000000,29000000000,2
29000000000,29100000000,2
29100000000,29200000000,1
29200000000,29300000000,2
29400000000,29500000000,1
29800000000,29900000000,1
29900000000,30000000000,2
30000000000,30100000000,1
30100000000,30200000000,1
