bin_start,bin_end,frequency
4400000000,4500000000,1
5000000000,5100000000,1
5600000000,5700000000,1
6500000000,6600000000,1
6600000000,6700000000,1
6800000000,6900000000,1
7500000000,7600000000,1
7800000000,7900000000,1
8100000000,8200000000,1
8700000000,8800000000,1
9400000000,9500000000,1
9500000000,9600000000,1
9700000000,9800000000,1
10100000000,10200000000,1
10200000000,10300000000,1
10400000000,10500000000,1
10900000000,11000000000,1
11300000000,11400000000,2
11400000000,11500000000,1
11500000000,11600000000,3
12100000000,12200000000,1
13400000000,13500000000,2
13600000000,13700000000,2
14000000000,14100000000,1
14100000000,14200000000,1
14200000000,14300000000,1
14500000000,14600000000,1
14600000000,14700000000,1
14800000000,14900000000,1
15700000000,15800000000,1
16000000000,16100000000,1
16100000000,16200000000,2
16700000000,16800000000,1
16800000000,16900000000,1
17100000000,17200000000,1
17200000000,17300000000,1
17400000000,17500000000,1
17900000000,18000000000,2
18200000000,18300000000,1
18600000000,18700000000,1
19200000000,19300000000,1
19500000000,19600000000,1
20000000000,20100000000,2
20700000000,20800000000,1
20900000000,21000000000,1
21100000000,21200000000,1
21200000000,21300000000,2
21300000000,21400000000,1
21600000000,21700000000,1
21700000000,21800000000,1
22000000000,22100000000,1
22500000000,22600000000,1
22900000000,23000000000,1
23000000000,23100000000,3
23400000000,23500000000,1
23800000000,23900000000,1
23900000000,24000000000,1
24000000000,24100000000,1
24900000000,25000000000,1
25500000000,25600000000,1
25900000000,26000000000,1
26100000000,26200000000,1
26900000000,27000000000,1
27200000000,27300000000,1
27700000000,27800000000,1
27900000000,28000000000,1
28300000000,28400000000,1
29700000000,29800000000,1
30100000000,30200000000,2
30200000000,30300000000,1
30600000000,30700000000,1
30900000000,31000000000,1
31200000000,31300000000,1
31300000000,31400000000,1
31400000000,31500000000,1
31500000000,31600000000,2
31900000000,32000000000,1
32000000000,32100000000,1
32300000000,32400000000,1
32500000000,32600000000,1
33500000000,33600000000,2
33600000000,33700000000,1
33700000000,33800000000,1
34000000000,34100000000,1
34500000000,34600000000,2
35700000000,35800000000,1
36100000000,36200000000,1
36500000000,36600000000,1
36600000000,36700000000,1
36800000000,36900000000,1
37100000000,37200000000,1
37200000000,37300000000,1
37500000000,37600000000,2
37600000000,37700000000,3
38000000000,38100000000,2
38500000000,38600000000,2
38600000000,38700000000,1
39300000000,39400000000,1
39700000000,39800000000,1
39800000000,39900000000,1
41100000000,41200000000,1
41400000000,41500000000,1
41600000000,41700000000,1
42000000000,42100000000,2
42300000000,42400000000,1
42500000000,42600000000,2
42900000000,43000000000,1
43000000000,43100000000,1
43400000000,43500000000,2
43500000000,43600000000,1
43800000000,43900000000,1
44000000000,44100000000,1
44100000000,44200000000,1
44200000000,44300000000,1
44300000000,44400000000,1
44500000000,44600000000,1
44700000000,44800000000,2
44900000000,45000000000,1
45900000000,46000000000,1
46000000000,46100000000,1
46100000000,46200000000,1
46500000000,46600000000,3
46600000000,46700000000,1
47300000000,47400000000,1
47400000000,47500000000,1
47600000000,47700000000,1
47700000000,47800000000,1
47800000000,47900000000,1
48400000000,48500000000,1
48800000000,48900000000,1
48900000000,49000000000,1
49000000000,49100000000,2
49300000000,49400000000,1
49500000000,49600000000,1
49600000000,49700000000,3
49900000000,50000000000,1
50000000000,50100000000,1
50800000000,50900000000,2
51000000000,51100000000,1
51500000000,51600000000,1
52000000000,52100000000,1
52100000000,52200000000,1
52800000000,52900000000,1
53100000000,53200000000,1
53200000000,53300000000,1
53400000000,53500000000,1
54000000000,54100000000,1
54300000000,54400000000,2
54400000000,54500000000,3
54500000000,54600000000,1
54800000000,54900000000,1
55100000000,55200000000,1
55200000000,55300000000,2
56300000000,56400000000,1
56400000000,56500000000,1
58000000000,58100000000,1
58400000000,58500000000,1
58600000000,58700000000,2
58900000000,59000000000,1
59100000000,59200000000,1
59200000000,59300000000,1
59400000000,59500000000,1
60000000000,60100000000,1
60200000000,60300000000,2
60400000000,60500000000,2
60900000000,61000000000,1
61000000000,61100000000,2
61300000000,61400000000,1
61400000000,61500000000,1
61600000000,61700000000,1
61800000000,61900000000,1
62000000000,62100000000,1
62200000000,62300000000,1
62500000000,62600000000,1
62700000000,62800000000,1
63100000000,63200000000,1
63500000000,63600000000,1
63800000000,63900000000,1
64100000000,64200000000,1
64700000000,64800000000,1
65100000000,65200000000,1
65400000000,65500000000,2
65600000000,65700000000,1
66100000000,66200000000,2
66300000000,66400000000,1
66600000000,66700000000,1
66800000000,66900000000,1
66900000000,67000000000,1
67300000000,67400000000,1
67800000000,67900000000,2
68000000000,68100000000,1
68300000000,68400000000,1
68400000000,68500000000,1
68500000000,68600000000,1
68800000000,68900000000,1
68900000000,69000000000,1
70600000000,70700000000,1
70900000000,71000000000,1
71900000000,72000000000,1
