bin_start,bin_end,frequency
0,100000000,24
100000000,200000000,10
200000000,300000000,19
300000000,400000000,13
400000000,500000000,8
500000000,600000000,5
600000000,700000000,4
700000000,800000000,6
800000000,900000000,3
900000000,1000000000,5
1000000000,1100000000,1
1100000000,1200000000,5
1200000000,1300000000,3
1300000000,1400000000,1
1400000000,1500000000,4
1500000000,1600000000,6
1600000000,1700000000,4
1700000000,1800000000,7
1800000000,1900000000,4
2000000000,2100000000,3
2100000000,2200000000,2
2200000000,2300000000,1
2300000000,2400000000,4
2400000000,2500000000,1
2500000000,2600000000,4
2600000000,2700000000,2
2700000000,2800000000,6
2800000000,2900000000,3
2900000000,3000000000,1
3000000000,3100000000,5
3100000000,3200000000,3
3200000000,3300000000,5
3300000000,3400000000,2
3500000000,3600000000,3
3600000000,3700000000,2
3700000000,3800000000,1
3800000000,3900000000,5
4000000000,4100000000,4
4100000000,4200000000,4
4200000000,4300000000,3
4300000000,4400000000,6
4400000000,4500000000,4
4500000000,4600000000,1
4600000000,4700000000,1
4700000000,4800000000,1
4800000000,4900000000,1
4900000000,5000000000,4
5000000000,5100000000,5
5100000000,5200000000,3
5200000000,5300000000,4
5300000000,5400000000,2
5500000000,5600000000,2
5700000000,5800000000,2
5800000000,5900000000,3
5900000000,6000000000,5
6000000000,6100000000,3
6100000000,6200000000,2
6200000000,6300000000,2
6300000000,6400000000,2
6400000000,6500000000,2
6500000000,6600000000,2
6600000000,6700000000,2
6700000000,6800000000,2
6800000000,6900000000,4
6900000000,7000000000,4
7000000000,7100000000,3
7100000000,7200000000,5
7200000000,7300000000,1
7400000000,7500000000,3
7500000000,7600000000,1
7600000000,7700000000,5
7700000000,7800000000,1
8100000000,8200000000,2
8200000000,8300000000,3
8400000000,8500000000,2
8500000000,8600000000,1
8600000000,8700000000,1
8700000000,8800000000,2
8800000000,8900000000,1
8900000000,9000000000,2
9000000000,9100000000,2
9100000000,9200000000,4
9200000000,9300000000,3
9300000000,9400000000,1
9400000000,9500000000,2
9500000000,9600000000,1
9600000000,9700000000,1
9700000000,9800000000,1
9800000000,9900000000,1
9900000000,10000000000,3
10000000000,10100000000,3
10100000000,10200000000,4
10200000000,10300000000,1
10300000000,10400000000,1
10400000000,10500000000,2
10500000000,10600000000,1
10600000000,10700000000,1
10700000000,10800000000,2
10800000000,10900000000,2
10900000000,11000000000,1
11000000000,11100000000,4
11100000000,11200000000,1
11200000000,11300000000,1
11400000000,11500000000,1
11500000000,11600000000,3
11600000000,11700000000,1
11800000000,11900000000,1
11900000000,12000000000,1
12000000000,12100000000,1
12100000000,12200000000,2
12200000000,12300000000,2
