bin_start,bin_end,frequency
1100000000,1200000000,1
2500000000,2600000000,1
2900000000,3000000000,1
3600000000,3700000000,1
4500000000,4600000000,1
5100000000,5200000000,1
5300000000,5400000000,1
5600000000,5700000000,1
5900000000,6000000000,1
6800000000,6900000000,1
7100000000,7200000000,1
7300000000,7400000000,1
7400000000,7500000000,1
7700000000,7800000000,1
8000000000,8100000000,1
8500000000,8600000000,1
8600000000,8700000000,1
9000000000,9100000000,1
9100000000,9200000000,2
9500000000,9600000000,1
10100000000,10200000000,1
10200000000,10300000000,2
10700000000,10800000000,1
11000000000,11100000000,1
11300000000,11400000000,1
11400000000,11500000000,1
11500000000,11600000000,1
12000000000,12100000000,1
12200000000,12300000000,1
12700000000,12800000000,1
12900000000,13000000000,1
13100000000,13200000000,1
13200000000,13300000000,1
13600000000,13700000000,1
13700000000,13800000000,1
13800000000,13900000000,1
14000000000,14100000000,1
14100000000,14200000000,1
14200000000,14300000000,1
14400000000,14500000000,1
14500000000,14600000000,1
14900000000,15000000000,1
15000000000,15100000000,1
15200000000,15300000000,1
15500000000,15600000000,1
15800000000,15900000000,1
16200000000,16300000000,1
16400000000,16500000000,2
16600000000,16700000000,1
18000000000,18100000000,2
18500000000,18600000000,1
18600000000,18700000000,1
18800000000,18900000000,1
18900000000,19000000000,1
19300000000,19400000000,1
19400000000,19500000000,1
19500000000,19600000000,1
20400000000,20500000000,3
20600000000,20700000000,1
20700000000,20800000000,1
20800000000,20900000000,1
20900000000,21000000000,1
21100000000,21200000000,1
21300000000,21400000000,1
21500000000,21600000000,1
21800000000,21900000000,1
22100000000,22200000000,1
22200000000,22300000000,1
22300000000,22400000000,1
22400000000,22500000000,2
23100000000,23200000000,1
23200000000,23300000000,1
23300000000,23400000000,1
23900000000,24000000000,3
24000000000,24100000000,2
24200000000,24300000000,1
24300000000,24400000000,1
24400000000,24500000000,1
24800000000,24900000000,1
25200000000,25300000000,2
25700000000,25800000000,3
25800000000,25900000000,1
25900000000,26000000000,1
26100000000,26200000000,1
26400000000,26500000000,1
26500000000,26600000000,1
26700000000,26800000000,1
26800000000,26900000000,2
27000000000,27100000000,2
27400000000,27500000000,1
27900000000,28000000000,1
28800000000,28900000000,1
29100000000,29200000000,1
29200000000,29300000000,3
29300000000,29400000000,1
29400000000,29500000000,2
29700000000,29800000000,1
29900000000,30000000000,1
30100000000,30200000000,2
30300000000,30400000000,1
30400000000,30500000000,1
31000000000,31100000000,1
31200000000,31300000000,1
31500000000,31600000000,2
31600000000,31700000000,1
31700000000,31800000000,1
32300000000,32400000000,2
32500000000,32600000000,1
32600000000,32700000000,2
32800000000,32900000000,1
33000000000,33100000000,1
33200000000,33300000000,1
33500000000,33600000000,1
33700000000,33800000000,1
33800000000,33900000000,1
34100000000,34200000000,2
34200000000,34300000000,1
35000000000,35100000000,1
35200000000,35300000000,1
35300000000,35400000000,1
35400000000,35500000000,2
35900000000,36000000000,1
36100000000,36200000000,1
36200000000,36300000000,2
36300000000,36400000000,2
36400000000,36500000000,2
36500000000,36600000000,2
36600000000,36700000000,1
37000000000,37100000000,2
37100000000,37200000000,1
37200000000,37300000000,1
37300000000,37400000000,1
37400000000,37500000000,1
37500000000,37600000000,1
37700000000,37800000000,3
37800000000,37900000000,3
38200000000,38300000000,2
38400000000,38500000000,2
38500000000,38600000000,1
38600000000,38700000000,3
38700000000,38800000000,1
39100000000,39200000000,1
39200000000,39300000000,2
39300000000,39400000000,1
39500000000,39600000000,1
39600000000,39700000000,2
40000000000,40100000000,1
40200000000,40300000000,1
40500000000,40600000000,1
40700000000,40800000000,1
40900000000,41000000000,2
41300000000,41400000000,1
41400000000,41500000000,1
41900000000,42000000000,1
42100000000,42200000000,1
42200000000,42300000000,1
42600000000,42700000000,1
42700000000,42800000000,2
42800000000,42900000000,1
43000000000,43100000000,1
43200000000,43300000000,1
43500000000,43600000000,2
43600000000,43700000000,2
43700000000,43800000000,1
43900000000,44000000000,1
44000000000,44100000000,2
