bin_start,bin_end,frequency
-3415300000000,-3415200000000,1
-2429200000000,-2429100000000,1
-2048100000000,-2048000000000,1
-1817300000000,-1817200000000,2
-1716000000000,-1715900000000,1
-521600000000,-521500000000,1
-424800000000,-424700000000,1
-300000000000,-299900000000,1
-283900000000,-283800000000,1
-246000000000,-245900000000,1
-223400000000,-223300000000,1
-217400000000,-217300000000,1
-191100000000,-191000000000,1
-181600000000,-181500000000,1
-178300000000,-178200000000,2
-165900000000,-165800000000,1
-106400000000,-106300000000,1
-91000000000,-90900000000,1
-81000000000,-80900000000,1
-79600000000,-79500000000,1
-76700000000,-76600000000,1
-70800000000,-70700000000,1
-70500000000,-70400000000,1
-58900000000,-58800000000,1
-57200000000,-57100000000,1
-54300000000,-54200000000,1
-48600000000,-48500000000,1
-44900000000,-44800000000,1
-41100000000,-41000000000,1
-36100000000,-36000000000,1
-31400000000,-31300000000,1
-28700000000,-28600000000,1
-27500000000,-27400000000,1
-26600000000,-26500000000,1
-19300000000,-19200000000,1
-19000000000,-18900000000,1
-17400000000,-17300000000,1
-12200000000,-12100000000,1
-10600000000,-10500000000,1
-10200000000,-10100000000,1
-9800000000,-9700000000,1
-9300000000,-9200000000,1
-9000000000,-8900000000,1
-7100000000,-7000000000,1
-6700000000,-6600000000,1
-6500000000,-6400000000,1
-5900000000,-5800000000,1
-5000000000,-4900000000,1
-3900000000,-3800000000,1
-3800000000,-3700000000,1
-3000000000,-2900000000,1
-2800000000,-2700000000,2
-2600000000,-2500000000,1
-2500000000,-2400000000,1
-2400000000,-2300000000,2
-1600000000,-1500000000,2
-1300000000,-1200000000,3
-1200000000,-1100000000,1
-300000000,-200000000,2
-100000000,0,1
0,100000000,1
300000000,400000000,1
400000000,500000000,1
600000000,700000000,2
700000000,800000000,1
900000000,1000000000,2
1100000000,1200000000,1
1200000000,1300000000,1
1300000000,1400000000,1
1500000000,1600000000,2
1700000000,1800000000,1
1800000000,1900000000,1
2000000000,2100000000,2
2200000000,2300000000,1
2400000000,2500000000,1
2500000000,2600000000,2
2600000000,2700000000,1
2700000000,2800000000,1
2800000000,2900000000,2
3000000000,3100000000,1
3200000000,3300000000,3
3300000000,3400000000,2
3500000000,3600000000,1
3600000000,3700000000,3
3700000000,3800000000,1
3800000000,3900000000,1
3900000000,4000000000,2
4100000000,4200000000,2
4300000000,4400000000,1
4400000000,4500000000,1
4500000000,4600000000,1
4700000000,4800000000,1
4800000000,4900000000,1
4900000000,5000000000,2
5000000000,5100000000,3
5100000000,5200000000,2
5300000000,5400000000,1
5400000000,5500000000,2
5500000000,5600000000,1
5600000000,5700000000,1
5700000000,5800000000,3
5800000000,5900000000,2
5900000000,6000000000,1
6000000000,6100000000,3
6100000000,6200000000,2
6200000000,6300000000,1
6300000000,6400000000,1
6500000000,6600000000,1
6600000000,6700000000,4
6800000000,6900000000,2
6900000000,7000000000,3
7000000000,7100000000,1
7100000000,7200000000,3
7200000000,7300000000,1
7300000000,7400000000,1
7400000000,7500000000,2
7500000000,7600000000,4
7600000000,7700000000,2
7700000000,7800000000,1
7800000000,7900000000,2
7900000000,8000000000,2
8000000000,8100000000,1
8100000000,8200000000,1
8200000000,8300000000,2
8400000000,8500000000,2
8500000000,8600000000,1
8600000000,8700000000,3
8700000000,8800000000,1
9100000000,9200000000,3
9200000000,9300000000,3
9500000000,9600000000,1
9600000000,9700000000,1
9800000000,9900000000,1
9900000000,10000000000,2
10000000000,10100000000,1
