bin_start,bin_end,frequency
-2470000000000,-2460000000000,1
-1770000000000,-1760000000000,1
-1690000000000,-1680000000000,1
-1470000000000,-1460000000000,1
-1440000000000,-1430000000000,1
-1150000000000,-1140000000000,1
-1100000000000,-1090000000000,1
-1090000000000,-1080000000000,3
-1080000000000,-1070000000000,1
-1030000000000,-1020000000000,1
-1020000000000,-1010000000000,1
-1010000000000,-1000000000000,1
-980000000000,-970000000000,1
-850000000000,-840000000000,1
-810000000000,-800000000000,1
-770000000000,-760000000000,1
-730000000000,-720000000000,2
-710000000000,-700000000000,1
-700000000000,-690000000000,2
-680000000000,-670000000000,1
-670000000000,-660000000000,2
-640000000000,-630000000000,2
-630000000000,-620000000000,1
-620000000000,-610000000000,3
-610000000000,-600000000000,3
-600000000000,-590000000000,1
-590000000000,-580000000000,2
-570000000000,-560000000000,1
-550000000000,-540000000000,1
-530000000000,-520000000000,1
-520000000000,-510000000000,1
-510000000000,-500000000000,2
-500000000000,-490000000000,3
-490000000000,-480000000000,3
-480000000000,-470000000000,1
-470000000000,-460000000000,1
-430000000000,-420000000000,2
-420000000000,-410000000000,2
-410000000000,-400000000000,2
-390000000000,-380000000000,2
-380000000000,-370000000000,2
-370000000000,-360000000000,1
-360000000000,-350000000000,6
-340000000000,-330000000000,6
-330000000000,-320000000000,2
-320000000000,-310000000000,2
-310000000000,-300000000000,4
-300000000000,-290000000000,2
-290000000000,-280000000000,4
-280000000000,-270000000000,1
-270000000000,-260000000000,1
-260000000000,-250000000000,6
-250000000000,-240000000000,3
-240000000000,-230000000000,7
-230000000000,-220000000000,4
-220000000000,-210000000000,7
-210000000000,-200000000000,4
-200000000000,-190000000000,9
-190000000000,-180000000000,9
-180000000000,-170000000000,5
-170000000000,-160000000000,5
-160000000000,-150000000000,7
-150000000000,-140000000000,11
-140000000000,-130000000000,9
-130000000000,-120000000000,20
-120000000000,-110000000000,16
-110000000000,-100000000000,16
-100000000000,-90000000000,19
-90000000000,-80000000000,31
-80000000000,-70000000000,26
-70000000000,-60000000000,34
-60000000000,-50000000000,48
-50000000000,-40000000000,64
-40000000000,-30000000000,88
-30000000000,-20000000000,179
-20000000000,-10000000000,412
-10000000000,0,2308
0,10000000000,688
10000000000,20000000000,140
20000000000,30000000000,57
30000000000,40000000000,40
40000000000,50000000000,24
50000000000,60000000000,22
60000000000,70000000000,13
70000000000,80000000000,12
80000000000,90000000000,17
90000000000,100000000000,14
100000000000,110000000000,13
110000000000,120000000000,12
120000000000,130000000000,2
130000000000,140000000000,3
140000000000,150000000000,1
150000000000,160000000000,1
160000000000,170000000000,3
170000000000,180000000000,1
180000000000,190000000000,3
190000000000,200000000000,1
200000000000,210000000000,1
210000000000,220000000000,2
220000000000,230000000000,4
230000000000,240000000000,1
240000000000,250000000000,4
260000000000,270000000000,7
280000000000,290000000000,2
290000000000,300000000000,1
300000000000,310000000000,2
310000000000,320000000000,2
320000000000,330000000000,2
350000000000,360000000000,2
370000000000,380000000000,1
380000000000,390000000000,2
400000000000,410000000000,1
430000000000,440000000000,2
440000000000,450000000000,1
460000000000,470000000000,1
540000000000,550000000000,1
550000000000,560000000000,1
560000000000,570000000000,1
590000000000,600000000000,1
600000000000,610000000000,1
610000000000,620000000000,1
810000000000,820000000000,1
910000000000,920000000000,1
980000000000,990000000000,1
1010000000000,1020000000000,1
1090000000000,1100000000000,1
1110000000000,1120000000000,1
1280000000000,1290000000000,1
2190000000000,2200000000000,1
2490000000000,2500000000000,1
2730000000000,2740000000000,1
