bin_start,bin_end,frequency
-10310000000000,-10300000000000,1
-8480000000000,-8470000000000,1
-6200000000000,-6190000000000,1
-5230000000000,-5220000000000,1
-4550000000000,-4540000000000,1
-3380000000000,-3370000000000,1
-3150000000000,-3140000000000,1
-3020000000000,-3010000000000,1
-2840000000000,-2830000000000,1
-2790000000000,-2780000000000,1
-2680000000000,-2670000000000,1
-2240000000000,-2230000000000,1
-1650000000000,-1640000000000,1
-1480000000000,-1470000000000,1
-1420000000000,-1410000000000,1
-1380000000000,-1370000000000,1
-1370000000000,-1360000000000,1
-1250000000000,-1240000000000,1
-1050000000000,-1040000000000,1
-1040000000000,-1030000000000,1
-980000000000,-970000000000,1
-960000000000,-950000000000,1
-870000000000,-860000000000,1
-850000000000,-840000000000,1
-770000000000,-760000000000,1
-760000000000,-750000000000,2
-690000000000,-680000000000,1
-680000000000,-670000000000,1
-670000000000,-660000000000,1
-650000000000,-640000000000,1
-620000000000,-610000000000,1
-590000000000,-580000000000,2
-560000000000,-550000000000,1
-530000000000,-520000000000,1
-520000000000,-510000000000,2
-490000000000,-480000000000,1
-480000000000,-470000000000,2
-440000000000,-430000000000,2
-430000000000,-420000000000,2
-420000000000,-410000000000,2
-410000000000,-400000000000,3
-400000000000,-390000000000,1
-390000000000,-380000000000,1
-380000000000,-370000000000,2
-370000000000,-360000000000,1
-350000000000,-340000000000,3
-330000000000,-320000000000,2
-300000000000,-290000000000,6
-290000000000,-280000000000,3
-270000000000,-260000000000,3
-260000000000,-250000000000,3
-250000000000,-240000000000,1
-240000000000,-230000000000,1
-230000000000,-220000000000,2
-220000000000,-210000000000,3
-210000000000,-200000000000,3
-200000000000,-190000000000,5
-190000000000,-180000000000,3
-180000000000,-170000000000,2
-170000000000,-160000000000,6
-160000000000,-150000000000,4
-150000000000,-140000000000,6
-140000000000,-130000000000,3
-130000000000,-120000000000,3
-120000000000,-110000000000,10
-110000000000,-100000000000,11
-100000000000,-90000000000,9
-90000000000,-80000000000,16
-80000000000,-70000000000,10
-70000000000,-60000000000,11
-60000000000,-50000000000,15
-50000000000,-40000000000,25
-40000000000,-30000000000,45
-30000000000,-20000000000,58
-20000000000,-10000000000,136
-10000000000,0,727
0,10000000000,1893
10000000000,20000000000,475
20000000000,30000000000,194
30000000000,40000000000,132
40000000000,50000000000,91
50000000000,60000000000,65
60000000000,70000000000,42
70000000000,80000000000,37
80000000000,90000000000,33
90000000000,100000000000,28
100000000000,110000000000,19
110000000000,120000000000,18
120000000000,130000000000,14
130000000000,140000000000,13
140000000000,150000000000,10
150000000000,160000000000,10
160000000000,170000000000,7
170000000000,180000000000,11
180000000000,190000000000,10
190000000000,200000000000,7
200000000000,210000000000,5
210000000000,220000000000,10
220000000000,230000000000,10
230000000000,240000000000,8
240000000000,250000000000,4
250000000000,260000000000,9
260000000000,270000000000,7
270000000000,280000000000,7
280000000000,290000000000,6
290000000000,300000000000,10
300000000000,310000000000,8
310000000000,320000000000,5
330000000000,340000000000,4
340000000000,350000000000,5
350000000000,360000000000,3
360000000000,370000000000,6
370000000000,380000000000,4
380000000000,390000000000,3
400000000000,410000000000,3
410000000000,420000000000,4
420000000000,430000000000,2
430000000000,440000000000,2
440000000000,450000000000,5
450000000000,460000000000,4
460000000000,470000000000,5
470000000000,480000000000,2
480000000000,490000000000,3
490000000000,500000000000,1
500000000000,510000000000,4
510000000000,520000000000,2
520000000000,530000000000,1
530000000000,540000000000,1
540000000000,550000000000,5
550000000000,560000000000,1
570000000000,580000000000,2
580000000000,590000000000,4
590000000000,600000000000,1
600000000000,610000000000,2
620000000000,630000000000,3
630000000000,640000000000,1
640000000000,650000000000,2
660000000000,670000000000,2
670000000000,680000000000,1
680000000000,690000000000,3
690000000000,700000000000,1
710000000000,720000000000,1
720000000000,730000000000,1
730000000000,740000000000,1
740000000000,750000000000,2
760000000000,770000000000,1
770000000000,780000000000,2
780000000000,790000000000,1
790000000000,800000000000,4
810000000000,820000000000,1
820000000000,830000000000,1
840000000000,850000000000,1
850000000000,860000000000,4
870000000000,880000000000,1
890000000000,900000000000,1
900000000000,910000000000,1
920000000000,930000000000,1
930000000000,940000000000,1
950000000000,960000000000,2
980000000000,990000000000,2
1010000000000,1020000000000,1
1050000000000,1060000000000,2
1070000000000,1080000000000,1
1110000000000,1120000000000,1
1120000000000,1130000000000,1
1140000000000,1150000000000,1
1150000000000,1160000000000,2
1160000000000,1170000000000,1
1210000000000,1220000000000,1
1220000000000,1230000000000,1
1230000000000,1240000000000,3
1250000000000,1260000000000,2
1300000000000,1310000000000,1
1310000000000,1320000000000,1
1320000000000,1330000000000,1
1360000000000,1370000000000,1
1430000000000,1440000000000,1
1450000000000,1460000000000,2
1460000000000,1470000000000,1
1470000000000,1480000000000,1
1490000000000,1500000000000,2
1530000000000,1540000000000,1
1620000000000,1630000000000,1
1730000000000,1740000000000,1
1810000000000,1820000000000,1
1890000000000,1900000000000,1
1970000000000,1980000000000,1
2020000000000,2030000000000,1
2150000000000,2160000000000,1
2550000000000,2560000000000,1
2600000000000,2610000000000,1
3860000000000,3870000000000,1
4210000000000,4220000000000,1
4650000000000,4660000000000,1
4770000000000,4780000000000,1
4780000000000,4790000000000,1
6490000000000,6500000000000,1
6730000000000,6740000000000,1
7610000000000,7620000000000,1
8680000000000,8690000000000,1
9390000000000,9400000000000,1
9450000000000,9460000000000,1
11370000000000,11380000000000,1
13030000000000,13040000000000,1
