bin_start,bin_end,frequency
0,1000000000,905
1000000000,2000000000,271
2000000000,3000000000,152
3000000000,4000000000,58
4000000000,5000000000,52
5000000000,6000000000,42
6000000000,7000000000,47
7000000000,8000000000,24
8000000000,9000000000,22
9000000000,10000000000,24
10000000000,11000000000,23
11000000000,12000000000,31
12000000000,13000000000,16
13000000000,14000000000,14
14000000000,15000000000,15
15000000000,16000000000,19
16000000000,17000000000,11
17000000000,18000000000,9
18000000000,19000000000,8
19000000000,20000000000,14
20000000000,21000000000,7
21000000000,22000000000,10
22000000000,23000000000,5
23000000000,24000000000,6
24000000000,25000000000,6
25000000000,26000000000,2
27000000000,28000000000,10
29000000000,30000000000,9
30000000000,31000000000,5
31000000000,32000000000,3
32000000000,33000000000,5
33000000000,34000000000,3
34000000000,35000000000,5
35000000000,36000000000,3
36000000000,37000000000,4
37000000000,38000000000,1
38000000000,39000000000,2
39000000000,40000000000,6
40000000000,41000000000,1
41000000000,42000000000,4
42000000000,43000000000,3
43000000000,44000000000,2
44000000000,45000000000,1
45000000000,46000000000,4
46000000000,47000000000,3
47000000000,48000000000,2
49000000000,50000000000,4
50000000000,51000000000,2
51000000000,52000000000,2
52000000000,53000000000,4
53000000000,54000000000,2
55000000000,56000000000,5
56000000000,57000000000,1
57000000000,58000000000,2
58000000000,59000000000,4
59000000000,60000000000,6
60000000000,61000000000,3
61000000000,62000000000,1
62000000000,63000000000,2
63000000000,64000000000,2
65000000000,66000000000,4
66000000000,67000000000,3
67000000000,68000000000,3
70000000000,71000000000,2
71000000000,72000000000,4
72000000000,73000000000,2
74000000000,75000000000,2
77000000000,78000000000,1
79000000000,80000000000,1
80000000000,81000000000,3
82000000000,83000000000,2
83000000000,84000000000,1
84000000000,85000000000,2
85000000000,86000000000,2
88000000000,89000000000,1
90000000000,91000000000,1
91000000000,92000000000,1
92000000000,93000000000,1
93000000000,94000000000,1
94000000000,95000000000,1
95000000000,96000000000,4
96000000000,97000000000,1
98000000000,99000000000,1
99000000000,100000000000,2
102000000000,103000000000,1
104000000000,105000000000,1
105000000000,106000000000,1
108000000000,109000000000,1
113000000000,114000000000,1
114000000000,115000000000,1
115000000000,116000000000,1
116000000000,117000000000,1
117000000000,118000000000,1
119000000000,120000000000,1
122000000000,123000000000,1
123000000000,124000000000,1
124000000000,125000000000,2
125000000000,126000000000,1
127000000000,128000000000,1
128000000000,129000000000,1
131000000000,132000000000,2
132000000000,133000000000,1
137000000000,138000000000,2
140000000000,141000000000,1
141000000000,142000000000,1
143000000000,144000000000,1
146000000000,147000000000,1
149000000000,150000000000,2
151000000000,152000000000,1
159000000000,160000000000,3
163000000000,164000000000,1
164000000000,165000000000,1
168000000000,169000000000,1
170000000000,171000000000,2
171000000000,172000000000,1
172000000000,173000000000,1
176000000000,177000000000,1
180000000000,181000000000,1
181000000000,182000000000,2
187000000000,188000000000,1
191000000000,192000000000,1
195000000000,196000000000,1
197000000000,198000000000,2
199000000000,200000000000,3
205000000000,206000000000,1
207000000000,208000000000,1
208000000000,209000000000,2
209000000000,210000000000,1
210000000000,211000000000,1
214000000000,215000000000,2
220000000000,221000000000,1
236000000000,237000000000,1
244000000000,245000000000,1
248000000000,249000000000,1
251000000000,252000000000,1
252000000000,253000000000,1
256000000000,257000000000,3
262000000000,263000000000,1
263000000000,264000000000,1
266000000000,267000000000,1
268000000000,269000000000,2
270000000000,271000000000,1
271000000000,272000000000,2
277000000000,278000000000,1
282000000000,283000000000,1
284000000000,285000000000,1
300000000000,301000000000,1
303000000000,304000000000,1
304000000000,305000000000,1
306000000000,307000000000,1
319000000000,320000000000,1
320000000000,321000000000,1
328000000000,329000000000,1
335000000000,336000000000,1
339000000000,340000000000,1
348000000000,349000000000,1
351000000000,352000000000,1
355000000000,356000000000,1
360000000000,361000000000,1
361000000000,362000000000,1
362000000000,363000000000,1
366000000000,367000000000,1
368000000000,369000000000,1
372000000000,373000000000,1
392000000000,393000000000,1
396000000000,397000000000,2
399000000000,400000000000,1
405000000000,406000000000,1
415000000000,416000000000,1
418000000000,419000000000,1
428000000000,429000000000,1
431000000000,432000000000,1
436000000000,437000000000,1
453000000000,454000000000,1
455000000000,456000000000,1
462000000000,463000000000,1
485000000000,486000000000,2
493000000000,494000000000,1
510000000000,511000000000,1
513000000000,514000000000,1
540000000000,541000000000,2
541000000000,542000000000,1
568000000000,569000000000,1
575000000000,576000000000,1
671000000000,672000000000,1
705000000000,706000000000,1
726000000000,727000000000,1
727000000000,728000000000,1
832000000000,833000000000,1
952000000000,953000000000,1
1056000000000,1057000000000,1
1133000000000,1134000000000,1
1161000000000,1162000000000,1
1213000000000,1214000000000,1
1254000000000,1255000000000,2
1275000000000,1276000000000,1
1283000000000,1284000000000,1
1321000000000,1322000000000,1
1424000000000,1425000000000,2
1487000000000,1488000000000,1
1698000000000,1699000000000,1
1788000000000,1789000000000,1
1790000000000,1791000000000,1
1994000000000,1995000000000,2
2049000000000,2050000000000,2
2067000000000,2068000000000,1
2074000000000,2075000000000,1
2153000000000,2154000000000,1
2165000000000,2166000000000,1
2371000000000,2372000000000,1
4033000000000,4034000000000,1
4407000000000,4408000000000,1
4684000000000,4685000000000,1
4790000000000,4791000000000,1
4897000000000,4898000000000,1
5199000000000,5200000000000,1
5410000000000,5411000000000,1
5709000000000,5710000000000,1
