bin_start,bin_end,frequency
-280000000000,-270000000000,1
-230000000000,-220000000000,1
-190000000000,-180000000000,1
-80000000000,-70000000000,3
-70000000000,-60000000000,3
-60000000000,-50000000000,2
-50000000000,-40000000000,1
-30000000000,-20000000000,4
-20000000000,-10000000000,5
-10000000000,0,8
0,10000000000,690
10000000000,20000000000,856
20000000000,30000000000,552
30000000000,40000000000,313
40000000000,50000000000,172
50000000000,60000000000,161
60000000000,70000000000,142
70000000000,80000000000,112
80000000000,90000000000,106
90000000000,100000000000,92
100000000000,110000000000,66
110000000000,120000000000,61
120000000000,130000000000,49
130000000000,140000000000,43
140000000000,150000000000,37
150000000000,160000000000,49
160000000000,170000000000,38
170000000000,180000000000,38
180000000000,190000000000,27
190000000000,200000000000,28
200000000000,210000000000,26
210000000000,220000000000,27
220000000000,230000000000,21
230000000000,240000000000,16
240000000000,250000000000,16
250000000000,260000000000,15
260000000000,270000000000,9
270000000000,280000000000,11
280000000000,290000000000,13
290000000000,300000000000,13
300000000000,310000000000,10
310000000000,320000000000,16
320000000000,330000000000,13
330000000000,340000000000,13
340000000000,350000000000,8
350000000000,360000000000,8
360000000000,370000000000,10
370000000000,380000000000,13
380000000000,390000000000,6
390000000000,400000000000,8
400000000000,410000000000,7
410000000000,420000000000,7
420000000000,430000000000,5
430000000000,440000000000,5
440000000000,450000000000,6
450000000000,460000000000,7
460000000000,470000000000,4
470000000000,480000000000,4
480000000000,490000000000,3
490000000000,500000000000,5
500000000000,510000000000,3
510000000000,520000000000,4
520000000000,530000000000,4
530000000000,540000000000,1
540000000000,550000000000,1
550000000000,560000000000,5
560000000000,570000000000,7
570000000000,580000000000,3
580000000000,590000000000,6
590000000000,600000000000,3
600000000000,610000000000,5
610000000000,620000000000,1
620000000000,630000000000,5
630000000000,640000000000,2
650000000000,660000000000,3
660000000000,670000000000,2
670000000000,680000000000,4
680000000000,690000000000,4
690000000000,700000000000,2
710000000000,720000000000,1
720000000000,730000000000,2
730000000000,740000000000,1
740000000000,750000000000,1
750000000000,760000000000,3
760000000000,770000000000,4
770000000000,780000000000,4
790000000000,800000000000,2
800000000000,810000000000,3
810000000000,820000000000,3
820000000000,830000000000,3
830000000000,840000000000,1
840000000000,850000000000,1
850000000000,860000000000,1
860000000000,870000000000,6
870000000000,880000000000,1
880000000000,890000000000,3
890000000000,900000000000,1
900000000000,910000000000,1
910000000000,920000000000,4
920000000000,930000000000,2
930000000000,940000000000,1
940000000000,950000000000,1
950000000000,960000000000,3
960000000000,970000000000,2
970000000000,980000000000,1
980000000000,990000000000,1
990000000000,1000000000000,2
1000000000000,1010000000000,3
1030000000000,1040000000000,3
1040000000000,1050000000000,1
1050000000000,1060000000000,4
1060000000000,1070000000000,1
1070000000000,1080000000000,1
1080000000000,1090000000000,3
1110000000000,1120000000000,2
1130000000000,1140000000000,1
1140000000000,1150000000000,5
1160000000000,1170000000000,2
1170000000000,1180000000000,1
1180000000000,1190000000000,2
1190000000000,1200000000000,1
1210000000000,1220000000000,3
1220000000000,1230000000000,1
1230000000000,1240000000000,3
1260000000000,1270000000000,1
1290000000000,1300000000000,2
1310000000000,1320000000000,2
1330000000000,1340000000000,1
1340000000000,1350000000000,2
1350000000000,1360000000000,1
1380000000000,1390000000000,1
1390000000000,1400000000000,1
1400000000000,1410000000000,1
1410000000000,1420000000000,1
1500000000000,1510000000000,1
1540000000000,1550000000000,1
1580000000000,1590000000000,1
1600000000000,1610000000000,1
1650000000000,1660000000000,1
1710000000000,1720000000000,1
1780000000000,1790000000000,1
1930000000000,1940000000000,1
1960000000000,1970000000000,1
1970000000000,1980000000000,1
1990000000000,2000000000000,1
2060000000000,2070000000000,1
2080000000000,2090000000000,1
2120000000000,2130000000000,1
2150000000000,2160000000000,1
2190000000000,2200000000000,1
2200000000000,2210000000000,1
2230000000000,2240000000000,1
2260000000000,2270000000000,1
2350000000000,2360000000000,1
2380000000000,2390000000000,1
2410000000000,2420000000000,1
2430000000000,2440000000000,2
2460000000000,2470000000000,2
2490000000000,2500000000000,1
2500000000000,2510000000000,2
2550000000000,2560000000000,2
2580000000000,2590000000000,1
2680000000000,2690000000000,1
2700000000000,2710000000000,1
2710000000000,2720000000000,2
2730000000000,2740000000000,1
2780000000000,2790000000000,1
2800000000000,2810000000000,2
2830000000000,2840000000000,1
2870000000000,2880000000000,1
2930000000000,2940000000000,2
2980000000000,2990000000000,1
3230000000000,3240000000000,1
3260000000000,3270000000000,1
3320000000000,3330000000000,2
3330000000000,3340000000000,1
3540000000000,3550000000000,1
4410000000000,4420000000000,1
4830000000000,4840000000000,1
5970000000000,5980000000000,1
6310000000000,6320000000000,1
9360000000000,9370000000000,1
9480000000000,9490000000000,1
9590000000000,9600000000000,1
10360000000000,10370000000000,1
10430000000000,10440000000000,1
