bin_start,bin_end,frequency
0,10000000000,1516
10000000000,20000000000,636
20000000000,30000000000,356
30000000000,40000000000,280
40000000000,50000000000,192
50000000000,60000000000,146
60000000000,70000000000,98
70000000000,80000000000,77
80000000000,90000000000,68
90000000000,100000000000,64
100000000000,110000000000,35
110000000000,120000000000,33
120000000000,130000000000,36
130000000000,140000000000,31
140000000000,150000000000,26
150000000000,160000000000,37
160000000000,170000000000,24
170000000000,180000000000,23
180000000000,190000000000,20
190000000000,200000000000,19
200000000000,210000000000,10
210000000000,220000000000,11
220000000000,230000000000,11
230000000000,240000000000,13
240000000000,250000000000,16
250000000000,260000000000,11
260000000000,270000000000,8
270000000000,280000000000,5
280000000000,290000000000,10
290000000000,300000000000,8
300000000000,310000000000,5
310000000000,320000000000,4
320000000000,330000000000,2
330000000000,340000000000,2
340000000000,350000000000,4
350000000000,360000000000,4
360000000000,370000000000,8
370000000000,380000000000,5
380000000000,390000000000,2
390000000000,400000000000,5
400000000000,410000000000,3
410000000000,420000000000,6
420000000000,430000000000,4
430000000000,440000000000,4
440000000000,450000000000,2
450000000000,460000000000,8
460000000000,470000000000,3
470000000000,480000000000,5
480000000000,490000000000,3
490000000000,500000000000,2
500000000000,510000000000,1
510000000000,520000000000,7
520000000000,530000000000,3
530000000000,540000000000,4
540000000000,550000000000,3
550000000000,560000000000,3
560000000000,570000000000,3
570000000000,580000000000,3
580000000000,590000000000,1
590000000000,600000000000,2
600000000000,610000000000,1
610000000000,620000000000,6
630000000000,640000000000,2
640000000000,650000000000,1
650000000000,660000000000,3
670000000000,680000000000,4
680000000000,690000000000,2
690000000000,700000000000,3
700000000000,710000000000,2
710000000000,720000000000,4
720000000000,730000000000,2
740000000000,750000000000,3
750000000000,760000000000,3
760000000000,770000000000,1
780000000000,790000000000,1
790000000000,800000000000,7
810000000000,820000000000,1
830000000000,840000000000,1
840000000000,850000000000,2
850000000000,860000000000,2
870000000000,880000000000,4
880000000000,890000000000,1
890000000000,900000000000,2
910000000000,920000000000,1
940000000000,950000000000,2
950000000000,960000000000,1
960000000000,970000000000,1
970000000000,980000000000,1
980000000000,990000000000,3
990000000000,1000000000000,2
1010000000000,1020000000000,1
1030000000000,1040000000000,1
1040000000000,1050000000000,1
1050000000000,1060000000000,1
1060000000000,1070000000000,1
1070000000000,1080000000000,1
1110000000000,1120000000000,1
1130000000000,1140000000000,2
1150000000000,1160000000000,1
1160000000000,1170000000000,1
1170000000000,1180000000000,3
1200000000000,1210000000000,4
1220000000000,1230000000000,3
1250000000000,1260000000000,1
1280000000000,1290000000000,1
1290000000000,1300000000000,1
1300000000000,1310000000000,2
1340000000000,1350000000000,2
1360000000000,1370000000000,2
1370000000000,1380000000000,1
1380000000000,1390000000000,1
1390000000000,1400000000000,1
1420000000000,1430000000000,2
1430000000000,1440000000000,1
1460000000000,1470000000000,1
1480000000000,1490000000000,1
1510000000000,1520000000000,2
1540000000000,1550000000000,1
1560000000000,1570000000000,1
1640000000000,1650000000000,1
1650000000000,1660000000000,1
1700000000000,1710000000000,1
1750000000000,1760000000000,1
1830000000000,1840000000000,1
1840000000000,1850000000000,1
1870000000000,1880000000000,1
1880000000000,1890000000000,1
1910000000000,1920000000000,1
1920000000000,1930000000000,1
1990000000000,2000000000000,1
2030000000000,2040000000000,1
2040000000000,2050000000000,1
2050000000000,2060000000000,1
2080000000000,2090000000000,1
2090000000000,2100000000000,1
2150000000000,2160000000000,2
2160000000000,2170000000000,1
2270000000000,2280000000000,1
2280000000000,2290000000000,1
2350000000000,2360000000000,1
2440000000000,2450000000000,1
2880000000000,2890000000000,1
3820000000000,3830000000000,1
4250000000000,4260000000000,1
4600000000000,4610000000000,1
