bin_start,bin_end,frequency
-10680000000000,-10670000000000,1
-10280000000000,-10270000000000,1
-7720000000000,-7710000000000,1
-5000000000000,-4990000000000,1
-4690000000000,-4680000000000,1
-3020000000000,-3010000000000,1
-2590000000000,-2580000000000,1
-2410000000000,-2400000000000,1
-2210000000000,-2200000000000,1
-1990000000000,-1980000000000,1
-1870000000000,-1860000000000,1
-1740000000000,-1730000000000,1
-1700000000000,-1690000000000,1
-1600000000000,-1590000000000,1
-1590000000000,-1580000000000,1
-1470000000000,-1460000000000,1
-1430000000000,-1420000000000,1
-1400000000000,-1390000000000,1
-1380000000000,-1370000000000,1
-1210000000000,-1200000000000,1
-1100000000000,-1090000000000,2
-1080000000000,-1070000000000,1
-1060000000000,-1050000000000,1
-1050000000000,-1040000000000,1
-960000000000,-950000000000,2
-930000000000,-920000000000,3
-920000000000,-910000000000,1
-890000000000,-880000000000,1
-880000000000,-870000000000,1
-870000000000,-860000000000,1
-850000000000,-840000000000,2
-840000000000,-830000000000,1
-820000000000,-810000000000,2
-810000000000,-800000000000,1
-800000000000,-790000000000,3
-770000000000,-760000000000,1
-750000000000,-740000000000,1
-740000000000,-730000000000,2
-730000000000,-720000000000,1
-720000000000,-710000000000,2
-710000000000,-700000000000,2
-700000000000,-690000000000,2
-680000000000,-670000000000,1
-670000000000,-660000000000,2
-660000000000,-650000000000,1
-640000000000,-630000000000,1
-630000000000,-620000000000,2
-610000000000,-600000000000,2
-600000000000,-590000000000,2
-580000000000,-570000000000,3
-570000000000,-560000000000,2
-560000000000,-550000000000,1
-540000000000,-530000000000,1
-530000000000,-520000000000,2
-520000000000,-510000000000,2
-510000000000,-500000000000,1
-500000000000,-490000000000,4
-490000000000,-480000000000,3
-480000000000,-470000000000,1
-470000000000,-460000000000,2
-460000000000,-450000000000,3
-450000000000,-440000000000,2
-440000000000,-430000000000,3
-430000000000,-420000000000,6
-420000000000,-410000000000,1
-410000000000,-400000000000,1
-400000000000,-390000000000,3
-390000000000,-380000000000,5
-380000000000,-370000000000,4
-370000000000,-360000000000,5
-360000000000,-350000000000,4
-350000000000,-340000000000,4
-340000000000,-330000000000,6
-330000000000,-320000000000,8
-320000000000,-310000000000,4
-310000000000,-300000000000,6
-300000000000,-290000000000,5
-290000000000,-280000000000,7
-280000000000,-270000000000,7
-270000000000,-260000000000,5
-260000000000,-250000000000,6
-250000000000,-240000000000,7
-240000000000,-230000000000,5
-230000000000,-220000000000,8
-220000000000,-210000000000,15
-210000000000,-200000000000,14
-200000000000,-190000000000,9
-190000000000,-180000000000,10
-180000000000,-170000000000,18
-170000000000,-160000000000,15
-160000000000,-150000000000,21
-150000000000,-140000000000,15
-140000000000,-130000000000,22
-130000000000,-120000000000,18
-120000000000,-110000000000,26
-110000000000,-100000000000,22
-100000000000,-90000000000,34
-90000000000,-80000000000,36
-80000000000,-70000000000,41
-70000000000,-60000000000,47
-60000000000,-50000000000,87
-50000000000,-40000000000,107
-40000000000,-30000000000,125
-30000000000,-20000000000,239
-20000000000,-10000000000,476
-10000000000,0,2439
0,10000000000,342
10000000000,20000000000,31
20000000000,30000000000,29
30000000000,40000000000,14
40000000000,50000000000,12
50000000000,60000000000,6
60000000000,70000000000,6
70000000000,80000000000,8
80000000000,90000000000,7
90000000000,100000000000,7
100000000000,110000000000,2
110000000000,120000000000,3
130000000000,140000000000,3
140000000000,150000000000,3
150000000000,160000000000,2
160000000000,170000000000,4
170000000000,180000000000,1
210000000000,220000000000,4
220000000000,230000000000,1
230000000000,240000000000,2
240000000000,250000000000,1
250000000000,260000000000,2
280000000000,290000000000,2
290000000000,300000000000,1
300000000000,310000000000,1
310000000000,320000000000,2
350000000000,360000000000,1
360000000000,370000000000,1
390000000000,400000000000,1
410000000000,420000000000,1
460000000000,470000000000,1
480000000000,490000000000,1
490000000000,500000000000,1
540000000000,550000000000,1
550000000000,560000000000,1
660000000000,670000000000,1
920000000000,930000000000,1
960000000000,970000000000,2
1410000000000,1420000000000,1
1830000000000,1840000000000,1
1980000000000,1990000000000,1
2010000000000,2020000000000,1
2550000000000,2560000000000,1
2720000000000,2730000000000,1
3110000000000,3120000000000,1
3210000000000,3220000000000,1
3980000000000,3990000000000,1
5930000000000,5940000000000,1
6330000000000,6340000000000,1
6600000000000,6610000000000,1
9350000000000,9360000000000,1
