bin_start,bin_end,frequency
0,10000000000,1440
10000000000,20000000000,451
20000000000,30000000000,247
30000000000,40000000000,166
40000000000,50000000000,132
50000000000,60000000000,101
60000000000,70000000000,80
70000000000,80000000000,43
80000000000,90000000000,37
90000000000,100000000000,29
100000000000,110000000000,25
110000000000,120000000000,31
120000000000,130000000000,24
130000000000,140000000000,24
140000000000,150000000000,14
150000000000,160000000000,13
160000000000,170000000000,10
170000000000,180000000000,11
180000000000,190000000000,12
190000000000,200000000000,10
200000000000,210000000000,17
210000000000,220000000000,10
220000000000,230000000000,16
230000000000,240000000000,13
240000000000,250000000000,9
250000000000,260000000000,19
260000000000,270000000000,15
270000000000,280000000000,10
280000000000,290000000000,10
290000000000,300000000000,17
300000000000,310000000000,8
310000000000,320000000000,7
320000000000,330000000000,8
330000000000,340000000000,8
340000000000,350000000000,6
350000000000,360000000000,6
360000000000,370000000000,9
370000000000,380000000000,7
380000000000,390000000000,3
390000000000,400000000000,8
400000000000,410000000000,7
410000000000,420000000000,5
420000000000,430000000000,4
430000000000,440000000000,4
440000000000,450000000000,3
450000000000,460000000000,2
460000000000,470000000000,1
470000000000,480000000000,4
480000000000,490000000000,5
500000000000,510000000000,3
510000000000,520000000000,2
520000000000,530000000000,1
530000000000,540000000000,4
540000000000,550000000000,4
560000000000,570000000000,2
570000000000,580000000000,3
580000000000,590000000000,1
590000000000,600000000000,2
600000000000,610000000000,2
610000000000,620000000000,4
620000000000,630000000000,3
640000000000,650000000000,4
650000000000,660000000000,5
660000000000,670000000000,3
670000000000,680000000000,1
680000000000,690000000000,5
690000000000,700000000000,2
700000000000,710000000000,1
710000000000,720000000000,5
720000000000,730000000000,5
730000000000,740000000000,2
740000000000,750000000000,2
750000000000,760000000000,2
760000000000,770000000000,3
770000000000,780000000000,3
780000000000,790000000000,4
790000000000,800000000000,2
800000000000,810000000000,5
810000000000,820000000000,3
820000000000,830000000000,3
830000000000,840000000000,1
840000000000,850000000000,3
850000000000,860000000000,1
860000000000,870000000000,4
870000000000,880000000000,3
880000000000,890000000000,1
890000000000,900000000000,1
900000000000,910000000000,2
910000000000,920000000000,4
920000000000,930000000000,2
930000000000,940000000000,2
940000000000,950000000000,2
950000000000,960000000000,3
970000000000,980000000000,3
980000000000,990000000000,1
1000000000000,1010000000000,2
1020000000000,1030000000000,2
1050000000000,1060000000000,2
1060000000000,1070000000000,3
1070000000000,1080000000000,2
1080000000000,1090000000000,4
1090000000000,1100000000000,1
1100000000000,1110000000000,1
1110000000000,1120000000000,2
1140000000000,1150000000000,1
1150000000000,1160000000000,2
1160000000000,1170000000000,2
1170000000000,1180000000000,1
1190000000000,1200000000000,3
1200000000000,1210000000000,1
1220000000000,1230000000000,3
1240000000000,1250000000000,2
1260000000000,1270000000000,1
1270000000000,1280000000000,2
1280000000000,1290000000000,1
1290000000000,1300000000000,1
1310000000000,1320000000000,2
1330000000000,1340000000000,1
1340000000000,1350000000000,1
1360000000000,1370000000000,2
1380000000000,1390000000000,1
1390000000000,1400000000000,2
1410000000000,1420000000000,2
1420000000000,1430000000000,2
1450000000000,1460000000000,1
1470000000000,1480000000000,1
1500000000000,1510000000000,3
1520000000000,1530000000000,1
1540000000000,1550000000000,2
1550000000000,1560000000000,1
1570000000000,1580000000000,1
1590000000000,1600000000000,1
1600000000000,1610000000000,2
1640000000000,1650000000000,1
1660000000000,1670000000000,3
1690000000000,1700000000000,2
1700000000000,1710000000000,1
1740000000000,1750000000000,2
1760000000000,1770000000000,1
1810000000000,1820000000000,1
1840000000000,1850000000000,1
1870000000000,1880000000000,2
1880000000000,1890000000000,1
1900000000000,1910000000000,1
1910000000000,1920000000000,1
1990000000000,2000000000000,1
2040000000000,2050000000000,1
2050000000000,2060000000000,1
2080000000000,2090000000000,1
2110000000000,2120000000000,1
2130000000000,2140000000000,1
2140000000000,2150000000000,1
2190000000000,2200000000000,1
2340000000000,2350000000000,1
2370000000000,2380000000000,2
2380000000000,2390000000000,2
2410000000000,2420000000000,2
2430000000000,2440000000000,3
2440000000000,2450000000000,2
2450000000000,2460000000000,1
2460000000000,2470000000000,1
2470000000000,2480000000000,1
2520000000000,2530000000000,1
2570000000000,2580000000000,1
2610000000000,2620000000000,1
2620000000000,2630000000000,1
2730000000000,2740000000000,1
2770000000000,2780000000000,1
2800000000000,2810000000000,2
2810000000000,2820000000000,1
2940000000000,2950000000000,1
2950000000000,2960000000000,1
2980000000000,2990000000000,1
3000000000000,3010000000000,1
3020000000000,3030000000000,1
3050000000000,3060000000000,1
3070000000000,3080000000000,1
3080000000000,3090000000000,1
3130000000000,3140000000000,2
3160000000000,3170000000000,1
3180000000000,3190000000000,1
3220000000000,3230000000000,1
3240000000000,3250000000000,3
3390000000000,3400000000000,2
3430000000000,3440000000000,1
3440000000000,3450000000000,2
3490000000000,3500000000000,1
3680000000000,3690000000000,1
3690000000000,3700000000000,2
3730000000000,3740000000000,1
3740000000000,3750000000000,1
3790000000000,3800000000000,1
3800000000000,3810000000000,1
3880000000000,3890000000000,1
3890000000000,3900000000000,1
3930000000000,3940000000000,2
3960000000000,3970000000000,3
3990000000000,4000000000000,1
4030000000000,4040000000000,2
4040000000000,4050000000000,1
4070000000000,4080000000000,3
4090000000000,4100000000000,1
4140000000000,4150000000000,1
4170000000000,4180000000000,1
4180000000000,4190000000000,1
4210000000000,4220000000000,1
4220000000000,4230000000000,1
4230000000000,4240000000000,1
4240000000000,4250000000000,1
4260000000000,4270000000000,1
4320000000000,4330000000000,1
4370000000000,4380000000000,1
4380000000000,4390000000000,1
4410000000000,4420000000000,1
4420000000000,4430000000000,1
4450000000000,4460000000000,1
4470000000000,4480000000000,2
4610000000000,4620000000000,1
4710000000000,4720000000000,1
4830000000000,4840000000000,1
4930000000000,4940000000000,1
4980000000000,4990000000000,1
5040000000000,5050000000000,1
5200000000000,5210000000000,1
5270000000000,5280000000000,1
5620000000000,5630000000000,1
5710000000000,5720000000000,1
6050000000000,6060000000000,1
6390000000000,6400000000000,1
7040000000000,7050000000000,1
8360000000000,8370000000000,1
9650000000000,9660000000000,1
10730000000000,10740000000000,1
10770000000000,10780000000000,1
12290000000000,12300000000000,1
12840000000000,12850000000000,1
13130000000000,13140000000000,1
14120000000000,14130000000000,1
14340000000000,14350000000000,1
14570000000000,14580000000000,1
14940000000000,14950000000000,1
16000000000000,16010000000000,1
16680000000000,16690000000000,1
16750000000000,16760000000000,1
17510000000000,17520000000000,1
17840000000000,17850000000000,1
18010000000000,18020000000000,1
20760000000000,20770000000000,1
24460000000000,24470000000000,1
28680000000000,28690000000000,1
29120000000000,29130000000000,1
