bin_start,bin_end,frequency
-1710000000000,-1700000000000,1
-980000000000,-970000000000,1
-580000000000,-570000000000,1
-450000000000,-440000000000,1
-410000000000,-400000000000,1
-320000000000,-310000000000,3
-290000000000,-280000000000,1
-270000000000,-260000000000,1
-240000000000,-230000000000,1
-230000000000,-220000000000,1
-210000000000,-200000000000,1
-180000000000,-170000000000,1
-160000000000,-150000000000,2
-150000000000,-140000000000,2
-140000000000,-130000000000,1
-130000000000,-120000000000,2
-120000000000,-110000000000,2
-110000000000,-100000000000,2
-100000000000,-90000000000,2
-90000000000,-80000000000,2
-80000000000,-70000000000,2
-70000000000,-60000000000,2
-60000000000,-50000000000,5
-50000000000,-40000000000,7
-40000000000,-30000000000,16
-30000000000,-20000000000,22
-20000000000,-10000000000,32
-10000000000,0,204
0,10000000000,2530
10000000000,20000000000,604
20000000000,30000000000,310
30000000000,40000000000,145
40000000000,50000000000,99
50000000000,60000000000,76
60000000000,70000000000,43
70000000000,80000000000,44
80000000000,90000000000,35
90000000000,100000000000,31
100000000000,110000000000,24
110000000000,120000000000,17
120000000000,130000000000,18
130000000000,140000000000,15
140000000000,150000000000,19
150000000000,160000000000,10
160000000000,170000000000,20
170000000000,180000000000,9
180000000000,190000000000,7
190000000000,200000000000,10
200000000000,210000000000,5
210000000000,220000000000,8
220000000000,230000000000,14
230000000000,240000000000,2
240000000000,250000000000,4
250000000000,260000000000,4
260000000000,270000000000,9
270000000000,280000000000,1
280000000000,290000000000,7
290000000000,300000000000,4
300000000000,310000000000,2
310000000000,320000000000,5
320000000000,330000000000,3
330000000000,340000000000,2
340000000000,350000000000,1
350000000000,360000000000,3
360000000000,370000000000,6
370000000000,380000000000,2
380000000000,390000000000,3
390000000000,400000000000,1
400000000000,410000000000,3
410000000000,420000000000,2
420000000000,430000000000,3
430000000000,440000000000,3
440000000000,450000000000,2
460000000000,470000000000,1
470000000000,480000000000,3
480000000000,490000000000,3
490000000000,500000000000,3
500000000000,510000000000,3
510000000000,520000000000,2
520000000000,530000000000,1
530000000000,540000000000,4
540000000000,550000000000,2
550000000000,560000000000,1
560000000000,570000000000,1
580000000000,590000000000,2
630000000000,640000000000,2
640000000000,650000000000,2
650000000000,660000000000,3
670000000000,680000000000,3
690000000000,700000000000,3
700000000000,710000000000,4
790000000000,800000000000,1
800000000000,810000000000,3
820000000000,830000000000,1
880000000000,890000000000,1
910000000000,920000000000,2
930000000000,940000000000,1
960000000000,970000000000,2
970000000000,980000000000,1
1000000000000,1010000000000,2
1010000000000,1020000000000,1
1020000000000,1030000000000,1
1060000000000,1070000000000,1
1100000000000,1110000000000,1
1110000000000,1120000000000,1
1130000000000,1140000000000,2
1180000000000,1190000000000,2
1210000000000,1220000000000,1
1270000000000,1280000000000,1
1490000000000,1500000000000,1
2240000000000,2250000000000,1
2450000000000,2460000000000,1
2850000000000,2860000000000,1
4940000000000,4950000000000,1
4980000000000,4990000000000,1
