bin_start,bin_end,frequency
0,10000000000,958
10000000000,20000000000,606
20000000000,30000000000,500
30000000000,40000000000,323
40000000000,50000000000,181
50000000000,60000000000,173
60000000000,70000000000,160
70000000000,80000000000,122
80000000000,90000000000,115
90000000000,100000000000,77
100000000000,110000000000,93
110000000000,120000000000,94
120000000000,130000000000,49
130000000000,140000000000,39
140000000000,150000000000,36
150000000000,160000000000,36
160000000000,170000000000,54
170000000000,180000000000,45
180000000000,190000000000,20
190000000000,200000000000,30
200000000000,210000000000,19
210000000000,220000000000,15
220000000000,230000000000,25
230000000000,240000000000,20
240000000000,250000000000,16
250000000000,260000000000,15
260000000000,270000000000,33
270000000000,280000000000,16
280000000000,290000000000,12
290000000000,300000000000,16
300000000000,310000000000,14
310000000000,320000000000,10
320000000000,330000000000,11
330000000000,340000000000,16
340000000000,350000000000,13
350000000000,360000000000,9
360000000000,370000000000,12
370000000000,380000000000,23
380000000000,390000000000,7
390000000000,400000000000,9
400000000000,410000000000,6
410000000000,420000000000,8
420000000000,430000000000,15
430000000000,440000000000,13
440000000000,450000000000,9
450000000000,460000000000,9
460000000000,470000000000,9
470000000000,480000000000,7
480000000000,490000000000,12
490000000000,500000000000,5
500000000000,510000000000,6
510000000000,520000000000,3
520000000000,530000000000,1
530000000000,540000000000,3
540000000000,550000000000,4
550000000000,560000000000,5
560000000000,570000000000,3
570000000000,580000000000,7
580000000000,590000000000,4
590000000000,600000000000,1
600000000000,610000000000,5
610000000000,620000000000,1
620000000000,630000000000,5
630000000000,640000000000,5
640000000000,650000000000,2
650000000000,660000000000,7
660000000000,670000000000,4
670000000000,680000000000,1
680000000000,690000000000,2
690000000000,700000000000,1
700000000000,710000000000,5
710000000000,720000000000,3
720000000000,730000000000,3
730000000000,740000000000,2
740000000000,750000000000,3
750000000000,760000000000,2
760000000000,770000000000,5
770000000000,780000000000,5
780000000000,790000000000,1
790000000000,800000000000,4
800000000000,810000000000,3
820000000000,830000000000,5
830000000000,840000000000,3
840000000000,850000000000,7
850000000000,860000000000,5
860000000000,870000000000,2
870000000000,880000000000,4
880000000000,890000000000,3
890000000000,900000000000,3
900000000000,910000000000,1
910000000000,920000000000,3
920000000000,930000000000,2
930000000000,940000000000,2
940000000000,950000000000,2
