bin_start,bin_end,frequency
-530000000000,-520000000000,1
-470000000000,-460000000000,1
-440000000000,-430000000000,1
-400000000000,-390000000000,1
-360000000000,-350000000000,1
-250000000000,-240000000000,1
-240000000000,-230000000000,1
-230000000000,-220000000000,1
-190000000000,-180000000000,2
-180000000000,-170000000000,1
-160000000000,-150000000000,2
-120000000000,-110000000000,1
-100000000000,-90000000000,2
-80000000000,-70000000000,4
-70000000000,-60000000000,3
-60000000000,-50000000000,4
-50000000000,-40000000000,5
-40000000000,-30000000000,4
-30000000000,-20000000000,19
-20000000000,-10000000000,23
-10000000000,0,169
0,10000000000,2104
10000000000,20000000000,685
20000000000,30000000000,297
30000000000,40000000000,189
40000000000,50000000000,122
50000000000,60000000000,74
60000000000,70000000000,57
70000000000,80000000000,53
80000000000,90000000000,40
90000000000,100000000000,36
100000000000,110000000000,26
110000000000,120000000000,24
120000000000,130000000000,18
130000000000,140000000000,15
140000000000,150000000000,27
150000000000,160000000000,10
160000000000,170000000000,15
170000000000,180000000000,13
180000000000,190000000000,8
190000000000,200000000000,8
200000000000,210000000000,9
210000000000,220000000000,6
220000000000,230000000000,5
230000000000,240000000000,4
240000000000,250000000000,4
250000000000,260000000000,8
260000000000,270000000000,5
270000000000,280000000000,8
280000000000,290000000000,5
290000000000,300000000000,5
300000000000,310000000000,2
310000000000,320000000000,4
320000000000,330000000000,4
330000000000,340000000000,2
340000000000,350000000000,6
350000000000,360000000000,4
360000000000,370000000000,1
370000000000,380000000000,5
380000000000,390000000000,4
390000000000,400000000000,2
400000000000,410000000000,3
410000000000,420000000000,4
420000000000,430000000000,3
430000000000,440000000000,2
440000000000,450000000000,2
450000000000,460000000000,1
460000000000,470000000000,3
490000000000,500000000000,4
500000000000,510000000000,1
520000000000,530000000000,2
540000000000,550000000000,2
550000000000,560000000000,1
560000000000,570000000000,2
590000000000,600000000000,3
600000000000,610000000000,2
610000000000,620000000000,2
630000000000,640000000000,1
640000000000,650000000000,1
660000000000,670000000000,2
670000000000,680000000000,1
690000000000,700000000000,2
700000000000,710000000000,2
710000000000,720000000000,3
720000000000,730000000000,3
730000000000,740000000000,1
740000000000,750000000000,1
750000000000,760000000000,1
780000000000,790000000000,1
810000000000,820000000000,1
870000000000,880000000000,3
950000000000,960000000000,3
960000000000,970000000000,2
970000000000,980000000000,2
990000000000,1000000000000,1
1030000000000,1040000000000,1
1050000000000,1060000000000,1
1060000000000,1070000000000,2
1070000000000,1080000000000,1
1110000000000,1120000000000,1
1160000000000,1170000000000,1
1270000000000,1280000000000,1
1380000000000,1390000000000,1
1690000000000,1700000000000,1
1800000000000,1810000000000,1
1840000000000,1850000000000,1
1930000000000,1940000000000,1
2190000000000,2200000000000,1
2720000000000,2730000000000,1
2990000000000,3000000000000,1
5350000000000,5360000000000,1
