bin_start,bin_end,frequency
-870000000000,-860000000000,1
-710000000000,-700000000000,1
-550000000000,-540000000000,1
-470000000000,-460000000000,2
-410000000000,-400000000000,1
-340000000000,-330000000000,1
-330000000000,-320000000000,1
-300000000000,-290000000000,1
-280000000000,-270000000000,1
-270000000000,-260000000000,1
-250000000000,-240000000000,1
-240000000000,-230000000000,1
-200000000000,-190000000000,1
-190000000000,-180000000000,2
-180000000000,-170000000000,1
-140000000000,-130000000000,1
-120000000000,-110000000000,1
-110000000000,-100000000000,3
-100000000000,-90000000000,2
-90000000000,-80000000000,2
-80000000000,-70000000000,3
-70000000000,-60000000000,4
-60000000000,-50000000000,4
-50000000000,-40000000000,12
-40000000000,-30000000000,8
-30000000000,-20000000000,16
-20000000000,-10000000000,33
-10000000000,0,179
0,10000000000,2115
10000000000,20000000000,747
20000000000,30000000000,334
30000000000,40000000000,211
40000000000,50000000000,147
50000000000,60000000000,97
60000000000,70000000000,63
70000000000,80000000000,60
80000000000,90000000000,43
90000000000,100000000000,34
100000000000,110000000000,24
110000000000,120000000000,33
120000000000,130000000000,19
130000000000,140000000000,16
140000000000,150000000000,22
150000000000,160000000000,18
160000000000,170000000000,18
170000000000,180000000000,11
180000000000,190000000000,9
190000000000,200000000000,11
200000000000,210000000000,6
210000000000,220000000000,10
220000000000,230000000000,9
230000000000,240000000000,13
240000000000,250000000000,6
250000000000,260000000000,10
260000000000,270000000000,6
270000000000,280000000000,8
280000000000,290000000000,4
290000000000,300000000000,8
300000000000,310000000000,7
310000000000,320000000000,8
320000000000,330000000000,3
330000000000,340000000000,2
340000000000,350000000000,1
350000000000,360000000000,2
360000000000,370000000000,4
370000000000,380000000000,4
380000000000,390000000000,7
390000000000,400000000000,2
400000000000,410000000000,3
410000000000,420000000000,1
420000000000,430000000000,4
430000000000,440000000000,3
440000000000,450000000000,2
450000000000,460000000000,4
460000000000,470000000000,3
470000000000,480000000000,4
480000000000,490000000000,2
490000000000,500000000000,2
500000000000,510000000000,2
510000000000,520000000000,4
520000000000,530000000000,2
530000000000,540000000000,1
540000000000,550000000000,1
550000000000,560000000000,1
560000000000,570000000000,1
570000000000,580000000000,1
590000000000,600000000000,3
600000000000,610000000000,2
620000000000,630000000000,2
640000000000,650000000000,1
650000000000,660000000000,2
670000000000,680000000000,1
680000000000,690000000000,2
690000000000,700000000000,4
720000000000,730000000000,1
730000000000,740000000000,1
760000000000,770000000000,1
770000000000,780000000000,2
790000000000,800000000000,1
800000000000,810000000000,2
810000000000,820000000000,3
820000000000,830000000000,2
830000000000,840000000000,1
840000000000,850000000000,4
850000000000,860000000000,2
860000000000,870000000000,3
870000000000,880000000000,1
910000000000,920000000000,1
920000000000,930000000000,1
950000000000,960000000000,1
990000000000,1000000000000,2
1020000000000,1030000000000,1
1030000000000,1040000000000,2
1060000000000,1070000000000,1
1070000000000,1080000000000,2
1080000000000,1090000000000,1
1090000000000,1100000000000,2
1100000000000,1110000000000,1
1110000000000,1120000000000,1
1150000000000,1160000000000,1
1160000000000,1170000000000,1
1260000000000,1270000000000,1
1270000000000,1280000000000,1
1290000000000,1300000000000,1
1300000000000,1310000000000,1
1340000000000,1350000000000,1
1360000000000,1370000000000,1
1390000000000,1400000000000,1
1480000000000,1490000000000,1
1560000000000,1570000000000,1
1640000000000,1650000000000,1
1650000000000,1660000000000,1
1680000000000,1690000000000,1
1790000000000,1800000000000,1
1810000000000,1820000000000,1
1980000000000,1990000000000,1
2050000000000,2060000000000,1
2930000000000,2940000000000,1
3660000000000,3670000000000,1
3990000000000,4000000000000,1
5670000000000,5680000000000,1
6960000000000,6970000000000,1
