bin_start,bin_end,frequency
-280000000000,-270000000000,1
-160000000000,-150000000000,1
-150000000000,-140000000000,2
-140000000000,-130000000000,1
-130000000000,-120000000000,2
-120000000000,-110000000000,2
-100000000000,-90000000000,1
-70000000000,-60000000000,1
-40000000000,-30000000000,2
-30000000000,-20000000000,6
-20000000000,-10000000000,4
-10000000000,0,39
0,10000000000,385
10000000000,20000000000,468
20000000000,30000000000,417
30000000000,40000000000,337
40000000000,50000000000,265
50000000000,60000000000,292
60000000000,70000000000,206
70000000000,80000000000,135
80000000000,90000000000,126
90000000000,100000000000,107
100000000000,110000000000,90
110000000000,120000000000,96
120000000000,130000000000,99
130000000000,140000000000,58
140000000000,150000000000,54
150000000000,160000000000,64
160000000000,170000000000,65
170000000000,180000000000,51
180000000000,190000000000,54
190000000000,200000000000,47
200000000000,210000000000,44
210000000000,220000000000,21
220000000000,230000000000,26
230000000000,240000000000,24
240000000000,250000000000,25
250000000000,260000000000,33
260000000000,270000000000,36
270000000000,280000000000,32
280000000000,290000000000,21
290000000000,300000000000,24
300000000000,310000000000,20
310000000000,320000000000,18
320000000000,330000000000,23
330000000000,340000000000,17
340000000000,350000000000,26
350000000000,360000000000,11
360000000000,370000000000,22
370000000000,380000000000,14
380000000000,390000000000,15
390000000000,400000000000,18
400000000000,410000000000,9
410000000000,420000000000,15
420000000000,430000000000,15
430000000000,440000000000,5
440000000000,450000000000,12
450000000000,460000000000,13
460000000000,470000000000,4
470000000000,480000000000,10
480000000000,490000000000,7
490000000000,500000000000,6
500000000000,510000000000,12
510000000000,520000000000,9
520000000000,530000000000,14
530000000000,540000000000,5
540000000000,550000000000,8
550000000000,560000000000,5
560000000000,570000000000,14
570000000000,580000000000,7
580000000000,590000000000,8
590000000000,600000000000,5
600000000000,610000000000,6
610000000000,620000000000,2
620000000000,630000000000,9
630000000000,640000000000,6
640000000000,650000000000,7
650000000000,660000000000,5
660000000000,670000000000,4
670000000000,680000000000,7
680000000000,690000000000,4
690000000000,700000000000,3
700000000000,710000000000,5
710000000000,720000000000,4
720000000000,730000000000,5
730000000000,740000000000,4
740000000000,750000000000,4
750000000000,760000000000,4
760000000000,770000000000,2
770000000000,780000000000,4
780000000000,790000000000,3
790000000000,800000000000,1
800000000000,810000000000,5
810000000000,820000000000,1
830000000000,840000000000,3
840000000000,850000000000,6
850000000000,860000000000,3
860000000000,870000000000,1
870000000000,880000000000,3
880000000000,890000000000,2
