bin_start,bin_end,frequency
-10000000000,0,1
0,10000000000,203
10000000000,20000000000,295
20000000000,30000000000,295
30000000000,40000000000,357
40000000000,50000000000,288
50000000000,60000000000,263
60000000000,70000000000,218
70000000000,80000000000,198
80000000000,90000000000,146
90000000000,100000000000,126
100000000000,110000000000,112
110000000000,120000000000,114
120000000000,130000000000,97
130000000000,140000000000,80
140000000000,150000000000,64
150000000000,160000000000,56
160000000000,170000000000,66
170000000000,180000000000,48
180000000000,190000000000,44
190000000000,200000000000,55
200000000000,210000000000,53
210000000000,220000000000,42
220000000000,230000000000,51
230000000000,240000000000,36
240000000000,250000000000,47
250000000000,260000000000,35
260000000000,270000000000,28
270000000000,280000000000,31
280000000000,290000000000,21
290000000000,300000000000,33
300000000000,310000000000,26
310000000000,320000000000,29
320000000000,330000000000,19
330000000000,340000000000,19
340000000000,350000000000,23
350000000000,360000000000,23
360000000000,370000000000,22
370000000000,380000000000,15
380000000000,390000000000,19
390000000000,400000000000,28
400000000000,410000000000,18
410000000000,420000000000,16
420000000000,430000000000,12
430000000000,440000000000,15
440000000000,450000000000,16
450000000000,460000000000,14
460000000000,470000000000,6
470000000000,480000000000,8
480000000000,490000000000,5
490000000000,500000000000,18
500000000000,510000000000,9
510000000000,520000000000,18
520000000000,530000000000,12
530000000000,540000000000,10
540000000000,550000000000,7
550000000000,560000000000,7
560000000000,570000000000,7
570000000000,580000000000,9
580000000000,590000000000,8
590000000000,600000000000,8
600000000000,610000000000,13
610000000000,620000000000,12
620000000000,630000000000,11
630000000000,640000000000,8
640000000000,650000000000,4
650000000000,660000000000,14
660000000000,670000000000,8
670000000000,680000000000,6
680000000000,690000000000,5
690000000000,700000000000,4
700000000000,710000000000,7
710000000000,720000000000,5
720000000000,730000000000,4
730000000000,740000000000,1
740000000000,750000000000,5
750000000000,760000000000,6
760000000000,770000000000,5
770000000000,780000000000,1
780000000000,790000000000,6
790000000000,800000000000,8
800000000000,810000000000,4
810000000000,820000000000,7
820000000000,830000000000,6
830000000000,840000000000,4
840000000000,850000000000,4
850000000000,860000000000,6
860000000000,870000000000,6
870000000000,880000000000,4
880000000000,890000000000,2
890000000000,900000000000,2
900000000000,910000000000,8
910000000000,920000000000,6
920000000000,930000000000,4
930000000000,940000000000,4
940000000000,950000000000,4
950000000000,960000000000,4
960000000000,970000000000,5
970000000000,980000000000,3
980000000000,990000000000,4
990000000000,1000000000000,2
1000000000000,1010000000000,1
1010000000000,1020000000000,4
1020000000000,1030000000000,3
1030000000000,1040000000000,2
1040000000000,1050000000000,2
1050000000000,1060000000000,3
1060000000000,1070000000000,2
1070000000000,1080000000000,1
1080000000000,1090000000000,5
1090000000000,1100000000000,3
1100000000000,1110000000000,2
1110000000000,1120000000000,3
1120000000000,1130000000000,1
1130000000000,1140000000000,1
1140000000000,1150000000000,2
1150000000000,1160000000000,6
1160000000000,1170000000000,3
1170000000000,1180000000000,1
1180000000000,1190000000000,2
1190000000000,1200000000000,1
1200000000000,1210000000000,1
1210000000000,1220000000000,3
1220000000000,1230000000000,1
1230000000000,1240000000000,3
1250000000000,1260000000000,1
1260000000000,1270000000000,1
1270000000000,1280000000000,5
1290000000000,1300000000000,1
1300000000000,1310000000000,4
1310000000000,1320000000000,1
1320000000000,1330000000000,3
1340000000000,1350000000000,2
1350000000000,1360000000000,2
1360000000000,1370000000000,3
1370000000000,1380000000000,1
1380000000000,1390000000000,3
1390000000000,1400000000000,1
1400000000000,1410000000000,2
1410000000000,1420000000000,3
1420000000000,1430000000000,1
1440000000000,1450000000000,3
1450000000000,1460000000000,4
1460000000000,1470000000000,4
1490000000000,1500000000000,1
1500000000000,1510000000000,2
1510000000000,1520000000000,2
1520000000000,1530000000000,1
1530000000000,1540000000000,6
1550000000000,1560000000000,2
1560000000000,1570000000000,1
1570000000000,1580000000000,2
1580000000000,1590000000000,1
1590000000000,1600000000000,4
1610000000000,1620000000000,2
1620000000000,1630000000000,3
1630000000000,1640000000000,2
1640000000000,1650000000000,1
1650000000000,1660000000000,1
1660000000000,1670000000000,2
1670000000000,1680000000000,1
1680000000000,1690000000000,5
1690000000000,1700000000000,2
1700000000000,1710000000000,2
1710000000000,1720000000000,2
1730000000000,1740000000000,3
1740000000000,1750000000000,1
1750000000000,1760000000000,3
1760000000000,1770000000000,3
1770000000000,1780000000000,1
1780000000000,1790000000000,2
1790000000000,1800000000000,2
1810000000000,1820000000000,2
1830000000000,1840000000000,1
1850000000000,1860000000000,1
1870000000000,1880000000000,2
1880000000000,1890000000000,1
1890000000000,1900000000000,2
1900000000000,1910000000000,1
1910000000000,1920000000000,4
1920000000000,1930000000000,2
1960000000000,1970000000000,2
1970000000000,1980000000000,1
1980000000000,1990000000000,1
2000000000000,2010000000000,2
2010000000000,2020000000000,2
2020000000000,2030000000000,2
2030000000000,2040000000000,1
2050000000000,2060000000000,1
2060000000000,2070000000000,2
2070000000000,2080000000000,1
2100000000000,2110000000000,1
2120000000000,2130000000000,1
2130000000000,2140000000000,1
2150000000000,2160000000000,1
2170000000000,2180000000000,1
2200000000000,2210000000000,2
2220000000000,2230000000000,2
2230000000000,2240000000000,3
2240000000000,2250000000000,2
2260000000000,2270000000000,1
2270000000000,2280000000000,1
2280000000000,2290000000000,1
2310000000000,2320000000000,1
2320000000000,2330000000000,1
2350000000000,2360000000000,2
2370000000000,2380000000000,3
2390000000000,2400000000000,1
2400000000000,2410000000000,1
2420000000000,2430000000000,1
2430000000000,2440000000000,1
2440000000000,2450000000000,1
2460000000000,2470000000000,2
2470000000000,2480000000000,2
2490000000000,2500000000000,2
2500000000000,2510000000000,1
2510000000000,2520000000000,1
2520000000000,2530000000000,1
2530000000000,2540000000000,2
2550000000000,2560000000000,2
2560000000000,2570000000000,1
2580000000000,2590000000000,1
2590000000000,2600000000000,2
2600000000000,2610000000000,1
2640000000000,2650000000000,1
2650000000000,2660000000000,1
2660000000000,2670000000000,1
2680000000000,2690000000000,2
2690000000000,2700000000000,2
2710000000000,2720000000000,2
2750000000000,2760000000000,2
2760000000000,2770000000000,2
2790000000000,2800000000000,2
2800000000000,2810000000000,1
2810000000000,2820000000000,1
2840000000000,2850000000000,1
2850000000000,2860000000000,2
2860000000000,2870000000000,1
2870000000000,2880000000000,2
2900000000000,2910000000000,1
2910000000000,2920000000000,2
2970000000000,2980000000000,1
3020000000000,3030000000000,2
3030000000000,3040000000000,2
3080000000000,3090000000000,1
3090000000000,3100000000000,2
3100000000000,3110000000000,1
3110000000000,3120000000000,1
3120000000000,3130000000000,1
3140000000000,3150000000000,1
3160000000000,3170000000000,2
3180000000000,3190000000000,1
3190000000000,3200000000000,1
3220000000000,3230000000000,2
3230000000000,3240000000000,2
3250000000000,3260000000000,1
3260000000000,3270000000000,1
3310000000000,3320000000000,1
3320000000000,3330000000000,1
3350000000000,3360000000000,1
3390000000000,3400000000000,1
3450000000000,3460000000000,1
3460000000000,3470000000000,1
3510000000000,3520000000000,1
3520000000000,3530000000000,1
3540000000000,3550000000000,1
3560000000000,3570000000000,1
3580000000000,3590000000000,1
3610000000000,3620000000000,1
3640000000000,3650000000000,1
3660000000000,3670000000000,1
3730000000000,3740000000000,1
3750000000000,3760000000000,1
3770000000000,3780000000000,1
3830000000000,3840000000000,1
3870000000000,3880000000000,1
3880000000000,3890000000000,1
3890000000000,3900000000000,1
3920000000000,3930000000000,1
3940000000000,3950000000000,2
4020000000000,4030000000000,1
4160000000000,4170000000000,1
4180000000000,4190000000000,1
4190000000000,4200000000000,1
4260000000000,4270000000000,1
4290000000000,4300000000000,1
4340000000000,4350000000000,1
4370000000000,4380000000000,1
4400000000000,4410000000000,1
4440000000000,4450000000000,1
4460000000000,4470000000000,1
4540000000000,4550000000000,1
4570000000000,4580000000000,1
4580000000000,4590000000000,1
4750000000000,4760000000000,1
4770000000000,4780000000000,1
4800000000000,4810000000000,1
4810000000000,4820000000000,1
4940000000000,4950000000000,1
4980000000000,4990000000000,1
5120000000000,5130000000000,1
5130000000000,5140000000000,1
5170000000000,5180000000000,2
5250000000000,5260000000000,1
5420000000000,5430000000000,1
