bin_start,bin_end,frequency
0,100000000000,1538
100000000000,200000000000,854
200000000000,300000000000,392
300000000000,400000000000,266
400000000000,500000000000,185
500000000000,600000000000,98
600000000000,700000000000,78
700000000000,800000000000,58
800000000000,900000000000,49
900000000000,1000000000000,70
1000000000000,1100000000000,52
1100000000000,1200000000000,43
1200000000000,1300000000000,41
1300000000000,1400000000000,27
1400000000000,1500000000000,26
1500000000000,1600000000000,16
1600000000000,1700000000000,18
1700000000000,1800000000000,20
1800000000000,1900000000000,26
1900000000000,2000000000000,19
2000000000000,2100000000000,17
2100000000000,2200000000000,14
2200000000000,2300000000000,14
2300000000000,2400000000000,10
2400000000000,2500000000000,18
2500000000000,2600000000000,8
2600000000000,2700000000000,16
2700000000000,2800000000000,11
2800000000000,2900000000000,18
2900000000000,3000000000000,11
3000000000000,3100000000000,18
3100000000000,3200000000000,16
3200000000000,3300000000000,13
3300000000000,3400000000000,13
3400000000000,3500000000000,10
3500000000000,3600000000000,18
3600000000000,3700000000000,7
3700000000000,3800000000000,9
3800000000000,3900000000000,10
3900000000000,4000000000000,11
4000000000000,4100000000000,8
4100000000000,4200000000000,10
4200000000000,4300000000000,5
4300000000000,4400000000000,10
4400000000000,4500000000000,6
4500000000000,4600000000000,4
4600000000000,4700000000000,4
4700000000000,4800000000000,4
4800000000000,4900000000000,6
4900000000000,5000000000000,1
5000000000000,5100000000000,3
5100000000000,5200000000000,5
5200000000000,5300000000000,4
5300000000000,5400000000000,6
5400000000000,5500000000000,5
5500000000000,5600000000000,5
5600000000000,5700000000000,8
5700000000000,5800000000000,6
5800000000000,5900000000000,5
5900000000000,6000000000000,4
6000000000000,6100000000000,3
6100000000000,6200000000000,6
6200000000000,6300000000000,2
6300000000000,6400000000000,3
6400000000000,6500000000000,6
6500000000000,6600000000000,6
6600000000000,6700000000000,5
6700000000000,6800000000000,9
6800000000000,6900000000000,4
6900000000000,7000000000000,2
7000000000000,7100000000000,3
7100000000000,7200000000000,6
7200000000000,7300000000000,2
7300000000000,7400000000000,2
7400000000000,7500000000000,4
7500000000000,7600000000000,5
7600000000000,7700000000000,2
7700000000000,7800000000000,4
7800000000000,7900000000000,1
7900000000000,8000000000000,1
8000000000000,8100000000000,6
8200000000000,8300000000000,2
8300000000000,8400000000000,1
8500000000000,8600000000000,2
8600000000000,8700000000000,1
8700000000000,8800000000000,2
8800000000000,8900000000000,1
8900000000000,9000000000000,2
9000000000000,9100000000000,4
9200000000000,9300000000000,1
9300000000000,9400000000000,1
9400000000000,9500000000000,4
9500000000000,9600000000000,3
9600000000000,9700000000000,2
9700000000000,9800000000000,2
9800000000000,9900000000000,1
9900000000000,10000000000000,2
10100000000000,10200000000000,2
10200000000000,10300000000000,1
10300000000000,10400000000000,1
10500000000000,10600000000000,3
10600000000000,10700000000000,4
10700000000000,10800000000000,2
10800000000000,10900000000000,1
11000000000000,11100000000000,5
11100000000000,11200000000000,4
11400000000000,11500000000000,1
11500000000000,11600000000000,2
11600000000000,11700000000000,1
11800000000000,11900000000000,2
11900000000000,12000000000000,2
12000000000000,12100000000000,2
12100000000000,12200000000000,4
12200000000000,12300000000000,7
12500000000000,12600000000000,4
12700000000000,12800000000000,1
12800000000000,12900000000000,1
12900000000000,13000000000000,3
13000000000000,13100000000000,2
13100000000000,13200000000000,5
13200000000000,13300000000000,1
13300000000000,13400000000000,2
13400000000000,13500000000000,2
13500000000000,13600000000000,4
13700000000000,13800000000000,2
13800000000000,13900000000000,1
13900000000000,14000000000000,1
14000000000000,14100000000000,1
14100000000000,14200000000000,3
14200000000000,14300000000000,1
14400000000000,14500000000000,1
14500000000000,14600000000000,1
14600000000000,14700000000000,2
14800000000000,14900000000000,2
14900000000000,15000000000000,1
15100000000000,15200000000000,1
15200000000000,15300000000000,1
15300000000000,15400000000000,1
15500000000000,15600000000000,2
15600000000000,15700000000000,1
16100000000000,16200000000000,2
16300000000000,16400000000000,3
16400000000000,16500000000000,1
16600000000000,16700000000000,1
16700000000000,16800000000000,1
16800000000000,16900000000000,1
17200000000000,17300000000000,2
17500000000000,17600000000000,1
17800000000000,17900000000000,3
18600000000000,18700000000000,1
19100000000000,19200000000000,1
19700000000000,19800000000000,1
19800000000000,19900000000000,1
21300000000000,21400000000000,2
21500000000000,21600000000000,1
21700000000000,21800000000000,1
21900000000000,22000000000000,2
22100000000000,22200000000000,1
22300000000000,22400000000000,1
22800000000000,22900000000000,1
22900000000000,23000000000000,1
23400000000000,23500000000000,1
23800000000000,23900000000000,1
23900000000000,24000000000000,1
24000000000000,24100000000000,1
24100000000000,24200000000000,2
24300000000000,24400000000000,2
24600000000000,24700000000000,1
25000000000000,25100000000000,1
25300000000000,25400000000000,1
25700000000000,25800000000000,2
26000000000000,26100000000000,1
26400000000000,26500000000000,1
