bin_start,bin_end,frequency
0,10000000000,1317
10000000000,20000000000,467
20000000000,30000000000,347
30000000000,40000000000,228
40000000000,50000000000,162
50000000000,60000000000,157
60000000000,70000000000,112
70000000000,80000000000,96
80000000000,90000000000,66
90000000000,100000000000,78
100000000000,110000000000,45
110000000000,120000000000,43
120000000000,130000000000,43
130000000000,140000000000,24
140000000000,150000000000,21
150000000000,160000000000,27
160000000000,170000000000,28
170000000000,180000000000,26
180000000000,190000000000,25
190000000000,200000000000,11
200000000000,210000000000,18
210000000000,220000000000,17
220000000000,230000000000,21
230000000000,240000000000,15
240000000000,250000000000,16
250000000000,260000000000,16
260000000000,270000000000,15
270000000000,280000000000,8
280000000000,290000000000,13
290000000000,300000000000,12
300000000000,310000000000,11
310000000000,320000000000,11
320000000000,330000000000,11
330000000000,340000000000,10
340000000000,350000000000,18
350000000000,360000000000,12
360000000000,370000000000,14
370000000000,380000000000,7
380000000000,390000000000,5
390000000000,400000000000,8
400000000000,410000000000,8
410000000000,420000000000,8
420000000000,430000000000,12
430000000000,440000000000,5
440000000000,450000000000,4
450000000000,460000000000,3
460000000000,470000000000,5
470000000000,480000000000,6
480000000000,490000000000,10
490000000000,500000000000,6
500000000000,510000000000,9
510000000000,520000000000,7
520000000000,530000000000,8
530000000000,540000000000,10
540000000000,550000000000,2
550000000000,560000000000,2
560000000000,570000000000,4
570000000000,580000000000,10
580000000000,590000000000,5
590000000000,600000000000,4
600000000000,610000000000,13
610000000000,620000000000,6
620000000000,630000000000,4
630000000000,640000000000,3
640000000000,650000000000,6
650000000000,660000000000,1
660000000000,670000000000,7
670000000000,680000000000,5
680000000000,690000000000,7
690000000000,700000000000,4
700000000000,710000000000,5
710000000000,720000000000,7
720000000000,730000000000,5
730000000000,740000000000,4
740000000000,750000000000,2
750000000000,760000000000,7
760000000000,770000000000,3
770000000000,780000000000,3
780000000000,790000000000,6
790000000000,800000000000,4
800000000000,810000000000,6
810000000000,820000000000,2
820000000000,830000000000,5
830000000000,840000000000,4
840000000000,850000000000,2
850000000000,860000000000,3
860000000000,870000000000,3
870000000000,880000000000,3
880000000000,890000000000,6
890000000000,900000000000,5
900000000000,910000000000,4
910000000000,920000000000,6
