bin_start,bin_end,frequency
0,10000000000,107
10000000000,20000000000,196
20000000000,30000000000,258
30000000000,40000000000,275
40000000000,50000000000,251
50000000000,60000000000,211
60000000000,70000000000,171
70000000000,80000000000,154
80000000000,90000000000,142
90000000000,100000000000,123
100000000000,110000000000,125
110000000000,120000000000,137
120000000000,130000000000,99
130000000000,140000000000,104
140000000000,150000000000,89
150000000000,160000000000,66
160000000000,170000000000,77
170000000000,180000000000,57
180000000000,190000000000,59
190000000000,200000000000,59
200000000000,210000000000,49
210000000000,220000000000,42
220000000000,230000000000,66
230000000000,240000000000,46
240000000000,250000000000,35
250000000000,260000000000,41
260000000000,270000000000,35
270000000000,280000000000,41
280000000000,290000000000,36
290000000000,300000000000,25
300000000000,310000000000,33
310000000000,320000000000,21
320000000000,330000000000,20
330000000000,340000000000,20
340000000000,350000000000,25
350000000000,360000000000,21
360000000000,370000000000,24
370000000000,380000000000,20
380000000000,390000000000,18
390000000000,400000000000,17
400000000000,410000000000,21
410000000000,420000000000,15
420000000000,430000000000,21
430000000000,440000000000,19
440000000000,450000000000,14
450000000000,460000000000,9
460000000000,470000000000,15
470000000000,480000000000,8
480000000000,490000000000,17
490000000000,500000000000,14
500000000000,510000000000,17
510000000000,520000000000,15
520000000000,530000000000,12
530000000000,540000000000,9
540000000000,550000000000,12
550000000000,560000000000,19
560000000000,570000000000,20
570000000000,580000000000,17
580000000000,590000000000,14
590000000000,600000000000,8
600000000000,610000000000,12
610000000000,620000000000,18
620000000000,630000000000,8
630000000000,640000000000,8
640000000000,650000000000,16
650000000000,660000000000,12
660000000000,670000000000,4
670000000000,680000000000,6
680000000000,690000000000,8
690000000000,700000000000,9
700000000000,710000000000,10
710000000000,720000000000,11
720000000000,730000000000,9
730000000000,740000000000,14
740000000000,750000000000,11
750000000000,760000000000,10
760000000000,770000000000,16
770000000000,780000000000,6
780000000000,790000000000,6
790000000000,800000000000,8
800000000000,810000000000,8
810000000000,820000000000,8
820000000000,830000000000,6
830000000000,840000000000,9
840000000000,850000000000,4
850000000000,860000000000,6
860000000000,870000000000,5
870000000000,880000000000,3
880000000000,890000000000,5
890000000000,900000000000,4
900000000000,910000000000,8
910000000000,920000000000,9
920000000000,930000000000,7
930000000000,940000000000,10
940000000000,950000000000,5
950000000000,960000000000,10
960000000000,970000000000,10
970000000000,980000000000,1
980000000000,990000000000,3
990000000000,1000000000000,5
1000000000000,1010000000000,5
1010000000000,1020000000000,3
1020000000000,1030000000000,8
1030000000000,1040000000000,6
1040000000000,1050000000000,5
1050000000000,1060000000000,3
1060000000000,1070000000000,4
1070000000000,1080000000000,2
1080000000000,1090000000000,1
1090000000000,1100000000000,2
1100000000000,1110000000000,6
1110000000000,1120000000000,1
1120000000000,1130000000000,2
1130000000000,1140000000000,3
1140000000000,1150000000000,3
1150000000000,1160000000000,7
1160000000000,1170000000000,1
1170000000000,1180000000000,1
1180000000000,1190000000000,1
1190000000000,1200000000000,2
1200000000000,1210000000000,3
1210000000000,1220000000000,4
1240000000000,1250000000000,4
1250000000000,1260000000000,5
1260000000000,1270000000000,3
