bin_start,bin_end,frequency
-3600000000000,-3590000000000,1
-3420000000000,-3410000000000,1
-3290000000000,-3280000000000,1
-2640000000000,-2630000000000,1
-2430000000000,-2420000000000,1
-2120000000000,-2110000000000,1
-2100000000000,-2090000000000,1
-2090000000000,-2080000000000,1
-2050000000000,-2040000000000,1
-2000000000000,-1990000000000,1
-1980000000000,-1970000000000,1
-1820000000000,-1810000000000,2
-1770000000000,-1760000000000,1
-1720000000000,-1710000000000,1
-1430000000000,-1420000000000,2
-1260000000000,-1250000000000,2
-1220000000000,-1210000000000,2
-1140000000000,-1130000000000,1
-1050000000000,-1040000000000,1
-790000000000,-780000000000,1
-750000000000,-740000000000,1
-570000000000,-560000000000,1
-550000000000,-540000000000,1
-530000000000,-520000000000,1
-480000000000,-470000000000,1
-460000000000,-450000000000,1
-430000000000,-420000000000,1
-420000000000,-410000000000,1
-380000000000,-370000000000,1
-370000000000,-360000000000,2
-360000000000,-350000000000,1
-350000000000,-340000000000,3
-330000000000,-320000000000,1
-320000000000,-310000000000,3
-310000000000,-300000000000,1
-300000000000,-290000000000,1
-290000000000,-280000000000,1
-280000000000,-270000000000,3
-260000000000,-250000000000,4
-250000000000,-240000000000,2
-240000000000,-230000000000,2
-230000000000,-220000000000,1
-220000000000,-210000000000,3
-200000000000,-190000000000,2
-190000000000,-180000000000,2
-180000000000,-170000000000,3
-170000000000,-160000000000,1
-150000000000,-140000000000,1
-120000000000,-110000000000,2
-110000000000,-100000000000,2
-100000000000,-90000000000,6
-90000000000,-80000000000,6
-80000000000,-70000000000,15
-70000000000,-60000000000,7
-60000000000,-50000000000,8
-50000000000,-40000000000,9
-40000000000,-30000000000,7
-30000000000,-20000000000,15
-20000000000,-10000000000,27
-10000000000,0,94
0,10000000000,538
10000000000,20000000000,570
20000000000,30000000000,477
30000000000,40000000000,356
40000000000,50000000000,272
50000000000,60000000000,230
60000000000,70000000000,168
70000000000,80000000000,117
80000000000,90000000000,87
90000000000,100000000000,99
100000000000,110000000000,76
110000000000,120000000000,66
120000000000,130000000000,60
130000000000,140000000000,57
140000000000,150000000000,47
150000000000,160000000000,40
160000000000,170000000000,25
170000000000,180000000000,29
180000000000,190000000000,31
190000000000,200000000000,19
200000000000,210000000000,35
210000000000,220000000000,18
220000000000,230000000000,28
230000000000,240000000000,21
240000000000,250000000000,14
250000000000,260000000000,28
260000000000,270000000000,15
270000000000,280000000000,24
280000000000,290000000000,14
290000000000,300000000000,11
300000000000,310000000000,15
310000000000,320000000000,8
320000000000,330000000000,12
330000000000,340000000000,5
340000000000,350000000000,12
350000000000,360000000000,6
360000000000,370000000000,9
370000000000,380000000000,4
380000000000,390000000000,2
390000000000,400000000000,12
400000000000,410000000000,9
410000000000,420000000000,9
420000000000,430000000000,4
430000000000,440000000000,5
440000000000,450000000000,4
450000000000,460000000000,4
460000000000,470000000000,9
470000000000,480000000000,5
480000000000,490000000000,7
490000000000,500000000000,4
500000000000,510000000000,3
510000000000,520000000000,3
520000000000,530000000000,2
530000000000,540000000000,3
540000000000,550000000000,1
550000000000,560000000000,7
560000000000,570000000000,3
570000000000,580000000000,3
580000000000,590000000000,6
590000000000,600000000000,4
600000000000,610000000000,4
610000000000,620000000000,4
620000000000,630000000000,4
630000000000,640000000000,7
640000000000,650000000000,1
650000000000,660000000000,3
660000000000,670000000000,5
670000000000,680000000000,1
680000000000,690000000000,5
690000000000,700000000000,1
700000000000,710000000000,3
710000000000,720000000000,4
720000000000,730000000000,5
730000000000,740000000000,3
740000000000,750000000000,5
750000000000,760000000000,4
760000000000,770000000000,5
770000000000,780000000000,2
780000000000,790000000000,3
790000000000,800000000000,6
810000000000,820000000000,1
830000000000,840000000000,1
850000000000,860000000000,3
860000000000,870000000000,1
870000000000,880000000000,1
880000000000,890000000000,1
890000000000,900000000000,4
900000000000,910000000000,1
910000000000,920000000000,2
920000000000,930000000000,3
930000000000,940000000000,2
940000000000,950000000000,1
950000000000,960000000000,1
960000000000,970000000000,6
970000000000,980000000000,3
980000000000,990000000000,1
990000000000,1000000000000,1
1000000000000,1010000000000,2
1020000000000,1030000000000,2
1030000000000,1040000000000,1
1050000000000,1060000000000,1
1060000000000,1070000000000,1
1070000000000,1080000000000,3
1080000000000,1090000000000,2
1090000000000,1100000000000,1
1100000000000,1110000000000,4
1110000000000,1120000000000,3
1130000000000,1140000000000,2
1140000000000,1150000000000,1
1150000000000,1160000000000,3
1170000000000,1180000000000,2
1180000000000,1190000000000,3
1210000000000,1220000000000,1
1220000000000,1230000000000,1
1230000000000,1240000000000,1
1240000000000,1250000000000,2
1280000000000,1290000000000,1
1290000000000,1300000000000,2
1310000000000,1320000000000,2
1340000000000,1350000000000,2
1380000000000,1390000000000,1
1390000000000,1400000000000,1
1410000000000,1420000000000,2
1440000000000,1450000000000,1
1450000000000,1460000000000,3
1460000000000,1470000000000,2
1480000000000,1490000000000,1
1490000000000,1500000000000,3
1500000000000,1510000000000,1
1550000000000,1560000000000,2
1560000000000,1570000000000,2
1580000000000,1590000000000,2
1590000000000,1600000000000,2
1600000000000,1610000000000,1
1620000000000,1630000000000,1
1630000000000,1640000000000,1
1640000000000,1650000000000,1
1700000000000,1710000000000,1
1720000000000,1730000000000,1
1730000000000,1740000000000,1
1740000000000,1750000000000,1
1780000000000,1790000000000,4
1860000000000,1870000000000,1
1870000000000,1880000000000,1
1880000000000,1890000000000,1
1900000000000,1910000000000,3
1920000000000,1930000000000,1
1940000000000,1950000000000,1
1960000000000,1970000000000,1
1970000000000,1980000000000,2
1980000000000,1990000000000,1
1990000000000,2000000000000,1
2090000000000,2100000000000,2
2110000000000,2120000000000,1
2170000000000,2180000000000,1
2190000000000,2200000000000,1
2210000000000,2220000000000,1
2230000000000,2240000000000,1
2350000000000,2360000000000,1
2410000000000,2420000000000,1
2490000000000,2500000000000,1
2500000000000,2510000000000,1
2510000000000,2520000000000,1
2600000000000,2610000000000,1
2610000000000,2620000000000,1
2740000000000,2750000000000,1
2770000000000,2780000000000,1
2830000000000,2840000000000,1
2920000000000,2930000000000,1
2930000000000,2940000000000,1
3020000000000,3030000000000,1
3270000000000,3280000000000,1
3540000000000,3550000000000,2
3550000000000,3560000000000,1
3620000000000,3630000000000,1
4170000000000,4180000000000,1
4590000000000,4600000000000,1
5530000000000,5540000000000,1
5950000000000,5960000000000,1
